id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,,,,,
1120018,1290-05-08,"Maelstede, van der","koning Rudolf vermaant de Zeeuwse edelen zich aan de graaf van Holland als hun wettige vorst te onderwerpen, onder bedreiging van zijn ongenade, zo zij in hun afval volharden",v.d. Bergh II no 706,"genoemd: Johannes de Renesse, Theodericus de Brederode, Wulfardus de Bersela, Johannes de Malsteden, Hugo de Cruyningen, Florentius de Bersela, Nicolaus de Ketza",,,,,,,
1120019,1290-06-12,"Maelstede, van der",op Zuidbeveland o.a. messire Jehans de le Malestede en Jehans fils Willalmes de le Malestede,v.d. Bergh II no 723,,,,,,,,
1120020,1292-08-01,"Maelstede, van der"," vele (Zeeuwse) ridders, waaronder Jan Willemsz van der Maelstede  (jaargeld 100 £ Vlaams) verklaren dat omdat graaf Floris hen uit hun goederen verdreven en zijn beloften geschonden heeft, zij de graaf van Vlaanderen huldigen en van hem een jaargeld ontvangen",v.d. Bergh II no 825,,,,,,,,
1120021,1293-03-24,"Maelstede, van der","heer Jan van der Maelstede, ridder, belooft graaf Floris V te helpen tegen een ieder, behalve de graaf van Vlaanderen en diens zoon Robert",v.d. Bergh II no 839,,,,,,,,
1120022,1293-05-07,"Maelstede, van der","verdrag tussen graaf Floris V en de bisschop van Utrecht, borg voor Floris o.a.: no 13 heer Janne van der Maelstede, ridder",v.d. Bergh II no 845,,,,,,,,
1120023,1298-10-20,"Maelstede, van der","Jan van Cruninghe, ridder, belooft trouw aan Jan, graaf van Holland","v.d. Bergh II no 1009, 1044","bezegeld door: zijn neef Janne van Cruninghen, ridder, Clays van Barsdorpe, Pieter van Barsdorpe, Jan Willemsz van der Maelstede",,,,,,,
1120024,1299-09-26,"Maelstede, van der","Rase van Bersele, Florens van Berselen, Jan van der Maelstede en Gheeraert van der Maelstede, ridders; Wolfert van der Maelstede, Pieter van Baersdorp en Daniel van Baersdorp, knapen, blijven de graven van Holland en Henegouwen borg voor Vrank en Clays, kinderen van heer Wolfaert van Bersele, om die dood of levend in 's graven gevangenis te brengen","v.d. Bergh II no 1081, 1084",,,,,,,,
1120025,1299-09-26,"Maelstede, van der","Jan van Baersdorp, Arnoud veren Rozenz, Hendrik Bruysz, Jan Willemsz van der Maelstede en Claeys Woutersz van Grijpskerke, blijven de graaf van Holland borg voor Henrik van Zoutelande, om deze weer in de gevangenis te leveren",v.d. Bergh II no 1082/Van Mieris I 607,,,,,,,,
1120026,1305-08-30,"Maelstede, van der","graaf Robert van Vlaanderen en zijn mannen beloven heer Gillis van Cruininghen en heer Gherard van der Maelstede weer in graaf Willems gevangenis te zullen leveren, als zij niet bewijzen op de dag van hun gevangenname bondgenoten van Vlaanderen te zijn geweest of 320 £ rantsoen betalen. 1305-09-01: Willem van Mortainge en Jan Bausses van Bonssoy verklaren dat Gilles van Kruiningen en Gerard van Maalstede zich borg gesteld hebben voor hun losgeld en op de afgesproken tijd zich weer in de gevangenis zullen melden","Reg Hann p 14, Van Mieris II bl 50","borgen: Willem van Mortainge, heer van Dossenies en Jan Bausses heer van Bonssoy",,,,,,,
1120027,1316-03-09,"Maelstede, van der","Willem de Vriese heer van Oostende, Geerlof van Cats, Jan van der Malstede, Gillis van der Ostkerke, ridders, verdragen zich met graaf Willem over de tienden door hen tevoren gepacht van het kapittel van St Pieter te Utrecht en nu door de graaf gekocht",Van Mieris II p 153,,,,,,,,
1120028,1317-03-19,"Maelstede, van der","graaf Willem doet uitspraak tussen de erfgenamen van heer Jan van Schengen en diens dochter Maria, vrouw van Gillis Willemsz van der Maelstede, over haar huwelijk","Reg Hann p 71/Reg EL 13 fol 6v, EL 20 fol 6",,,,,,,,
1120029,1317-03-20 (1316),"Maelstede, van der","uitspraak van graaf Willem over de dood van Jan van der Westkerke  tussen zijn maghe en helpers aan de ene zijde en Gillis van Baersdorp,  Floris van der Vere, Wouter en Jan van der Maelstede aan de andere zijde: Gillis van Baersdorp was een aanstichter van het doden van Jans van der Westkerke en werd daarom voor eeuwig verbannen, daar hij binnen de vrede de eerste steek gaf; de anderen moeten 30 £ per jaar betalen in renten op een vrij erf te Scherpenisse, voor het stichten van een kapel te Westkerk, voor de ziel van de vermoorde. Zij moeten een bedevaart maken naar St Jacop in Galicië en Jan van Maelstede  moet zich in gijzeling naar Medemblik begeven. Ook moeten zij aan Janne van der Westkerk 1000 £ zw Torn betalen en aan de graaf 4000 £. De tegenpartij moet afstand doen van al zijn klachten en aan Jan van Arnemuiden 30 £ betalen","Van Mieris II p 171, 172",,,,,,,,
1120030,1317-04-26,"Maelstede, van der",graaf Willem bevestigt het klooster Porta Coeli in haar voorrechten,Van Mieris II p 184,"in presentia: Gherardi de Vorne, Johannis de Cruninghen, Florentii de Vere, Gerardi de Heemskerke, militum; magistri Johannis de Florencia, Nycolai de Vere, Baldwini et Ludowici de Maelsteden, Wilhelmi de Leydis, armigerorum, Wilhelmi de Duvenvoorde, camerarii",,,,,,,
1120031,1319-07-22,"Maelstede, van der",verklaring van Jan van der Maelstede omtrent de leenroerigheid van de poort van Heusden aan graaf Floris,Reg Hann p 81/Orig R.A. Heusden,,,,,,,,
1120032,1320-09-08,"Maelstede, van der","graaf Willem bevestigt de lijftocht van 60 £ Zw T door Matthijs Rengersz, baljuw van Kennemerland, aan zijn vrouw Margriete heer Jansdochter van der Maelstede gemaakt","Reg Hann p 88/Reg EL 30v, EL 20 fol 27v",,,,,,,,
1120033,1321-12-08,"Maelstede, van der","graaf Willem verkoopt aan Boudyn van der Maelstede, Keynot Jacobsz en Jan Hendrik Bentvriendsz ambacht en tienden in Cloetingen, Ser Rengaerskerke en ten Hoghen in Coudekerksambacht ",Reg Hann p 101,,,,,,,,
1120034,1331-05-04,"Maelstede, van der","overeenkomst tussen Florens van Borssele, Jan van der Maelstede en Goes met de vrouwe van Wissekerke, haar zoon Wolfart en Wissekerke over het onderhoud van de dijken van Goes",Van Mieris II bl 517,,,,,,,,
1120035,1348-01-15,"Maelstede, van der","keizerin Margaretha geeft haar zoon Willem het graafschap over, bezegeld door o.a. Gerrit van der Maelstede",Batavia Illustrata bl 973,,,,,,,,
1120036,1348-06-12,"Maelstede, van der","Huge Jans wordt beleend met 3 morgen te Voorhout, die van Willem Nagel Ysbrand Coxz waren",Bijdr Hist Gen 1901 bl 242,leenman - getuige: Gheret van Heemstede en G [errit] van der Maelstede,,,,,,,
1120037,1365-06-10,"Maelstede, van der","hertog Albrecht beleent heer Boudwijn van Reimerswale, na opdracht, met diens huis, toren, hof en land te Lodijk",Van Mieris III p 177,"de heer van Haemstede, H. de Borsele, G. de Malestede, Arnoldus de Cruninghe, ridders",,,,,,,
1120038,1367-07-09,"Maelstede, van der",Machteld vrouwe van Voorne beleent Janne van der Maelstede met het goed bedoeld in de akte van 1357-02-02 ,Inv Arch Heren van Voorne regest 497,,Voorne,,,,,,
1120039,1374-06-25,"Maelstede, van der","Aelbrecht van der Wateringhe, ridder, en Kerstyne van der Wateringhe vrouwe van der Maelstede geven beiden aan Albrechts zuster Margriete, priorin ter Lee [Leeuwenhorst], hun aandeel in de helft van 5 morgen land in Voerhoete [Voorhout], waarvan de andere helft toebehoort aan Dirc de bastaard van Alkemade",Arch Kerken te Leiden regest 1120 en 1121/Inv Arch Leiden p 174/St Pancraskerk Inv no 1016 en Cartul Inv no 493 fol 50,,,,,,,,
1120040,1374-1375,"Maelstede, van der","Aelbrecht van der Wateringhe houdt goederen in leen, na zijn vader Jan, en heeft een twist over de erfenis van zijn vader met heer Gherid van der Maelstede, zijn zwager",F.J. Landsman: Het Ambacht Vlaardingen bijlage III,,,,,,,,
1120041,1430,"Maelstede, van der"," contrat de mariage de Jean van Cats et de Marie van Borssele, fille de Florent","De Raadt I p 158, 296, II p 188, 399, 264","bezegeld door: Florent van den Abeele, Henri van Borssele, heer van Veere en Zandenborch [Souburg], Bouduin van Borssele, Laurent van Cats, Wolfaert van der Maelstede, fils de sire Louis, Willem Janssone [Willem Jan Cottenson] échevin de Zierikzee",,,,,,,
1120042,1438-1439,"Maelstede, van der","Wolfert van der Maelstede: Bergen, van der herfstbede 52 sc 4d, te vangen 10 sc, dat is gegeven heer Florys van Haemstede mitten voors dorpe, ende is gheerft bij dode van heer Florus op Wulfaert van der Maelstede (869 fol 1v); 1441-1442 (872 fol 1v) en 1444-1445 (875 fol 1v): idem; 1445-1446: (876 fol 1v) Wolfairt van der Maelstede zijn erfgenamen; 1446-1447: (877 fol 1v) zijn weduwe; 1447-1448, 1448-1449, 1449-1450: (fol 1v) als voren; 1450-1451 (fol 1) en 1451-1452 (fol 1v):  behoort nu toe bij koop aan Pieter Annoqué, van de weduwe van Wolfairt van der Maelstede, zuster van voors heer Floris",Rek Rentmeester Kennemerland,,,,,,,,
1120043,1442-01-26,"Maelstede, van der","Christiaen van der Maelstede, filius Jans, uit Hontenesse, wordt poorter van Brugge",Indices Brugse Poorterboeken 1434-1450 p 350,,,,,,,,
1120044,1445-03-04 (1444),"Maelstede, van der","de hertog bevestigt de verkoop van Heer Hendrikskinderenambacht in Zuidbeveland, en van de tijns van 's Gravenpolder, door Wolfaerd van der Maalstede gedaan aan Jan Ruigrok",Van Mieris Vervolg p 37,,,,,,,,
1120045,1546,"Maelstede, van der",jhr François van der Gracht seigneur de la Maelstede ,De Raadt I p 510,,,,,,,,
1120046,1478-04-10,"Maelstede, van der","Meyne van Oistende weduwe van wijlen Olivier van der Maelstede gedaagd door Jan van Renesse en de gebroeders van Schengen: beroep tegen het vonnis van het Hof van Holland dat zich bevoegd had verklaard in een geschil over stoornis in het bezit van goederen bij Everingen, die bij testament aan Meyne van Oistende waren vermaakt; beroep ongegrond verklaard en zaak terug verwezen naar het Hof van Holland","Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 140, 141",,,,,,,,
1120047,1479-01-26 (1478),"Maelstede, van der","Ghysbrecht van der Maelstede e.a. contra Thibault Barradot: beroep tegen vonnis van het Hof van Holland, dat zich bevoegd had verklaard kennis te nemen van de stoornis in het bezit van leengoederen in Zuid Beveland; eiser had gesteld dat deze zaak in Zeeland berecht had moeten worden; beroep ongegrond verklaard en terug verwezen naar het Hof van Holland",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 151,,,,,,,,
1120048,,"Maelstede, van der",genoemd: familie van der Maelstede,"Batavia Illustrata bl 746, 747, 826, 836, 861, 879, 899, 901, 907, 981, 1021, 1059, 1064, 1202",,,,,,,,
1120049,1408,Maelstede,"Jan Simoensz, coerscepenen in t Ser Oollaerdskerke-Maelstede",De Raadt III p 361/Chartes des Ducs de Brabant,,,,,,,,
1120050,1588-02-20,Maelson,"Jacob Pietersz Maelson, van Enchuijsen, belend te Alkmaar",O.R.A. Alkmaar 133 fol 109,,,,,,,,
1120051,"1338, 1343",Maech,"Tetrode, van beesten: Matte Maeghes 4 scare an vee, 1 paard, 7sc 6d; 1343: Tetrode, van huur: Jan Maech, 2 sc, Gheraert Maich en zijn broer Jan, 3 d; Gheraert Maich en zijn vrouw Aechte, 6d","Rek Houtvester dl VII p 93, 233, 234",,,,,,,,
1120052,"1463, 1464",Maech,schepen van Dordrecht: Henrick Maech,Balen: Dordrecht p 294,,,,,,,,
1120053,1304~,Maen,"leen van Putten [Biervliet ?]: Jan Maenkynsz, - half de tiende tussen de Swethe en Jacob Nighelsweer en de helft van ⅔ van Mingelsweer; - Voppe Reymborchwaert [Borrewaert ?] en 1 viertel land buitendijks, Jan Maenkynsz ",R.G.P. Grote Serie 171 Rek Dom Putten II p 267,,,,,,,,
1120054,1604,"Maar, van der ","stierf Maria van der Maar, te Egmond x 1580 Ysbrand van Rietwyk",Batavia Illustrata bl 1071,,,,,,,,
1120055,1230-12-06,"Maerland, van","Hendrik heer van Voorne vergunt zijn bloedverwant/leenman Floris van der Woert dat zijn leengoed onversterfelijk zal blijven, sterft hij kinderloos, dan zal zijn broer Hardbernus zijn goederen verkrijgen",De Fremery no 65/Alkemade: Beschrijving Brielle en Voorne II bl 2,"testes: G. prepositi Zat---, Hugonis fratris nostri, ---- [Ysbrand] de Harlem, W[outer] de Haerlem, Th de Wassenare, Heinricus de Naeldwijc, B[oudyn] de Maerlant, H. de Maerlant [Hendrik of Hugo?]",,,,,,,
1120056,1246-02-26,"Maerland, van","Nicolaas van Putten beleent Nicolaus en Jan Penninc Wzn met het land Corendijk, met tienden, ambacht en visserij",v.d. Bergh I no 416,"zegelaars: Nicolaus de Putten, Wilhelmus comes Hollandiae, N. Persin, miles; testes: Wilhelmus de Wiichvliet, Th en Petrus de Spikenesse, Hessel, Hugho, Joh de Maerlant en magister Paulus",,,,,,,
1120057,1290-03,"Maerland, van","verscheidene Zeeuwse edelen beloven hulde en manschap aan graaf Guy van Vlaanderen, daar graaf Floris V de inbreuken op 's lands oude costumen niet herstelt: no 6 Hues [Hugo] de Mairlant; op Scherpenisse: Claisse de Mairlant, Hues de Stenlant, Jean fils dame Natalie","v.d. Bergh I no 666, 723",,,,,,,,
1120058,1309-05-11,"Maerland, van","de bisschop van Utrecht, de graaf van Holland en Gerard heer van Voorne doen uitspraak tussen de kinderen van heer Wolfert van Borssele ter enerzijde en de erfgenamen van heer Philips van Duvenvoorde, Philips van Santhorst, Wouter van Harlem, Symon van Benthem, Philips Uyternesse, Ghisekins erfgenamen van Ammers, Vriesen erfgenamen van der Mye, Diederics erfgenamen van Sandhorst, Florens en Wouters erfgenamen van Duvenvoorde, Jan van Zassenem, Willem van der Lane enGerard Ever, ter ander zijde, wegens de doodslag op heer Wolfert van Borssele, vader van bovengenoemden, te Delft in 1299 gepleegd, en de daarop gevolgde strijd te Vere in mei 1301. Genoemde edelen werden veroordeeld tot betaling van 1000 £ zw. Tourn. Vrijgesproken werden heer Florens van Bouchorst, die persoenre van Delf, Hughe van Merlant en Ogier uten Hoeke","Van Mieris II p 83, 84",,,,,,,,
1120059,1316,Maerland,uitgegeven van lenen uit renten tussen Schie en Goude: in Schie van de herfstbede aan Hughe Merlant 2 £ ,Rek Hen Huis I p 69,,,,,,,,
1120060,1334,"Maerland, van","ontvangsten hofstede huur op Rotterdam, per roede 12 d: Jan van Maerland 2 roeden 2sc en 3 roeden 3 sc",Rek Hen Huis I p 209,,,,,,,,
1120061,"1403, 1404",Maerland,schepen van Delft: Gerrit Mairlant Jacob Pynsz,Bortet: Delft p 103,,,,,,,,
1120062,1418,Maerland,Maritge Gheryt Maerlansdochter non in St Aechtenklooster te Delft,Bortet: Delft p 371,,,,,,,,
1120063,"1462, 1484",Maerland,schepen van Heusden: Dirrick Willem Merlantsz,De Raadt II p 465,,,,,,,,
1120064,1262,"Mare, de",Ambrosius de Mare: 5 £ Lov,"H Pirenne: Livre Abbé W Ryckel, van St Truyen p 174",,,,,,,,
1120065,1467-12-02,"Mare, van der","mr Jan van der Maer, priester, contra Aelbrecht van Egmond, Dirc Hofland, Dirc Jacobsz, Thomas Dircsz, Huge Storm, Ave Wouter Gerytsz weduwe en Ysbrant Pieter Ockersz, gedaagde en Claes Oije, partie inthime verkrijgt 1e default",Coll Aanw 238 fol 22/Memorien Hof van Holland fol 7,,,,,,,,
1120066,1725,Maelpaert,"no 16): het huis te Echtrop, gebouwd tussen Bergen en Schoorl door monseigneur Barthoild van Poelenburg en nu toekomende aan zijn weduwe Catharina Maelpaert",R.A. Bibl no 19A 21/Kronyk van Almaar 1725 p 208,,,,,,,,
1120067,1361-1362,"maerlander, de","Godevaert de maerlander van de visserij van de watertochten bij de Spanbroeker somerdijk binnen de ban, 31 sc",Rek Rentmeester Kennemerland 809 fol 15,,,,,,,,
1120068,1436-12-09~,"Maarn, van der","Jacop Dever Hermansz, schout te Bunnik, oorkondt een deling van land aldaar: 20 morgen land, ¼ deel van Lysbeth vrouw van Willem Speyart van der Maern, twee delen zijn van Zweder van der Maern en de zoon van Lysbet heeft ¼, waarvan 9 morgen gelegen zijn tussen het land van Lysbet en het land van heer Johan van Renesse's erfgenamen, stekkende van Ruemsterwetering [Johan van Riemst, vermeld 1401]",Codex Dipl Neerl 2e serie dl 4 afd 2 p 62,,,,,,,,
1120069,1474-1475,"Maarn, van der","Willem Speyaert van der Maern en zijn dochter Geertruid, Utrecht, kopen een lijfrente van 6 R gld op Haarlem voor 88 £; Henric Jan Baersdochter vrouw van Willem Speyaert koopt voor zich en voor hun dochter Jutte idem",Thesauriersrekening Haarlem fol 26v,,,,,,,,
1120070,1460-04-27,"Maarn, van der","Herman Korstiaensz en Jacob Streck ter ener, Aernt van der Maern en Johan van der Hair ter andere zijde, maken huwelijks voorwaarden tussen Aelbrecht van Assendelft en Korstiin Zwedersdochter van der Maern, waarbij bepaald wordt dat Aelbrecht ondermeer een jaarrente van 100 R gld gaande uit landgoederen in de ban van Hillegom en Veenhusen mede ten huwelijk zal brengen, Korstiin omtrent 39 R gld en 110 stuivers jaarrente gaande uit landerijen en huizingen in Groeningen",Arch Wassenaer Starrenburg Regest no 5 ,"Jacob Streck, Aernt van der Maern, Johan van der Hair, Gerst van Drakenborch, Bartout van Assendelft heer van Veenhuizen en ambachtsheer van Bleyenland",,,,,,,
1120071,1509,"Maarn, van der","stierf Christina van der Maarn, dochter van Sweer van der Maarn, x Albert van Assendelft, heer van Veenhuysen",Batavia Illustrata bl 856,,,,,,,,
1120072,1668-03-31,Maers,"losrenten kantoor Medemblik: verschijndag 04-04, Jacob Pietersz Maers, fl 600 - fl 24, duplicaat verleend 1797-03-14",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,,,,,,
1120073,1625,Maers,"200e penning kantoor Medemblik: Frerick Jansz Maers, hoofdsom fl 215, losrente fl 8-12, afgelost ingevolge resolutie dd 1764-12-20; 1642-05-08/05-19: Fredrick Jansz Maets, fl 600 - fl 24; 1646-06-22/07-01: Fredrick Jansz Maerts, fl 1100 - fl 44",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,,,,,,
1120074,1337,"Maarsman, van",schildknaap: Diderik van Maarsman,Batavia Illustrata bl 1202,,,,,,,,
1120075,1363-1364,maerscalc,"Dirc maerscalc, afterstal van land te Vronen van het jaar 1364, 7 £ (811 fol 21v); 1366-1367: (812 fol 22v) die die zwanen bewaard op de Langendijc, van sinen roc, 30 sc; 1368-1369: (813 fol 6) van de zwanen te bewaren op de Langedyc, 1 roc 36 sc",Rek Rentmeester Kennemerland,,,,,,,,
1120076,1524-1525,Maarschalk,"Jan Jansz Maarschalk, smid te Middelburg",Grote Raad Mechelen E.A. Dossiers dl II dossier 356/2,,,,,,,,
1120077,1127-10-02,"Maarssen, van","bisschop Godebald bepaalt de marktplaatsen te Utrecht, onder zijn getuigen-ministeriales Mentetus en Goeswinus van Maersen, broers",v.d. Bergh I no 113,,,,,,,,
1120078,1118,"Maarssen, van~","bisschop Godebald schenkt de kerk te Medenblik aan het kapittel van St Marie, onder de getuigen: Meintetus [van Maersen ?]",v.d. Bergh I no 104,,,,,,,,
1120079,1240-06-15,"Maarssen, van","proost, deken en kapittel van Oudmunster hebben aan het convent van Bern hun hoeve te Berlanchem verkocht en daarvoor de tienden te Rijswyk bij Wijk en te Oudewater te hebben gekocht; onder de getuigen: Heinricus de Mersen",v.d. Bergh I no 374,,,,,,,,
1120080,1285-10-27,"Maarssen, van",Willem van Marsen hield van de heer van Amstel in leen:  5 £ liggende op Burevelt aan zijn woning,Bijdr Hist Gen 1901 bl 164/Reg EL 5 fol 34r,,,,,,,,
1120081,1343,"Maarssen, van","ontvangsten van Gheret Heynenz, rentmeester van Noordholland: van landhuur in Woerdenerkerspel, Dirx kinderen van Mairsen 4 £ ",Rek Hen Huis II bl 32,,,,,,,,
1120082,1346,"Maarssen, van","leen van Amstel: no 39) 10 morgen aan land bij de Waver in het kerspel van Ouder Amstel in het gerecht van de heren van St Marie, Willem Ottenz; 1348-03-11: Willem van Maersen bij overdracht door Willem Ottenz en krijgt ten eigen",Ons Voorgeslacht 09-1988 p 375,,,,,,,,
1120083,1350,"Maarssen, van","leen van Amstel: no 79) 6 morgen in het gerecht van de proost van St Pieter (Abcoude) bij de Holendrecht genaamd Bisschopsland bij de Groenendijk, Claes Dircsz van Maarsen, de helft lijftocht voor zijn vrouw Fie; 1402-02-28: idem; 1406-06-17: Dirc van Maarssen bij dode van zijn vader Claes, 1412-08-17: idem; 1452-06-05: Jooste na dode van haar vader Dirk, Joost gehuwd met Kerstkyn Luy(t)gens; 1452-06-05: Kerstkyn Luytkensz beleend namens Joost, dochter van Dirc van Maerssen; 1460-07-04: Dirc van Maarssen bij dode van zijn moeder Jooste; 1494-03-15: Joost Dirc van Maarsendochter, bij dode van haar oudere zuster, waarna overdracht aan haar neef Jan Duyst voor Aleid, natuurlijke dochter van Joost bij mr Coenraad Staal, met lijftocht van haar moeder; 1496-07-12: Ysbrand Boyersz van Maarsen bij dode van Aleid Staal; 1500-10-29: Willem Ysbrandsz bij dode van zijn vader  (sterk verkort); 1511-09-25: Staes Claesz voor zijn zoon Claes bij overdracht  door Willem Ysbrandsz",Ons Voorgeslacht 09-1988 p 389,,,,,,,,
1120084,1390-01-16,"Maarssen, van","leen van Amstel: no 63) 3 morgen land bij de wildernis van Bylmerbroec aan de Bancmeer, gemeen met Ruysch Arnoutsz, belend noord: de leenheer, zuid: de papenprove van Ouderkerk, west: de Bankmeer, zuidwest: het Abcoudermeer, 1390-01-16: Claes van Maersen voor Willem van Maersen met ledige hand; 1392-05-01: Claes van Maersen bij dode van zijn vader oude Willem van Maersen; 1415-02-17: Willem van Maersen na dode van zijn vader Claes; 1440-10-17: Jan Willem Claesz van Maersen alias Jan van der Haer na dode van zijn vader; 1428: (no 203) Claes Coedinc Jan Broec Willemsz.z. bij dode van zijn broer Willem Jansz",Ons Voorgeslacht 09-1988 p 385; Libro III fol 124,,,,,,,,
1120085,1393-1394,"Maarssen, van","binnen Woerden: Dirc van Maersen een hofstede in lijfhuringe om 4 sch (fol 1 p 144); (fol 6v) Dirc van Maersen heer Aelmansz gegeven uit de renten van het land van Woerden 16 Holl scilde, maakt 16 £; 1394-1395 (fol 1 p 149, 154) eerst binnen Woerden: Dirc van Maersen een hofstede in lijfhuur, 4 sc; (fol 6 p 162): Dirc van Marssen heer Aelmans gegeven uit de renten van het land van Woerden 10 Holl sc, maakt 10 £; 1395-1396: (fol 1 p 171) binnen Woerden Dirc van MArsen een hofstede in lijfhuur voor 4 sc; (fol 5 p 175) zijn rente van 10 Holl sc maakt 10 £",Rek Rentmeester van Woerden,,,,,,,,
