nummer,datum,plaats,verkoper,koper,omschrijving,belending,bron,opmerkingen,,
5010014,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten),,⅛ deel van een croft met een weyde zuydoost daerof gelegen,"noordwest: de heer van Assendelft met zijn croft; zuidoost: dat lant dat wijlen de vrouwe van Assendelft gekocht heeft van Gysbrecht van Zwieten, jvr.  Lutgart van Swieten weduwe van Gerrit van Schoten, Gysbrecht van der Bouchorst en jvr. Johanna van Schagen weduwe Floris van der  Bouchorst en Jacob heer van Wyngaarden; zuidwest: die hofstede daar Cornelis Heynricsz op woont, de heer van Assendelft toebehorend      ",Cartul Assumburg,,,
5010015,1534-05-20,Heemskerk,,,"Gheryt heer van Assendelft deelt bezit met Gysbrecht van der Bouchorst, Gysbrecht van Zwieten, Lutgert van Swieten weduwe Gerrit van Schoten. heer Gerrit ontvangt: 1) die croft gelegen zuidoostwaarts van de croft van de voorschreven heer van Assendelft groot  ± negenachtendeel rogsadinge, bruiker Willam Willamsz; 2) een weyde gelegen zuidoostwaarts van de voorschreven croft, gelegen achter het huis dat Cornelis Heynricsz althans bewoont, groot 1 gars  [afzonderlijke fiche]",,Cartul Assumburg,,,
5010016,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten)  ,heer Gerrit heer van Assendelft,⅛ deel van een acker gelegen tussen de Wyckweg en Oetger Dircsz weduwe,noordwest: Heynric Cornelisz; zuid oost: Cornelis Dirck Woutersz   ,Cartul Assumburg,,,
5010017,1534-05-20,Heemskerk,          ,,"Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Zwieten en Lutgart weduwe Gerrit van Schoten delen goederen: Gysbrecht van Zwieten ontvangt een acker groot 2 achtendeel rogsadinge gelegen tussen de Wyckweg en Oetger Dircsz weduwe, bruicker: Willem Aris        ",noordwest:  Heynric Cornelisz; zuidoost: Cornelis Dirck Wouters ,Cartul Assumburg,,,
5010018,1534-05-20,Heemskerk,,,"Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Zwieten en Lutgart weduwe Gerrit van Schoten delen goederen: Gysbrecht van Zwieten ontvangt een acker groot 3 achtendeel rogsadinge gelegen tussen de Wyckweg en Oetger Dircsz croft, bruicker: Willem Arisz        ",noordwest: Clara Heynric Danielsz weduwe; zuidoost: Rycklant Pieter Ockers weduwe ,Cartul Assumburg,,,
5010019,1532-11-28 ,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten).   ,heer Gerrit heer van Assendelft,⅛ deel van een acker gelegen tussen de Wyckwech en Oetger Dircsz's croft,"noordwest: Clara Heynric Danielsz weduwe; zuidoost: Rycklant Pietersdochter, Pieter Ockersz weduwe   ",Cartul Assumburg,,,
5010020,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten),heer Gerrit heer van Assendelft,"⅛ deel van ⅔ deel van 2 blocken zaylant, daer Willem Arysz dat ⅓ deel of toebehoort gelegen voor Claes Gherytsz deur ","noordoost: Claes Gherytsz; zuidwest: Bouwen Willemsz, Tryn Gerbrantsz; zuidoost: Clara Heynric Danielsz weduwe; noordwest: die kerkwech   ",Cartul Assumburg,,,
5010021,1534-05-20,Heemskerk,,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten. Gysbrecht van Swieten ontvangt: die twee delen (= ⅔) van 2 blokken saetlants, groot ¾ deel van een groot achtendeel rogsadinge, daer Willem Arysz dat ⅓ deel of toebehoort, gelegen voor Claes Gherytsz deur; bruiker: Willem Arisz      ",noordwest: de kerkweg; noordoost: Claes Gerytsz; zuidoost: Clara Heynric Danielsz weduwe; zuidwest: Bouwen Willemsz en Trijn Garbrantsdochter ,Cartul Assumburg,,,
5010022,1534-05-20,Heemskerk,,,"Gerrit heer van Assendelft gaat een deling aan met Gysbrecht van der  Bouchorst, Gysbrecht van Zwieten, Lutgart van Swieten weduwe Gerrit van Schoten; Gerrit van Assendelft en Gysbrecht van der Bouchorst ontvangen tesamen. Bij een nadere verdeling toegewezen aan Gysbrecht van der Bouchorst een acker tussen die Wyckweg en die Kerkweg, groot 2 achtendeel rogsadinge en Willem Arijsz in gebruik heeft          ",noordwest: Allert Gherytsz met een aelmisacker; zuidoost: Clara Heynric Danielsz weduwe  ,Cartul Assumburg,,,
5010023,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten) ,heer Gerrit heer van Assendelft,⅛ deel van een acker lants tussen de Wykweg en de Kerkweg  ,noordwest: dat aelmislant dat Allert Gherytsz vervoecht; zuidoost: Clara Heynric Danielsz weduwe  ,Cartul Assumburg,,,
5010024,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten). Zijn deel in de huur 2 Carol gld 16 st 1 oortys   ,heer Gerrit heer van Assendelft,"⅛ in een mad land; bruict Oetger Dircsz weduwe met andere landen op t Hofland voor 22,5 Kar gld",noordwest: die Rietcamp met die twee Aekermaden; oost: die Papencamp; zuidwest: mr Fop te Haerlem met die Aeckermaden ,Cartul Assumburg,,,
5010025,1534-05-20,Heemskerk,,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten. Lutgart van Swieten weduwe Gerrit van Schoten ontvangt: een mat lants dat MarytgenOetger Dircsz weduwe gebruict heeft     ",noordwest: die rietcamp met de voorschreven twee Aekermaden;  oost: die Papencamp; zuidwest: mr Fop te Haerlem met zijn Aeckermade ,Cartul Assumburg,,,
5010026,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz(uit het bezit van zijn voorouders van Swieten).   ,heer Gerrit heer van Assendelft,"⅛ deel van een camp gelegen bij den dyck, groot ± 5 maden ",noordoost: Thaems Gherytsz en Pieter Gherytsz; zuidoost: de dijk en die Waelcamp [?]; noordwest: Thaems [ Thonis ]  ,Cartul Assumburg,,,
5010027,1534-05-20,Heemskerk,,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten; Gysbrecht van Swieten ontvangt een stuck lants bij den dyck, groot  ± 10 geers; bruiker: Willem Arisz       ","noordoost: Thaems Gerritsz en Pieter Gerritsz; zuidoost: de dykweg, zuidwest: die Waelcamp; noordwest: Anthonis Danielsz    ",Cartul Assumburg,,,
5010028,1534-05-20,"Heemskerk, die cleyne Aeckermaede",,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten. Gysbrecht van Zwieten ontvangt: die cleyne Aeckermaede groot ±  10 geers; bruiker: Willem Arisz       ",,Cartul Assumburg,I 51,,
5010029,1534-05-20,"Heemskerk, die grote Aeckermaet",,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten. Lutgarde van Swieten weduwe Gerrit van Schoten ontvangt: die grote aeckermaeden die Willem Arijsz gebruict heeft en houdt ±  12 geersen    ",,Cartul Assumburg,I 48,,
5010030,1534-05-20,Heemskerk,,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten en Lutgart van Swieten weduwe Gerrit van Schoten. Lutgart van Swieten weduwe Gerrit van Schoten ontvangt: een campe lants genaemt ""die ""Buercamp"" gemeen met die nonnen in die Beverwyk, groot 8,5 geers; gebruict geweest bij Mergriete Gherit Dircsz weduwe op t Hoflant       ","noordoost: Aelbrecht van Egmondt; oost [?]: de heer van Assendelft met lant dat Gerbrand Bertelmeus bruict; zuidoost: de heer van Assendelft, bruict Rusgen Willem Willemsz weduwe; noordwest: de heer van Assendelft met Vlietgers     ",Cartul Assumburg,,,
5010031,1540-08-06,Heemskerk,"Jan Maertensz, buurman van t Hofland",heer Gerrit heer van Assendelft," ½ van een stucke lants groot omtrent 2 morgen, dat gehele lant bij den hoop sonder mate, genoempt Grote Bouswech  ",noordwest: cleine Boefweer; noordoost: Allert Gerritsz; zuidwest: die Maetweg; zuidoost: de Grote Pipencampen [ Papencamp?]     ,Cartul Assumburg/Archief Marquette 1106 no 36  ,II 3,,
5010032,1545-03-19,Heemskerk,"Symon Dircsz, duinmeier te Velsen",heer Gerrit heer van Assendelft," ½ van grote Bueffweer an die Zuijtmaetwech, d'ander helft reeds an de heer van Assendelft toebehoort",noord: die Cleine Bueffweer; oost: die Bailliuscamp; zuid: die grote Papencamp; west: die Maetwech  ,Cartul Assumburg,II 3,,
5010033,1502-03-21,Heemskerk,,,"graaf Enghebrecht van Nassau beleent Geryt van Assendelft met de lenen van zijn vader heer Nicolaas: 4) alle die huysingen ende hofsteden daer wylen Bertout van Assendelft in te wonen plach, mitten heemwerve binnen der uijterste grafte, die laenacker ende den noerdenacker tussen der lane ende Bauckensacker, vuytgaende gehelijke an den weg, ende 4 geersen in den mersch van Smeetscampe in te meten zuytwaerts",,Cartul Assumburg,,,
5010034,1546-12-31,Heemskerk,,,"de prins van Oranje als heer van der Lecke beleent Geryt heer van Assendelft met: ""Assumburch"" met die laen, die laenacker ende den noorderacker tussen de laen en Bauckenacker, uitgaende gelijk an den wech als nu gelegen in een grote croft, mij toebehorende, 4 geers  en in de marsche van Smeetscamp, in te meten zuytwerts         ",,Cartul Assumburg ~,,,
5010035,1546-12-31,"Heemskerk, de Duyfvenne",,,"de prins van Oranje beleent Gheryt heer van Assendelft na opdracht uit eigen goed,bruiker: Jan Willem Arisz: 2) met een stucke lants geheten die Duyfvenne metten ghiet tesamen 3,5 morgen 172 roeden    ",,Cartul Assumburg ~,,,
5010036,1546-12-31,"Heemskerk, Zebelencamp",,,"de prins van Oranje beleent Gheryt heer van Assendelft na opdracht uit eigen goed, bruiker Jan Willem Arijsz: 3) met een stuk lant geheten Zebelencamp, groot 1 morgen 275 roeden en 7 voet     ",,Cartul Assumburg ~,,,
5010037,1546-21-31,"Heemskerk, dat Hontsbosch",,,"de prins van Oranje beleent Geryt heer van Assendelft, na opdracht uit eigen goed met: 4/1) een stuk lants geheten dat Honsbosch, zuidoostwaarts van t veer, streckende in t noord oosten aan die nieuwe watering, groot 1 morgen 192 roeden 9 voet; bruiker: Jan Willem Arijsz     ",noordwest: (het veer); zuidwest: (die nieuwe watering) ,Cartul Assumburg ~,,,
5010038,1546-12-31,"Heemskerk, die grote Aeck en die cleyne Aeck",,,"de prins van Oranje beleent Gerijt heer van Assendelft, na opdracht uit eigen goed met: 5)  een stuk lants genoemt die cleyne aeck, groot 3 morgen 260 roeden; 6) een stuk lants geheten die grote Aeck, groot 3,5 morgen 32 roeden 6 voet    ",,Cartul Assumburg ~,,,
5010039,1551-03-02,"Heemskerk, die grote Aeck en die cleyne Aeck",,,"wijlen Barthoud van Assendelft verleende anno 1412 aan de commandeur van St Jan te Haarlem hypotheek op 2 stukken land te Heemskerk, de Grote Aeck en de Cleyne Aeck belend door de heer van Assendelft zelf en door de Hecksloot.  De commandeur doet nu afstand van deze hypotheek. Zie ook 1551-02-28      ",belend: de heer van Assendelft en de Hecksloot,Cartul Assumburg,,,
5010040,1546-12-31,Heemskerk,,,"de prins van Oranje beleent Geryt heer van Assendelft, na opdracht uit eigen goed, bruiker: Jan Willem Arysz: 7) een grote croft zayland gelegen voor onzen huyze van Assumburch, groot 4,5 morgen 305 roeden en 6 voet (met inbegrip van de 3 ackers die reeds lang van de heer van der Lecke te leen gehouden worden en afzonderlijk zijn gespecificeerd)",noordoost: die tegenwoordige laen van den huyse van Assumburch; noordwest: die veerwech; zuidwest: die weg die men gaet na den huize van Haerlem     ,Cartul Assumburg~,,,
5010041,1546-12-31,"Heemskerk, dat Vynerhoff",,,"de prins van Oranje beleent Geryt heer van Assendelft, na opdracht uit eigen goed met: 8/1) een cleine boomgaert geheten dat Vynerhoff, gelegen noordoostwaarts van het huis Assenburch",,Cartul Assumburg~,,,
5010042,1546-12-31,"Heemskerk, de Peerhof",,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met:  9) ""een cleyn boomgaertken geheten dat peerhoff"", gelegen noordoost waarts van het voorhof van den huyse van Assumburch  ",,Cartul Assumburg~,,,
5010043,1546-12-31,"Heemskerk, Sleijsershoff",,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met: 10)  een boemgaert geheten ""Sleijsershoff"", gelegen zuidwestwaart van den huyse van Assumburch en oostwaerts van den werve daer die bouwerie althans op staat, mitsgaders dat voorhoff ende nederhoff metten timmeragien daerop staende         ",,Cartul Assumburg~,,,
5010044,1525-08-31,Heemskerk,Jacob Oem heer van Wijngaarden,"Aleid van Kyfhoek, vrouwe van Assendelft ",¼ van een stuk land,"noord: de vrouwe van Assendelft met ""Vredericsven"" ",Cartul Assumburg,,,
5010045,1525-09-23,Heemskerk,Jvr Johanna van Schagen weduwe Floris van der Bouchorst," Alyd van Kyfhoek, vrouwe van Assendelft",⅛ deel van een stuk land in de ban van Heemskerk,noordoost: Vredericsvenne (toebehorende aan de koopster) en vier geersen toebehorende aan de verkoopster c.s; zuidoost: de Maedwech; zuidwest: de verkoopster en koopster; noordwest: de gracht van het huis Assumburch  ,Cartul Assumburg,,,
5010046,1525-08-31,Heemskerk,Gysbrecht van der Boechhorst," Alyd van Kyfhoek, vrouwe van Assendelft",⅛ deel van een stuk land ,"noordoost: de vrouwe van Assendelft met ""Vredericsven"" ",Cartul Assumburg,,,
5010047,1525-09-15,Heemskerk,Lutgart Pietersdochter van Swieten weduwe Gerrit van Schoten," Alyd van Kyfhoek, vrouwe van Assendelft",¼ deel van een stuk land in de ban van Heemskerk,noord: Vredericsven en de vier geersen toebehorende Lutgart voorschreven en de weduwe van Floris van der Bouchorst; zuid oost: die Maedwech; zuid west: jvr Luytgart voorschreven C.S.; noord west: die gracht van het huis Assumburch; zuid: die voorschreven vrouwe van Assendelft met Cornelis Heymicsz hofstede     ,Cartul Assumburg,,,
5010048,1546-12-31,Heemskerk,,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met: 11) een boomgaert gelegen zuidoost waert van den huise van Assumburg, streckende van der graft metter elsebossen daeromgaende mitsgaeders een singel, sulcx als mijn vrouwe moeder die heeft doen graven en planten in den jare 1525, daerof zij de grond gecoft heeft van heer Jacob heer van Wyngaerden, Janna van Schagen weduwe Floris van der Bouchorst, Gysbrecht van Zwieten en de weduwe van Geryt van Schoten c.s.       ",,Cartul Assumburg ~,,,
5010049,1529-11-05,"Heemskerk, de Overmate",Willem Kerstensz,heer Gerrit heer van Assendelft,"½ van een stuck land geheten die Overmade, waarvan de wederhelft toebehoort Margriete Maerten Dircsz weduwe op t Hofland. Belast met 15 st per jaar onlosbare rente tbv de kinderen van Wijk ","noordwest: die zeven geersen, Zebelencamp en die Cleyne Aeck; noordoost: die Grote Aeck en molenslootsvenne; zuidwest: Fredericsvenne en die Marsch; zuidoost: dieselve Molensloetsvenne met land toebehorende Willem Pietersz, poorter te Haarlem      ",Cartul Assumburg,anno 1539 II 32,,
5010050,1544-12-19,"Heemskerk, de cleyne Overmaet","Sarys de Coninck, Gheryt van Rysenburg, Lambrecht Cantert, Marg van Ryn en Anna van Pallaes, alle wonende te Utrecht   ",heer Gerrit heer van Assendelft,"1 Rgld per jaar onlosbare rente uit ½ van een stuk land geheten die Cleene Overmaet gelegen in de heerlijkheid Heemskerk, daervan de wederhelft toebehoert mitter opstalle van 1 gelijke Rgld per jaar: Griete Wiggersdochter weduwe Maerten Dircsz te Heemskerk      ",,Cartul  Assumburg,anno 1539 II 32,,
5010051,1546-12-31,"Heemskerk, die Overmade",,,"de prins van Oranje beleent Gerrit heer van Assendelft na opdracht uit eigen goed met: 13) een half stuck landts geheten die halve Overmaede groot voor mijn portie 363 roeden 4 voeten 6 duim, die ick eertyts gecoft hebbe tegens Willems Kerstensz; bruiker: Jan Maertsz     ",,Cartul Assumburg ~,anno 1539 II 32,,
5010052,1552-12-18,"Heemskerk, de Overmade","Maritgen Maerten Dircsz dochter, weduwe van Simon Dircksz met haar broer Jan Maertsz als voogd   ",heer Gerrit heer van Assendelft,"½ van een stuck lants geheten die Overmade, daer die ander helft den heer van Assendelft overlange af toebehoort heeft ","noordoost: die grote Aeck, ook toebehorende den heer van Assendelft; noordwest: ""Jan Aerntsz campken"" toebehorende aan poorters van Utrecht, daer die heer van Assendelft ook een deel in heeft, pachter Willem Willemsz ; zuidwest: Fredricsvenne, ook toebehorende aan de heer van Assendelft; zuidoost: de weduwe en erfgename van Willem van Ruyven          ",Cartul Assumburg,anno 1539 II 32,,
5010053,1546-12-31,"Heemskerk, Bonnenven",,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met: 14) een stuck lants geheten ""Bonnenven"", groot 1 morgen 760,5 roeden, ende ick gecoft hebbe die eene helft van Aerndt Willem Philipsz en die andere helft van een duinmeier van Velsen [Simon Dircksz]   ",,Cartul Assumburg ~,,,
5010054,1546-12-31,Heemskerk,,," de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met: 16) een croft zaeijlants leggende tussen de voorsingel ende den wech die men naer t huijs te Haerlem gaat, groot 2 morgen 139 roeden, door mijn moeder gekocht van de erven van Floris van der Bouchorst, Gysbrecht van der Bouchorst, Gysbrecht van Zwieten en de weduwe Gerrit van Schoten; bruiker: Louris Willem Arysz          ",,Cartul Assumburg ~,,,
5010055,1546-12-31,Heemskerk,,," de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed met: 17) een stuck lants achter den nyeuwen boomgaert zuidoostwaerts opstreckende an de Maedweg groot 1,5 morgen 249 roeden,  door mijn moeder gekocht van de erven van Floris van der Bouchorst, Gysbrecht van der  Bouchorst, Gysbrecht van Zwieten en de weduwe Gerrit van Schoten; bruiker: Louris Willem Arijsz          ",,Cartul Assumburg ~,II 48, ,
5010056,1532-11-28,"Heemskerk, de Mersch",Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten) ,, ⅛ deel van een stuck lants geheten die Mersch ,"noordwest: de heer van Assendelft met ""Fredericsvenne""; zuidoost: Willem Pietersz, poorter van Haerlem; zuidwest: de heer van Assendelft met land dat Willem Arysz bruickt; noordoost: de heer van Assendelft met Margriete Claes Dircsz weduwe    ",Cartul Assumburg,II 43 ,,
5010057,1534-05-20,"Heemskerk, de Mersch",,,"Gerrit heer van Assendelft gaat een deling aan met Gysbrecht van der Bouchorst, Gysbrecht van Zwieten, Lutgart van Swieten weduwe Gerrit van Schoten; heer Gerrit ontvangt: 3v) een stuk land geheten ""die Mersch"", gelegen zuidoostwaarts van Vredericsvenne, groot ±  5 geers, bruiker : Willam Willamsz   ",,Cartul Assumburg,II 43 ,,
5010058,1546-12-31,"Heemskerk, de Mersch",,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed, bruiker: Louris Willem Arisz, met: 18) een stuck lants geheten den Mersch, gelegen zuid oostwaerts van ""Vredericsvenne"", groot 1 morgen 268 roeden 9 voet; door mijn moeder gekocht van de erven van Floris van der Bouchorst, Gysbrecht van der Bouchorst, Gysbrecht van Zwieten en de weduwe van Gerrit van Schoten  ",,Cartul Assumburg,II 43 ,,
5010059,1532-11-28,Heemskerk,Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten) ,,⅛ deel van een hoeve en een halve viertel tussen de Hollebeeck en ie Wendenacker,noordoost: gemeen met Wilem Arijsz; zuidwest: Willem van Ruyven ,Cartul Assumburg,VII 9 ,,
5010060,1534-05-20,Heemskerk,,,"deling van goederen tussen Gerrit heer van Assendelft, Gysbrecht van der Bouchorst, Gysbrecht van Swieten, Lutgart van Swieten weduwe Gerrit van Schoten; Lutgart van Swieten weduwe Gerrit van Schoten ontvangt: een hoeve die Willem Arijsz gebruict heeft, gelegen tussen de Hoelbeeck en de Wendacker, groot  ± drieachtendeel rogsading    ",noordoost: die halve hoeve; zuidwest: Willem van Ruyven,Cartul Assumburg,VII 9 ,,
5010061,1532-11-28,"Heemskerk, de Mersch",Willem van der Bouchorst Florisz (uit het bezit van zijn voorouders van Swieten) ,,"⅛ deel van twee hoeven gelegen zuytwert van Trijn Gerbrants hoeven, tussen die Hollebeeck ende die Wendeacker ",zuidoost: Trijn Gerbrants; zuidwest: Willem van Ruyven ,Cartul Assumburg,VII 9 ,,
5010062,1534-05-20,Heemskerk,,,"Gerrit heer van Assendelft gaat een deling aan met Gysbrecht van der Bouchorst , Gysbrecht van Zwieten, Lutgart van Swieten weduwe Gerrit van Schoten; heer Gerrit ontvangt 2 hoven gelegen zuidoostwaarts van Trijn Gerbrantshove tussen de Hollebeek en de  Wendeacker, houdende ±  achtendeel rogsadinge      ",noord oost: Trijn Garbrantsz; zuid west: Willem van Ruyven ,Cartul Assumburg,VII 9,,
5010063,1546-12-31,Heemskerk,,,"de prins van Oranje beleent Gerrit heer van Assendelft, na opdracht uit eigen goed, met:  19b)  twee houven lants gelegen tussen den Hollenbeeck ende de Wendacker, groot 1 morgen 262 roeden 6 voeten, door mijn moeder gekocht van de erven van Floris van der Bouchorst, Gysbrecht van der Bouchorst, Gysbrecht van Zwieten en de weduwe van Gerrit van Schoten; bruiker: Louris Willem Arisz       ",,Cartul Assumburg~,VII 9,,
5010064,1534-05-20,Heemskerk,,,"heer Gerrit van Assendelft gaat een deling aan met Gysbrecht van der Bouchorst, Gysbrecht van Zwieten, Lutgart van Swieten weduwe Gerrit van Schoten; heer Gerrit ontvangt: o.a. een halve hove houdende ca drievierendeel rogsadinge gemeen met Willem Arysz     ",,Cartul Assumburg,VII,,
