id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1190020,1333-05-02,Taets,"Arnoldus zoon van Nicolaas uten Werde en zijn zoons Nicholaus en Johannes verkopen voor 40 £ huis en erf te Bomel aan Henricus de Werva senior, gelegen tussen Johannes Coman Gans, Rodolphus Puylhoghe aan de ene zijde en Henricus Taetsken, Nicolaas zoon van Ghesen, Johannes dictus Houtsnider, Mechtilde Gruyster aan de andere zijde",Cartul Marienweerd no 414,,
1190021,1392-09-27,Taets,"leen van Vianen: no 588) 6 morgen in Lakerveld, belend boven: Wouter Gerritsz met no 584), beneden: heer Zweder van Vianen, zijnde hofleen, beleend Ernst Taats; 1412-08-21: Dirc van Oudaan, belend boven: de leenheer, beneden: heer Jan van Vianen, neef van de leenheer; 1420-02-27: Dirc van Oudaen; het leen is aan de leenheer gekomen",Ons Voorgeslacht 01-1988 p 24,,
1190022,1410~,Taets,"leenregister Culemborg: Mergriet Jacob Taetsen wijf (doorgehaald, vervangen door jvr Mechtelt Jacob Taetsendochter) - 4 morgen 4 hont te Mauderic in de Grote Broec, die van Wouter Pietersz waren, belend boven en beneden: de jonker van Meere, - 1 ½ morgen die van Doys Henricsz waren (fol 3v); Jan Taets (doorgehaald en vervangen door Vrederic Taets Jansz) - 1 morgen op de Horst, 10 morgen, belend boven: Jan Overenghe, beneden: heer Gysbert van Sterkenborch en Gysbrecht die Monic, - 17 stuc gelegen op Velperenghe, dit goed was van Gherijt van Laer (fol 20)",Leenregister Culemborg,,
1190023,1588-07-16,Taets,"huwelijk Amsterdam: Lourens Diercksz Braeseman, van Amsterdam en Sibylla natuurlijke dochter van Willem Taets van Amerongen",G.A. Amsterdam DTB 762 fol 65,,
1190024,1620-02-13,Taets,"testament van jhr Adriaen Taets van Amerongen: bij zijn vrouw Margrieta van Oy heeft hij een dochter Christina, zijn zuster Sibilla x Ghysbrecht van Rysenburch",Ned Leeuw jg 1913 p 68/Notaris Craen Leiden regest 135,,
1190025,1621,Taets,"compareerde Adriaen Taets van Amerongen als man van Margrieta van Oy van Treslong en verzet zich tegen het voorgenomen huwelijk van Rynold van Oy en Styntgen Jansdochter, ""uyt saeck zyluiden mit malcanderen geboeleert hebben staende t huwelyck van Rynolt"" met wijlen Anna de Bloys van Treslong",Ned Leeuw jg 1913 p 68/Notaris Craen Leiden regest 138,,
1190026,1625-12-27,Taets,"compareerde Adriaen Taets van Amerongen als vader en voogd van zijn zoon Jacob van Amerongen, possesseur van zekere vicarie genaamd Trium regum",Ned Leeuw jg 1913 p 100/Notaris Craen Leiden regest 149,,
1190027,1640,Taets,"jhr Jacob Adriaensz Taets van Amerongen vraagt aan de Staten van Holland venia aetatis; 1689: Adriaen Hendricksz Taets te Rotterdam, idem",Index J.A. Jaeger p 84,,
1190028,1405,Taets,genoemd: leden van het geslacht Taets (van Amerongen),"Batavia Illustrata bl 746, 756, 761, 831, 895, 938, 1062, 1124, 1136",,
1190029,1472-05-08,Taets,"St Pieterskerk Utrecht: stierf Arnoldus Taets, canonicus eccl St Petri, tegen de muur onder de wapens van Taets, Wyckersloot, Loenresloot, van der Watering (?)",v.d. Monde: Tijdschrift Gesch Stad Utrecht 1839 no 4 p 259,,
1190030,1496-08-16  ,Taets,"leen van Vianen: no 713) huis en hofstede te Vianen,  Gysberta van Zevenbergen, nicht van de leenheer, overdracht aan Hubert Taats; 1509-03-30: Hendrik van Alendorp voor Gerrit Taats na dode van zijn vader Hubert Taats; 1523-07-06: Jacob van Ewijk voor zijn vrouw Elisabeth dochter van Hubert Taats, met lijftocht van haar moeder Abraham op de helft, belend boven: de erven Hubert Henric Pietersz, beneden: mr Mys op Lavick",Ons Voorgeslacht 07-1988 p 325,,
1190031,1507-01-25,Taets,"leen van Vianen: 12 morgen in Boeicop, Hubert Taats koopt voor zijn dochter Elisabeth een rente van 5 gouden R gld te lossen met fl 62 op dit leen; 1532-04-07: beleend Herman van Deil Jansz bij overdracht door Andries Koevoet voor Elisabeth, dochter van Hubert Taats en Abraham Taats, gehuwd met Evert van Donselaar, haar moeder, met de rente",Ons Voorgeslacht 06-1986 p 510,,
1190032,1569,Taets,"leen van Vianen: no 659) ½ hoeve op Cortenover in Lexmond, binnen en buitendijks, Willem Taats van Amerongen voor Wendelmoet, wonende buiten Utrecht op het huis Groenewoud; 1588-09-12: Hendrik van Rumpst bij dode van zijn zuster Wendelmoet",Ons Voorgeslacht 07-1988 p 294,,
1190033,1578-1579,Taets,"Jan Taets van Amerongen, kanunnik en thesaurier van het kapittel van St Marie te Utrecht",Grote Raad Mechelen E.A. Dossiers dl III dossier 855,,
1190034,1335-06-15,Tabbardus,"Tabbardus, theleonarius te Rheinberg voor de aartsbisschp van Keulen; 1335-07-10: hij stelt zich borg voor hem","Urkb Stift Xanten p 444 no 669, 670",,
1190035,1600~1700,Taillefer de Moriaq,genoemd: Louise de Taillefer de Moriaq x Steven van der Does,Batavia Illustrata bl 933,,
1190036,1394-1401,Tack,"Raad of schepen van Dordrecht: Vrederic Tack Brunusz [Bruynsz]; 1426-1432: Vrederic Tack heer Vredericsz (1430-02-17, 1431-01-21)","Balen: Dordrecht p 280, 281, 287, 288",,
1190037,1398,Tack,Raad van Dordrecht: Wormbout Tack (Tael ?),Balen: Dordrecht p 281,,
1190038,1413-1419,Tack,schepen van Dordrecht: Bruun Tack heer Vredericsz,Balen: Dordrecht p 284-286,,
1190039,1436-04-02,Tack,"grafelijk leen: no 192A) Cotelveen in Lisse, 15 morgen veen in 100 morgen, belend zuidwest: Gillis van Cralingen, noordoost: Adriaan van Raaphorst of Jacob Tack, waar Jan van Bekesteyn met veen tussen ligt, zuidoost: Meynaert Claesz, noordwest: een wetering gedolven door Adriaaan van Raaphorst, beleend Jan Vos na overdracht door Adriaan van Raephorst en zijn zoon Bartholomeus",Ons Voorgeslacht 07/08-1988 p 332,,
1190040,1440,Tack,"Lysbeth Vrederic Tacx weduwe en Herman Haeck Hermansz, Dordrecht, rente op Haarlem ½ jaar 10 £ 11 sc 5d 2m (195 fol 71); 1439-1440: (fol 7v) zij kopen een lijfrente van 16 R gld per jaar op Haarlem voor 208 £; 1442-1443: (fol 62v) hun rente 16 R gld, maakt 21£ 17sc 4d",Thesauriersrekening Haarlem,,
1190041,1472-1475,Tack,schepen van Dordrecht: Pieter Tack Jansz,"Balen: Dordrecht p 295, 296",,
1190042,1446-05-12,Tack,"beloften en verbintenissen van Pieter Tak en Steven Sterf, als benoemde muntmeesters van Holland, de President en Raden gedaan",Van Mieris Chron Reg Vervolg p 50,,
1190043,"1507, 1508",Tack,schepen van Dordrecht: mr Hendrik Tack Coenraadsz,Balen: Dordrecht p 304,,
1190044,"1549, 1550, 1557",Tack,schepen van Dordrecht: Gerrit Tack Hubrechtsz,"Balen: Dordrecht p 316, 318",,
1190045,,Tack,"genoemd: Jacob Tak, zoon Pieter; Magdalena Tak x Gerard van Nispen; 1442-09-28: Jacob Tak","Batavia Illustrata bl 865, 1026, 1038",,
1190046,1639-12-09,Takenbroeck,"losrenten kantoor Enkhuizen: verschijndag 02-10, Adriaen Pietersz Takenbroeck, fl 175 - fl 7, geemployeerd in de loterij van 1749-04-19",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190047,1316,Taelman ,afterstal van renten in Berkel: Jacob Talmansz 2 sc,Rek Hen Huis I p 112,,
1190048,1337-02-08,Thade,"Hendrik Thade, van Haarlem, zijn zoon Willem, lekebroer, vader van Willem van Spaarne, monnik, stierf 1337-02-08, jaarlijks 10 sc besproken",Kroniek Egmond Dagregister p 251,,bij van Wijn: Willem van Spue
1190049,1338,Taije,"Lisse: van beesten, afterstal, Hughe Taye 15 scape 3sc 9d; van veenhuur aldaar: Hughe Taije 2sc","Rek Houtvester dl VII p 83, 105",,
1190050,1348,Taije,"grafelijk leen in Rijnland: no 201) 2 morgen land te Lisse, tevoren Arend Cullen vene, belend Hugo Taye; 1400-12-10:  Jacob Poes, Wouter Jansz en Elisabeth Willem Wiggersdochter, belend van 2 morgen land te Lisse, Dirc van der Spek mag dit leen als eigen verkopen",Ons Voorgeslacht 07/08-1988 p 336,,
1190051,1431-1432,Taij,"Reyntgen Taij: camerlinc van de vrouwe van Holland, krijgt de tienden te Twisch (862 fol 3v); 1430-1431 (861) idem; 1432-1433: (863 fol 5v) Reyntgen Taij, de tienden van Twisch, (fol 8) de gruit te Alkmaar, waarvan de hertog 15 cronen per jaar ontving, heeft Reyntgen camerlinc, ten eigen; 1434: (864 fol 5, 8) dezelfde post; 1435: (865 fol 5) de tienden van Twisch en de visserij van Bennemeer in West Friesland, voor zijn leven (1430-09-18), (fol 80 de gruit te Alkmaar; 1435-1436(fol 8v), 1436-1437 (fol 5): dezelfde post; (fol 8) de gruit te Alkmaar, 15 cronen per jaar, door gravin Jacoba in leen gegeven voor zijn leven (1428-12-08); 1437-1438: (868 fol 5 en 7) de tienden van Twisch, en gruit te Alkmaar; 1438-1439: (869 fol 5, 8v) tiende van Twisch, visserij van Bennemeer en gruit te Alkmaar",Rek Rentmeester Kennemerland,,
1190052,1439-1454,Taij,"1439-1440 (870 fol 6v, 10v): de tienden van Twisch en de visserij van Bennemeer, zijn gegeven Reyntgen Tay, camerling van vrouwe Jacob, voor zijn leven en de gruit te Alkmaar; in de volgende jaren dezelfde posten tot en met 1453-1454 (884 fol 7v, 12v); 1454-1455: (885 fol 6v) stierf Reyner voorschreven op 1455-02-09",Rek Rentmeester Kennemerland,,
1190053,1440-08-22,Taeij,"vrijgeleide behalve voor Wijk ambacht, doodslag op Barend Barentsz: Pieter Rembrantsz, Jan Claes Jansz, Aelbrecht Taeij, Jan Moenenz, Gerbrand Jansz, Pieter Pietersz, Willem Pietersz",Mem Rosa IV t/m VI p 256,,
1190054,1374,Taeij,"Jacob Taeij: afterstal van de tienden van Suut Scherwoude van 1373, 44 sc 4d (817 fol 5)",Rek Rentmeester Kennemerland,,
1190055,1374-1375,Taij~,"Reijner Toijn (Taij, Coijn ?): 12 want te Vronen 3 £ 6sc (818 fol 6)",Rek Rentmeester Kennemerland,,
1190056,1414,Taij,"Copken Taij of oude Jan Heynenz, afterstal van 1413 van Vroonland (Rippenland) 3 £ 10 sc (844 fol 18v); 1415: (845 fol 18) afterstal van 1414 van de tienden van Oudkerspel 3 £ 3sc 4d; 1416: (846 fol 17) afterstal van 1415 voor Pouwels Gabkenz, 30 sc; 1413: (843 fol 14) afterstal van 1404 van Bouden Aetserts wegen 10£; 1414: (844 fol 17v) afterstal van 1412 van Payensidewinde 41sc 7d, van de biertollen op de Coedyck afterstal van 1412, 35sc; 1422-1423: (852 fol 11) afterstal van Vroonland van 1419 en 1420, 10£ 19sc",Rek Rentmeester Kennemerland,,
1190057,1551-10-07,Taling,"leen van Amstel: no 66) Baierde Taling draagt voor mr Willem van Waveren een leen over te Bijlmerbroec bij Weesp, genaamd Wedigenoort",Ons Voorgeslacht 09-1988 p 387,,
1190058,1636-10-30,Tam,"losrenten kantoor Medemblik: verschijndag 01-02,  Pieter Pietersz Tam, fl 600 - fl 24, afgelost 1777-10-30; 1642-05-08/05-19: Pieter Pietersz Tan, fl 1200 - fl 48; 1643-09-04/09-20: Pieter Pietersz Tan, fl 1400 - fl 56",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190059,"1522, 1523",Tamijs,genoemd: Brechte Tamijs x Willem van Rietwijk,Batavia Illustrata bl 1070,,
1190060,1593-02-25,Tang,"Pieter Tang, van St Denys, koopt kamer achter zijn huis aan de zuidzijde van zijn huis aan de zuidzijde van het Grote Kerkhof te Haarlem",G.A. Haarlem Transportregister Haarlem 76/30 fol 40,,Haarlem
1190061,1349-1350,tapper,Reyneke tappper: afterstal van de tienden van Edaertswoude,Rek Rentmeester Kennemerland 798 fol 33,,
1190062,1245-12-12,Tarant,"leen van Amstel: no 92) 12 morgen bij Amelisweerd naast Govert Hugen en de kinderen van wijlen Jan Wantenaer, die de leenheer houdt van het Sticht, beleend Gysbert van Vechten Landfiedsz, ridder, krijgt ten eigen voor 63 £, ook voor zijn neef Hendrik Tarant; overdracht aan de abdij Oostbroec",Ons Voorgeslacht 09-1988 p 393/Codex Dipl Neerl 2e Serie dl 4 afd 2 p 19 ev,,
1190063,1705-05-27,"Tarelinck, van","lijfrenten kantoor Hoorn: Grietie Jans van Kolm, 500 gld ten lijve van Sara Taerelinck, oud 14 jaar, ouders: Jan van Taerelinck en Margaretha Witte, fl 45; 500 gld tbv: Aletta, oud 18 jaar, Susanne, oud 12 jaar, Cornelia, oud 7 jaar, ouders als voren",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190064,1387-01-20 (1386),Taschmaker,"hertog Albrecht geeft aan Reyner Sijmonsz, priester van Amsterdam, ""den kolck van der sluse mit horen stempele doergaende van der Aemstel in den Ye, die ghelegen is in Middeldam binnen onse stede van Amsterdam, daer Zibrant Pieter Wedighenz ende Peter Taschmaker nu ter tijt op woenen""",R.A.H. Coll Aanw 45 fol 419/Reg Albrecht IV fol 246,,Amsterdam
1190065,1593-12-12,Tasman,Vasterd Tasman x Griet Jans van Warder,Schepentrouwboek Edam 145a,,
1190066,1694-07-09,Tasman,"lijfrenten kantoor Hoorn: Aaltie Dircx Saal 250 gld ten lijve van Reyer Tasman, oud 7 jaren, daar vader af is Cornelis Tasman en moeder Tryntie Berckhout, fl 22-10; idem 250 gld ten lijve van Marytie Tasman, oud 4 jaren, ouders als voren",Arch. Gecomm Raden Noorderquartier Inv 51,,
1190067,1296-02-26,Tasse,"leen van Amstel: no 135) het land van Gijsbert heer van Amstel, leenheer, in het land van Gerrit Tasse in Maarssen, Gerrit Tasse van den Velde ten eigen, waarna overdracht aan commandeur en convent van St Jan en St Cathrijne te Utrecht",Ons Voorgeslacht 09-1988 p 406/Oorkbk Sticht Utrecht V no 2745,,
1190068,1363-1364,Tassche,"Sappe Tassche: land te Vronen 4 £ 3d (811 fol 7v); 1361-1362 (809 fol 11v), 1362-1363 (810 fol 6v), 1366-1367 (812 fol 10): idem; 1369-1370 (814 fol 2v): afterstal 15 sc; 1373-1374: (816 fol 13) land te Vronen 4 £ 3d; 1374-1375 (818 fol 6), 1375-1376 (819 fol 6), 1380 (822 fol 6): idem 57 sc 6d; 1384-1385: (826 fol 3v) afterstal van idem 59 sc 4d; 1384-1385: (fol 12) land te Vronen 57sc 6d; 1389-1390: (828 fol 4) afterstal van 1388 57 sc 6d",Rek Rentmeester Kennemerland,,
1190069,1290-12-11,Tater,"zoen over de doodslag op Claas Oem gepleegd: Henric Tater 40 £ Holl ""van sire leemte"", Martiin 30 £, Hughe Pawelsbroeder 15 £, Blancart 10 £ ",v.d. Bergh II no 754,"borgen: Wolbrant, Gillis heer Vredericsz van de Ryedike, Heineman Suus",
1190070,1413-1422,Tater,"schepen, Raad van Dordrecht: Meus Tater Jansz (1413-12-29); 1472: Jan Tater heer Meusz, Raad in Dordrecht stierf, in zijn plaats kwam Adriaen Fyck","Balen: Dordrecht p 284-286, 295",,
1190071,1428-1429,Tater,"Lysbeth Jan Tatersdochter koopt op 1428-09-17 een lijfrente op Haarlem van 6 Phil scilde per jaar voor 60 £ 9sc, Dordrecht (fol 41v); 1430: (184 fol 90v) Lysbeth Jan Tarthersdochter ontvangt ½ jaar rente 3 £ 14sc 8d; 1440: (195 fol 69) Lysbeth Jan Tachersdochter ontvangt ½ jaar rente 2£ 16sc",Thesauriersrekening Haarlem,,
1190072,1428-1429,Tater,"1428-09-17 kopen Maritgen Heynric Tatersdochter en haar zoon Adriaen Jansz een lijfrente van 6 Wilh scilde op Haarlem voor 86 £ 14sc (fol 54); 1431-1432: (fol 44v) rente 3 £ 16sc; 1432-1433: (fol 33v) Lysbet Jan Tartersdochter 3 Ph sc, maakt 3£ 16sc; 1433-1434: (fol 24v) Lysbeth 3£ 16sc; 1434: (188 fol 22v) Lysbeth Jan Tathersdochter 3 Phil scilde, maakt 3£ 18sc; 1435-1436: (189 fol 59) rente 2£ 16sc; 1442-1443: (fol 60) haar rente 6£",Thesauriersrekening Haarlem,,
1190073,1433-1434,Tater,"Maritgen Heynric Tatersdochter vrouw van Jan Braec Jansz, Dordrecht, haar rente op Haarlem 5 £ (fol 24v); 1434: (188 fol 19v) met haar zoon Adriaen 5 £ 2sc; 1435-1436: (189 fol 54v) met haar zoon Adriaen 3 £ 14 sc 7 ½ d; 1442-1443: (fol 58) Adriaen Jansz, van 2 termijnen, 6 Wilh scilt, maakt 8£ 8sc",Thesauriersrekening Haarlem,,
1190074,1253-05-30,Tating,"Hugo van Naaldwijk verkoopt aan zijn bijzondere vriend Willem Uten Hage het bos Schoonhoven onder Velsen, met al het land dat daar toe behoort, dat Walewijn en Wouter Taticx weduwe van hem huurden",De Fremery no 120,,
1190075,1341-06-18,Tating ,"stierf Allard Tatings, die 1 £ per jaar gegeven heeft [deze aantekening ontbreekt in het Necrologium uitgave van Wijn]","Kroniek Egmond p 266/ Dagregister/Van Wijn: Necrologium p 114, 115",,
1190076,1375-11-18,Tating ,"stierf Heutius Tatings, ridder, jaalrijk 1 £ [ontbreekt in het Necrologium]",Kroniek Egmond  p 279/ Dagregister/van Wijn: Necrologium p 135,,
1190077,1426-02-17,Taks,hertog Philips beleent Jacob Taks bij opdracht van Matheus van Buren met 20 £ per jaar uit de tienden van Zwijndrecht,Nibbelink regest no 143,,
1190078,1246-02-01,"Tecklenburg, van","overeenkomst tussen Ludolfus heer van Stenvorde en Ludolfus, zoon van zijn broer, over het kasteel Stenvorde; onder de getuigen: Otto comes de Tekeneborgh",Jungius no 22 p 48; Batavia Illustrata bl 951,,
1190079,1519-1559,"Tecklenburg, van","Bartholomeus van Teckelenburg, sacerdos-monachus Egmundensis, geboren 1519, intrede 1534, vermeld 1559",J Hof: Abdij Egmond p 476/BBH 31,,
1190080,1308,"Tekencoep, van","rekening Amstelland, afterstal van 1307: Boudwin [van Tekencoep] een halve hoeve in Tekencoep 2 £ 16sc 3d, van de tijns van Tekencoep 10 sc 4d, van de tiende van Tekencoep 13 £ 14sc","Rek Hen Huis I p 4, 5, 6/Rek Amstelland 1308",,
1190081,1308,"Tekencoep, van","rekening Amstelland: van de smaltiende van Tekenkoep 30 sc; in Tekenkoep: Boudwijn [van Tekencoep] 3 £, van de tijns van Tekekoep 10sc; afterstal van de voorgenoemde renten: Bodewin van Tekencoep 30 sc",Rek Hen Huis I p 7-12,,
1190082,1346-06-01,"Teije, de","lenen in Rijnland: - Jan die Teye 6 morgen op het einde van de Nuwenveen [staat tussen regest over goed te Walinxdorp en een over goed te Wateringen, dus ws ten zuiden van Den Haag], op de Gheere, belend noord: Clays Willem, zuid: zijn zuster Trude [zuster van Jan die Teye of Claes Willem ?]",Bijdr Hist Gen jg 1901 p 234/Reg EL 5 fol 56v,,
1190083,1346 ,Tede,"lenen in het baljuwschap van Kennemerland: Wouter die Scriver een weer van 12 made, belend west: Coppart Tedenz, oost: Clays Gheertruidenz, strekkende van de Meer in het Ye",Bijdr Hist Gen jg 1901 p 248,,
1190084,1342-1343,Teding,"rekening baljuwschap Amstelland en Waterland van vervalle, in Monikedamme: Jan Tedinc, van wantalen 15sc",Rek Hen Huis I p 279,,
1190085,1344,Teding,"van halven vervalle in Waterland, eerst in Monikedamme: Jan Tedinc, omdat hi onrechte pande nemen woude, 10 sc 9d",Hamaker: Rek Grafelijkheid Holland I p 328,,
1190086,1344,Teding,"uitgegeven van achterstallige landhuur in Graft: Veder Theding 7sc 6d (p 380); (p 297) Veder Toding, van landhuur in Graft  8sc",Rek Hen Huis II p 380,,
1190087,1351-1352,Teding,"Wilbrant Theding, afterstal van den lande van Vronen, 5sc 5d",Rek Rentmeester Kennemerland 800 fol 24v,,
1190088,1384-1385,Teding,"Symon Tedinc, van de tienden van Midwoude en Oestenwoude 3 £ (826 fol 16v), (fol 33) in afterstal van idem 6 £ 8sc; 1385-1386: (827 fol 5v) afterstal van idem 3 £ 18sc 4d",Rek Rentmeester Kennemerland ,,
1190089,1360-11-11 -1361-11-11,Teding,"rekening van de baljuw en rentmeester van de Wijk en Noordwijk: ontvangen op Catwoude van Jan Tedinc Rukebiersz van ""ziinre broke LIII £""",Rechtspraak Graaf van Holland III p 5,,
1190090,1366-11-14~ (1370~),Teding,"uitspraak over de dood van Jacob Jan Hillenz, Jan Pieter Heynenz en Pieter Rukebier:  Meliis Mienen, Tsemme Felienz, Claes Morael, Hanne Teding, L. Rukebiersz, Jan Claes Walenz, Jacob Hanne Trudemansz en hun familie en helpers die mede ""an den velde waren, daer men die kerke belach ende smoecte"", moeten VI M mottoenen betalen en de kerk van Yedam moet weer gewijd worden op hun kosten",Rechtspraak Graaf van Holland III p 8,,
1190091,1389-12-02,Teding,"Claes van Torenburch doodgeslagen, zijn moeders maghen: o.a. Meliis Jan Tedinxz; 1389-12-12>: borgen van moederszijde Claes Jan Tedinxz, Meliis Jan Tedinxz","Rechtspraak Graaf van Holland III p 38, 42",,
1190092,1390-05-20,Teding,"Jacop Cuper is schuldig aan Jan Teding 3 gg Wilh Dordr sc per jaar op een stuk land gelegen op Scaertsoert, belend tussen Andries Dueghde en Willem Eggert (vgl 1424-03-23, Teding niet genoemd)",G.A. Amsterdam Inv Gasth regest 40,,
1190093,1393-08-06,Teding,"hertog Albrecht geeft aan ""onsen luyden ende ondersaten van Lantsmeer, tot Schellingwoude, aen de noordzijde tot Broek, ende over die Zuyer Ee daer Moyert Allynssoen is wonende, Symon Tedinck ende zijn kinderen, Claes Reyner Claessoon, Jacob Claes Reynersz, Symon Abel, Claes Hillebrant Moeyaerts, Claes Clinckebile, Buser Melisson, Claes Leckeman en zijn kinderen en al hun nakomelingen, de visscherij, vogelarij, wind, also als hare vaders ofte voorvaders die in voorleden tijden gehad hebben""",Van Mieris III p 599,,
1190094,1412-05-18,Teding,"de graaf verkoopt aan Willem die Grebber, Jan Jacopsz, Jan Allynsz, Claes Dirksz, Floris Woutersz, Claes Pietersz, Oeff Jacob Hillebrantsz, Pieter Wittgen, Jan Teding, rechtverkrijgenden van degenen aan wie Jan Persijn op 1313-07-04 de helft van Warderbroec verkocht had, het ¼ en 1/26 deel van Warderbroec dat de stad Edam vroeger in huur had bezeten",Monté Verloren: Bezit en Eigendom p 423 e.v.,,
