Nummer,Heemskerk,Sector,Oppervlakte,Eigenaar,Huurder,Huur/pacht/taxatie,Datum,Bron,Opmerkingen,,,, ,,
4100039,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:39,356 roeden,Pieter Gerritsz tot Castricum,Claes Engelsz,fol 39,1561,10e penn inv 74 I fol 45v,,,,,,,
4100040,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:40,815 roeden,Jacob van der Huuff tot Amsterdam,Cors Garbrantsz ,9 £  10 st,1561,10e penn inv 74 I fol 45v,,,,,,,
4100041,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:41,804½ roeden,Claes Ysbrantsz,,5 £ ,1561,10e penn inv 74 I fol 45v,,,,,,,
4100042,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:42,489 roeden,mr Reijer en Trijn Frans Velsermans tot Haerlem,Albert Doevenz en Lambert Willemsz  ,zie fol 39,1561,10e penn inv 74 I fol 45v,,,,,,,
4100043,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:43,1731½ roeden,"Lambert Willem, Albert Doeven, Michiel Gijsbertsz",,getaxeerd voor 11 £ ,1561,10e penn inv 74 I fol 46,,,,,,,
4100044,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:44,731½ roeden,Guert Cornelis Dircsz weduwe ,,4 £ ,1561,10e penn inv 74 I fol 46,,,,,,,
4100045,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:45,476 roeden,Guert Cornelis Dircsz weduwe ,,2 £  10 st,1561,10e penn inv 74 I fol 46,,,,,,,
4100046,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:46,433 roeden,Lodewijk te Amsterdam,Dirck Heyndricsz,zie fol 38,1561,10e penn inv 74 I fol 46,,,,,,,
4100047,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:47,401½ roeden,"Bely en Jan, haar zuster ",,getaxeerd voor 2 £ 5 st ,1561,10e penn inv 74 I fol 46,,,,,,,
4100048,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:48,190 roeden,aelmislant,Nelle Willem Lambertsz weduwe ,"1 £ 10,5 st",1561,10e penn inv 74 I fol 46,,,,,,,
4100049,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:49,932½ roeden,het gasthuis van Wijck op Zee,Anna Aelbert Haecken  ,8 £ 10 st,1561,"10e penn inv 74 I fol 46, fol 62 ",,,,,,,
4100050,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:50,251 roeden,de Commenduer,Louris Jansz,zie fol 44,1561,10e penn inv 74 I fol 46v,,,,,,,
4100051,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:51,251 roeden,Jan Claesz tot Assendelft,Aelbert Heyndricsz,1 £ ,1561,10e penn inv 74 I fol 46v,    ,,,,,,
4100052,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:52,502 roeden,Gerrit Steffensz kinderen tot Haerlem,Aelbert Doeven,5 £ ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100053,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:53,375 roeden,Louris Willems,,getaxeerd voor 1 £ 10 st ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100054,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:54,371 roeden,Willem Luddolfsz,Dirck Jansz,zie fol 15,1561,10e penn inv 74 I fol 46v,,,,,,,
4100055,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:55,741½ roeden,Guert Allertsdochter,,getaxeerde voor 4 £ 10 st ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100056,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:56,913½ roeden, Anna Gerrits Bergen en Frans Dirxz kinderen ,Pieter Bloem,7 £ ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100057,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:57,2383 roeden,Neeltgen Corten,Pieter Gerritsz,40 £ ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100058,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III: 58,664½ roeden,de heer van Assendelft,Cornelis Gerritsz,2 £ ,1561,10e penn inv 74 I fol 46v,,,,,,,
4100059,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:59,664½ roeden,Cornelis Gerritsz,,getaxeerd voor 2 £ ,1561,10e penn inv 74 I fol 47,,,,,,,
4100060,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:60,2262½ roeden,Bannincks kinderen tot Amsterdam,Claes Arysz,11 £ ,1561,10e penn inv 74 I fol 47,,,,,,,
4100061,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:61,739 roeden,Guert Allert Haecken ,,getaxeerd voor 3 £ 10 st ,1561,10e penn inv 74 I fol 47,,,,,,,
4100062,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:62,739 roeden met meer,de Regulieren in Beverwijck,Claes Engelsz,10 £ 10 st,1561,10e penn inv 74 I fol 47,,,,,,,
4100063,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:63,1169 roeden,Heyndrick van Berckenroedts kinderen,Griet Aeckerslotemans; dezelfde als Margriet Pieter Hugensz weduwe ,6 £ ,1561,10e penn inv 74 I fol 47,,,,,,,
4100064,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:64,2415 roeden,Jacob Thonisz tot Haerlem,Joris Jansz,14 £ 10 st,1561,10e penn inv 74 I fol 47,,,,,,,
4100065,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:65,2040 roeden,de heer van Assendelft,Allert Heyndricsz,16 £ ,1561,10e penn inv 74 I fol 47,,,,,,,
4100066,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:66,2464 roeden,Jan Pietersz,Jan Heyndricsz,20 £ ,1561,10e penn inv 74 I fol 47,,,,,,,
4100067,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:67,101½ roeden,Gerrit Allertsz,Jacob Haecken,9 £ ,1561,10e penn inv 74 I fol 47v,,,,,,,
4100068,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:68,601½ roeden,Guert Allert Haecken ,,getaxeerd voor 3 Kar gld 5 st ,1561,10e penn inv 74 I fol 47v,,,,,,,
4100069,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:69,804 roeden,Tijs Meynssen tot Egmont,Tonis Lourisz,zie fol 40,1561,10e penn inv 74 I fol 47v,,,,,,,
4100070,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:70,638 roeden,Dirck van Huessen,Jan Lourisz,zie fol 40,1561,10e penn inv 74 I fol 47v,,,,,,,
4100071,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:71,214 roeden,de pastoor van Castricum,Dirck Cornelisz,10 st,1561,10e penn inv 74 I fol 47v,,,,,,,
4100072,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:72,500 roeden,Cornelis Gerritsz,,getaxeerd voor 2 £ ,1561,10e penn inv 74 I fol 47v,,,,,,,
4100073,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:73,361½ roeden,de abt [van Egmond],Trijn Dircken,zie fol 22,1561,10e penn inv 74 I fol 47v,,,,,,,
4100074,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:74,396½ roeden,Claes van Huessen,Claes Bartolomeusz,zie fol 41,1561,10e penn inv 74 I fol 47v,,,,,,,
4100075,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:75,780 roeden,"Simon Dircsz, clerck ",,getaxeerd voor 5 £ ,1561,10e penn inv 74 I fol 47v,,,,,,,
4100076,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:76,1028½ roeden,Jan Baen,Gerrit Gerritsz en Huijch Heyndricsz ,voor Gerrit zie fol 35; voor Huijch: 4 £   5 st   ,1561,10e penn inv 74 I fol 48,,,,,,,
4100077,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:77,3126 roeden,de Regulieren bij Haerlem,Pieter Jansz en Pieter Gerritsz,zie fol 41,1561,10e penn inv 74 I fol 48,,,,,,,
4100078,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:78,1814½ roeden,de Regulieren bij Haerlem ,Pieter Jacopsz met zijn broer [Cornelis Jacopsz],zie fol 41,1561,10e penn inv 74 I fol 48,,   ,,,,,
4100079,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:79,475 roeden,Dirck Dircksz,,getaxeerd voor 2 £ ,1561,10e penn inv 74 I fol 48,,,,,,,
4100080,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:80,180 roeden,"Joost Jansz, broer van de huurder ","Dirck Jansz, broer van de eigenaar",zie fol 44,1561,10e penn inv 74 I fol 48,,,,,,,
4100081,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:81,324½ roeden,de Regulieren bij Haerlem ,Cornelis Jacopsz en zijn broer Pieter Jacopsz,zie fol 41,1561,10e penn inv 74 I fol 48,,,,,,,
4100082,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:82,231 roeden,aelmislant,Guert Ziericken,comt hier niet,1561,10e penn inv 74 I fol 48,,,,,,,
4100083,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:83,1755½ roeden,Guert Cornelis Dircsz weduwe ,,8 £ ,1561,10e penn inv 74 I fol 48,,,,,,,
4100084,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:84,1225½ roeden,Lambert Cornelisz tot Wyck op zee,Cornelis Cornelisz,7 £  10 st,1561,10e penn inv 74 I fol 48v,,,,,,,
4100085,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:85,2122½ roeden,de commenduer tot Haerlem,Wouter Pietersz lijndraijer,10 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100086,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:86,1824 roeden,Guerte Koenen tot Haerlem,Tonis Willem,11 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100087,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:87,1367½ roeden,heer Adriaen [van Egmond],,getaxeerd voor 6 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100088,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:88,2983 roeden,de Siecken buijten Haerlem,Joris Jansz en Pieter Bloem ,13 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100089,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:89,1288½ roeden met meer,de abt [van Egmond],Claes Bartolomeusz,5 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100090,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:90,1700 roeden,pater van Zijl,"Gerrit Gerritsz, Huibert Pietersz, Louris Gijsz  ","8 £  8,5 st",1561,10e penn inv 74 I fol 48v,,,,,,,
4100091,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:91,1200 roeden,heer Adriaen [van Egmond],,6 £ ,1561,10e penn inv 74 I fol 48v,,,,,,,
4100092,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:92,1200 roeden,de weduwe van Jacop van der Huuff,Pieter Nel,7 £ 10 st,1561,10e penn inv 74 I fol 49,,,,,,,
4100093,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:93,1283 roeden,Katrijn Louris Willem weduwe ,,getaxeerd voor 6 £ ,1561,10e penn inv 74 I fol 49,,,,,,,
4100094,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:94,1233 roeden,de heer van Assendelft,Pieter Dircsz,zie fol 6,1561,10e penn inv 74 I fol 49,,,,,,,
4100095,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:95,1200 roeden,Arijs Dircsz,Jan Arysz en Maerten Hugensz ,10 £  5 st ,1561,10e penn inv 74 I fol 49,,,,,,,
4100096,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:96,1899 roeden,Dirck Claes Meijen,Dirck duijnmeijer,15 £ ,1561,10e penn inv 74 I fol 49,,,,,,,
4100097,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:97,639 roeden,Arijs Dirxsz,Louris Lourisz,3 £ ,1561,10e penn inv 74 I fol 49,,,,,,,
4100098,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:98,915½ roeden,Pieter Jansz,,getaxeerd voor 3 £ 10 st ,1561,10e penn inv 74 I fol 49,,,,,,,
4100099,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:99,585 roeden,de memory in Beverwijk,Pieter Jansz ,2 £ 1 st,1561,10e penn inv 74 I fol 49,,,,,,,
4100100,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:100,783 roeden,Louris Lourisz,,getaxeerd voor 3 £ 5 st ,1561,10e penn inv 74 I fol 49,,,,,,,
4100101,"in ""de Hem""",Castricum: ten noorden van de Noordmaadweg III:101,830½ roeden,Maritgen Jan Willemsz weduwe,,getaxeerd voor 3 £ 5 st ,1561,10e penn inv 74 I fol 49,,,,,,,
4100102,"""Ysingermade""","Castricum: ten noorden van de Noordmaadweg ( III: 15, 17, 18, 58, 65, 94 ?)",6 morgen 533 roeden,de heer van Assendelft,Pancras Pietersz,50 £,1561,10e penn inv 74 I fol 53,,,,,,,
4100108,,Heemskerk,608 roeden,,Pieter Bloem,5 Kar gld,1561,,,,,,,,
4100109,,Heemskerk,1621 roeden,,Pieter Bloem,11 Kar gld 5 st,1561,,,,,,,,
4100110,,Heemskerk,460 roeden,Pieter Cornelisz Bloem,,getaxeerd voor 2 Kar gld 5 st ,1561,,,,,,,,
4100111,,Heemskerk,,Pieter Cornelisz Bloem,,,[1561],"10e penn Heemskerk inv 74 I fol 36v, 40, 41v, 42, 46v, 48v, 54v, 55 (2x), 56, 56v, 60 v, (2x)",,,,,,,
4100112,,Heemskerk,,,Pieter Cornelisz Blum [Bloem],,1570,100e penn 74 fol 9,,,,,,,
4100113,,Heemskerk Cuijpersven,4564½ roeden,Joest Brederode,verhuurt dit,,1539,Maatboek Heemskerk 56 fol 14,,,,,,,
4100114,,Heemskerk ten zuiden van de Hecksloot,1066½ roeden,Joest Brederode,,,1539,Maatboek Heemskerk 56 fol 15v,,,,,,,
4100115,,Heemskerk ten zuiden van de Hecksloot,8066 roeden,Joest Brederode,verhuurt dit,,1539,Maatboek Heemskerk 56 fol 25,,,,,,,
4100116,,Heemskerk ten zuiden van de Hecksloot,108 roeden,Joest Brederode,,,1539,Maatboek Heemskerk 56 fol 26v ,,,,,,,
4100117,,Heemskerk tussen Cuijkers- en grote Houtwech,538 roeden,Joest Brederode,,,1539,Maatboek Heemskerk 56 fol 27v,,,,,,,
4100118,,Heemskerk tussen Oester- en Kerkweg ,334½ roeden,Joest Brederode,,,1539,Maatboek Heemskerk 56 fol 31,,,,,,,
4100119,,Heemskerk  ,"16 morgen,  314 roeden, som van zijn bezit",Joest Brederode,,,1539,Maatboek Heemskerk 56 fol 51,opsomming van zijn bezit  ,,,,,,
4100120,,"Heemskerk, voor zijn deur in de croft","108 roeden, 3 ackers voor zijn deur in de croft",Joest Brederode,Sijric Dircsz,,1539,Maatboek Heemskerk 56 fol 64,,,,,,,
4100121,,Heemskerk 3 ackers voor zijn deur in die croft,"350, 44½ roeden",Joest Brederode, Joest de bastaard tot Haerlem,,1539,Maatboek Heemskerk 56 fol 64,,,,,,,
4100122,,Heemskerk Cupersven,4565 roeden,Joest Brederode,Joest de bastaard,                     ,1539,Maatboek Heemskerk 56 fol 24,,,,,,,
4100123,de Koevenne,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 55,2010 roeden 6 voeten 11 duim,de  heer van Assendelft,Allert Geritsz,,1561,10e penn Inv 74 II fol 55 ,,,,,,,
4100124,de oude Ven,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 56,3600 roeden,de  heer van Assendelft,Jan Claesz,,1561,10e penn Inv 74 II fol 55,,,,,,,
4100125,oud Haerlem het hoge hof,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 57,"""dat hoeghe hof van Haerlem groot 2½ morgen 160 roeden 9 voet"" ",de  heer van Assendelft,Balich Ysbrand Willemsz weduwe,,1561,10e penn Inv 74 II fol 55,,,,,,,
4100126,oostwaarts van het huis van Haerlem,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 58,834 roeden 2 voet,de  heer van Assendelft,Henrick Cornelisz,,1561,10e penn Inv 74 II fol 55v,,,,,,,
4100127,het Spaervelt,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 59,4874 roeden 8 voet,de  heer van Assendelft,Maritgen Dirck Lou Maertsz weduwe,,1561,10e penn Inv 74 II fol 55,,,,,,,
4100128,de Hofvenne bij het huis van Haerlem,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 60,2520 roeden,de  heer van Assendelft,Henrick Cornelisz,,1561,10e penn inv 74 II fol 56,,,,,,,
4100129,"de Poelcamp, met het rietland",ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 61,4413 roeden 6 voeten,de  heer van Assendelft,Henrick Cornelisz,,1561,10e penn Inv 74 II fol 56,,,,,,,
4100130,de Hartcamp,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 62,3400 roeden,de  heer van Assendelft,Cornelis Henricsz,,1561,10e penn inv 74 II fol 55,,,,,,,
4100131,de Stekelcamp met het rietvelt ,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 63,3972 roeden,de  heer van Assendelft,Jan Claesz,,1561,10e penn inv 74 II fol 6v,,,,,,,
4100132,,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 64,2887 roeden 6 voet,de  heer van Assendelft,Claes Ysbrantsz,,1561,10e penn Inv 74 II fol 55v,,,,,,,
4100133,die Hoege venne,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 65,2767 roeden,de heer van Assendelft,Willem Cornelisz,,1561,10e penn Inv 74 II fol 56,,,,,,,
4100134,,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 66,2362 roeden,de  heer van Assendelft,Cornelis Willemsz,,1561,10e -penn Inv 74 II fol 55v,,,,,,,
4100135,dat Laechgen,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 67,2369 roeden 1 voet,de  heer van Assendelft,Jan Willemsz,,1561,10e penn Inv 74 II fol 55,,,,,,,
4100136,dat Laechgen,ten zuiden van de Zuidmaadweg van het huis Merestein af: zijn weide gelegen noordelijk van de laan van het huis van Haerlem I: 68,1790 roeden,de  heer van Assendelft,Cornelis Henricsz,,1561,10e penn inv 74 II fol 55,,,,,,,
