id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1210047,1344,"Valkenaar, de","Murrekijn ""mijns heren valkenaar van sinen wedde an den Houte te leggen van St Barth af tot St Katerinendage toe, dat zijn 92 dagen, sdages 16d, facit 6£ 2sc 8d""",Rek Rentmeester Kennemerland dl II p 477,,
1210048,1360-1361,"Valkenaar, de","Otto de Valkenaar: is bij Willem van Scotensdochter in Santpoort in de cost voor 15 £ 12sc (808 fol 31v); 1361-1362: idem (809 fol 20v); 1362-1363: (810 fol 16) ontvangt een paard, 14 £; 1366-1367: (812 fol 20) van den vogelen an den Houte",Rek Rentmeester Kennemerland  ,,
1210049,1361-1362,"Valkenaar, de",Jan de Valkenaar: van de tienden van Watwege 4 £ ,Rek Rentmeester Kennemerland  809 fol 14,,
1210050,1406,"Valkenaar, de","Jan mijns heren valkenaar, Jan van Merout en Daem, mijns heren valkenaar, om 6 saker, costen 52 £ 2sc",Rek Rentmeester Kennemerland  837 fol 15,,
1210051,"1374, 1378","Valkenaar, de","Louis de Valkenare, jadis prisonnier à Basweiler sous Jacques de Baubon, 100 moutons, wapen met randschrift: Lodewijc van Borssele",De Raadt I p 296,,
1210052,1633-09-17,Valkenaar ,"Florentina van Matenesse vrouwe van Duikenburg en Portengen, vrouw van Hendrik Valkenaar, wordt beleend met de ambachtsheerlijkheid van Lisse, de hofstede het Zand en de vrije heerlijkheid van Wenaard, na dode van haar broer  Amelis van Matenesse ","Berigten Hist Gen III p 124, 126/Craandijk: Zuidholland p 295",,
1210053,1666-12-12,"Valkenaar, de","huwelijksvoorwaarden van Gysbert van Matenesse en Antonetta van Aeswijn, onder de huwelijksvrienden: o.a. Hendrik Valkenaar",Berigten Hist Gen III p 127,,
1210054,,"Valkenaar, de",genoemd: de familie van Valkenaar ,"Batavia Illustrata bl 874, 1004, 1066, 1076",,
1210055,1479-11-09,Valkenaar ,"leen no 17bis): de visserij in Langerak, Henric Valkenaar voor zijn vrouw Cunegonde Rutgersdochter v.d. Boetselaer, die door haar moeder Elburg vrouwe van Asperen en Langerak, leenheer, beleend wordt, te lossen met 600 schilden",Ons Voorgeslacht 06-1988 p 234/Arch Mathenesse Inv 626,,
1210056,1730-1735,Valkenier,schepen van Alkmaar: Jan Valckenier ,Bruinvis: Alkmaar p 30 ,,
1210057,1214,"Valkenburg, van",genealogie Henricus dominus Falcoburgi,Miraeus: Opera Dipl I p 447,,
1210058,1129,"Valkenburg, van","Alverade [van Cuyc] sticht het klooster Marienweerd, onder de getuigen: Gozewinus de Falkenberge",Sloet no 249,,
1210059,1131,"Valkenburg, van","Andreas, bisschop van Utrecht, staat aan de abt van St Truyen de kerk van Aalburg af, met de novale tienden te Babilonienbroek; getuige voor de bisschop: o.a. Gozwinus de Valkanberch [een geestelijke ?]",v.d. Bergh I no 117,,
1210060,1208,"Valkenburg, van","Walramus dominus de Montjoie et de Valkenborch scelle un acte de Henricus dictus Schenne; 1276: Walramus dominus de Falkenberg et de Montjoye, zijn vrouw Philippa; 1283: Waleran sire de Fauckemont et de Monjoye ",De Raadt I p 446/Düss Jul Berg no 9; Namur no 161,,
1210061,1226-01-26,"Valkenburg, van","uitspraak in het geschil tussen de bisschop van Utrecht en de graaf van Holland, onder de aanwezigen: Theoricus de Valkenburch ",v.d. Bergh I no 294,,
1210062,1256-10-14,"Valkenburg, van",borg voor het verdrag tussen Floris voogd van Holland en Margaretha van Vlaanderen: o.a. Dirk van Valkenburg ,"v.d. Bergh II no 7, 8",,
1210063,1281-11<,"Valkenburg, van",lenen ten tijde van Floris V: 241) Jan van Valkenborgh 2 £ in de wertscamp in Valckenborgh ambacht,De Fremery no 228,,
1210064,1283,"Valkenburg, van","Goswin sire de Borne, chevalier, homme de fief de Waleran sire de Fauquemont","De Raadt I p 294/Namen 161, 191",,
1210065,1286-10-14,"Valkenburg, van","geschil tussen de graaf van Gelre en de graaf van Holland, genoemd: Walraven heer van Valckenborch",v.d. Bergh II no 595; Van Spaen II p 227,,
1210066,1306-04-07,"Valkenburg, van","Reynoud heer van Valkenburch, getuige voor Gerard van Hornes en Altena",Van Mieris II p 53,,
1210067,1306,"Valkenburg, van",Renardus dominus de Monyoien et de Falkenburg; 1309: Reynoldus de Monyoe et de Falkenborgh,"De Raadt I p 446/Düss Jul Berg no 170, 193",,
1210068,1311-11-10,"Valkenburg, van","graaf Willem stelt zich mede borg voor de wapenstilstand tussen de heren van Valkenburg en Stein en de bisschop van Keulen, de hertog van Brabant en de graaf van Namen",Reg Hann p 43,,
1210069,1326,"Valkenburg, van","Johannes de Valkenberg scelle un acte de Godefroid sire de Heinsberg; 1342: Thierry sire de Monjoye et de Valkenburg, zijn oom Jean de Valkenburg en Jean de Valkenburg sire de Bodekenbach","De Raadt I p 446/Düss Jul Berg no 314, 454",,
1210070,1328,"Valkenburg, van","leen van Teylingen: no 4) Dieric van Valkenburch derdedeel van de smaltiende in de parochie van Haarlem, die hij door huwelijk verkreeg van zijn vrouw",Bijdr Hist Gen jg 1901 p 289/Reg EL 1 fol 79 sqq,,
1210071,1328,"Valkenburg, van","Dirc van Valkenburg: c.s. van clederen; ""bi mire vrouwen behite Valkenberch ende Arnt Dircsz om hosen, om sadel, elk 1 £""; 1338: ""uitgaven bi Heynric de Valkenaer om een uuf (?) 24sc""","Rek Houtvester dl VII p 118, 119",,
1210072,1344,"Valkenburg, van","uitgaven: Bonekyn naar Henegouwen gezonden bij heer Willem van Outshorne, om mijn heer een antwoord te geven over de vrede van de heer van Valkenburch en van heer Gheret Bartout, 16 sc; de knecht van heer Jan van Valkenburch ""om een ors weder te voeren, dat mijn here die grave ghelient hadde an heren Janne, dair hi up stac 4 scilde, maken 48 sc Holl""","Rek Hen Huis II p 67, 99",,
1210073,1345-05-14,"Valkenburg, van",Reinald hertog van Gelre verklaart van de abt van St Paulus te Utrecht het hoog en laag gericht te Lienden in pacht genomen te hebben,Nyhoff: Gedenkw Gesch Gelderland II no 10,"Johannes de Valkenborch [er staat Bakenborch dominus de Barice et de Zittaert (Born en Sittard)], Arnoldus de Arkel, Th. de Lienden",
1210074,1346-06-01,"Valkenburg, van",lenen in Rijnland: Dieric van Valkenburg houdt in leen van de graaf 10 £ uit de hoeve van Berkenrode in het ambacht van 's Gravensande,Bijdr Hist Gen jg 1901 p 238/Reg EL 5 fol 58v,,
1210075,1347,"Valkenburg, van","Jean de Falkenburg sire de Borne et de Zyttart, chevalier, parent et tuteur de Mathilde de Gueldre dame de Malines et de Maeseyck",De Raadt I p 446/Düss Jul Berg no 500,,
1210076,1350,"Valkenburg, van","Waleran de Valkenburg sire de Harpen promet de rendre indemne Godefroyd de Dalenbroyck, chevalier, du chef d'une obligation; 1353: Philippine dame de Montjoie et de Valkenburg, femme de Henri de Flandre","De Raadt I p 446/Düss Jul Berg no 532, 560",,
1210077,1353-02-16,"Valkenburg, van","hertog Willem beveelt schepenen en raad van de stad Dordrecht om namens hem uit de goederen der ballingen, gelegen in Zwindrecht, Riederwaert en Tieslynswaard, die hij hen ter beschikking had gesteld, 150 scilden te betalen, door hem vanwege zijn moeder aan heer Walraven van Valkenburg heer van Asperen, verschuldigd",Reg Rotterdam en Schieland no 670/Reg EL 33 fol 29,,
1210078,1354-03-28 (1353),"Valkenburg, van","hertog Willem oorkondt ""want Dirc van Valkenburch Aechten sinen wive, die nu Jans wyf is van Hillegum in den huwelyk beloofde te maken te lijftochte die minre helfte van den 10 £ sjaars die Dirck van ons te houden placht, liggende in den ambochte van Monster, en si die niet van ons ontfaen hevet"", de graaf  geeft haar alsnog de lijftocht",A.R.A. Leenkamer 32 Copie fol 72/Reg EL 25 fol 45v,,
1210079,1356-04-19 (1355),"Valkenburg, van","Willem Dircsz van Valkenburg mag 10 £ Holl per jaar, die heer Claes die Hert gekocht heeft voor het gasthuis,  op de hoeve die Aernt van Berkenrode te 's Gravensande in leen houdt, verkopen behalve de lijftocht van de vrouw van Dric van Valkenburg, na haar dood te komen op ""onse gasthuis"" in den Hage",A.R.A. Leenkamer 32 Copie fol 123v/Reg EL 25 fol 80,,
1210080,1365-03-22,"Valkenburg, van","Jean comte de Salmez et Philippe de Falquemont, sa femme, déclarent avoir reçue d'Arnould comte de Looz, 20000 petits florins et lui délivrer le comté de Chiny, avec château forts et toutes ses appartenances",De Raadt III p 314/Luxembourg C I,,
1210081,1374,"Valkenburg, van","Conrard van Valkenborch, jadis prisonnier à Basweiler, dans la maisnie du duc de Brabant, 179 moutons; 1378: Renaud van Valkenburg sire de Borne et de Zittert",De Raadt I p 447,,
1210082,1356,"Valkenburg, van",Reijnout van Valkenburch: (806 fol 8) van de Paijen Sidewende in Vriesland van 1355 35 £ 10sc; 1354-1355: (801 fol 9) van de tienden van Broec 33 £; 1356-1357: (804 fol 5) afterstal van 1355 van de slusen in Medemleke 11 £ 8sc 8d; 1359-1360: (806 fol 2) afterstal van 1357 van de tienden van Nuwerkerc 12£,Rek Rentmeester Kennemerland,,
1210083,1371-12-17,"Valkenburg, van","Reinold van Valkenburg getuige voor hertogin Machteld van Gelre, gravin van Cleve en Zutfen, als verwant en Raad",Cleve Mark Urkunden 1378-1396 no 39 p 25,,
1210084,1372-09-17,"Valkenburg, van",Walraven van Valkenburch heer van Herpen getuige voor Wencelaus en Johanna,Noordbrabantse Charters p 323,,
1210085,1381,"Valkenburg, van","heer Reinoud van Valkenberch heer van Borne en Zittert, ridder",Ned Leeuw jg 1913 p 232/Schepenprotocollen 's Hertogenbosch,,
1210086,1394,"Valkenburg, van","Henri Symonis, voué des époux Renaud de Fauquemont et Elisabeth de Cleve, dans leur pays de Born et de Sittard; Renaud de Valkenburg sire de Borne et Zittart reçoit du comte Adolphe de Cleves un acompte sur les 7000 florins de Hollande, dot de sa femme Elisabeth, fille dudit comte",De Raadt III p 361; I p 447/Düss Cleves Mark no 578,,
1210087,1396,"Valkenburg, van","Simon, le jeune comte de Salm, seigneur de Born et de Sittard, plusproche hoir de feu son oncle, sire Renaud de Fauquemont, seigneur desdits lieux, reçoit du Brabant un acompte sur 12000 fl de Hollande, guerre de Gueldre; Jean, jonghgreve van Salmen, seigneur de Born et de Sittard, hoir de son oncle sire Renaud de Fauquemont, avait tenu du comte de Cleves le pays et la seigneurie d'Uden",De Raadt III p 315/Chartes Ducs de Brabant; Düss Cleves Mark no 605,,
1210088,1401-05-13,"Valkenburg, van","Dirc Valkenburch Evertsz is overeengekomen met voogden van de H Geest dat zij zijn huis te Hoorn zullen overzetten zuidwaarts, zover als Dirc's erf gaat, en wat er van het erf aan de noordzijde overblijft van de Noertstraet tot de Kercstraet, zal hij hun in erfpacht geven voor 7 oud Vl gr tbv het gasthuis",Inv Arch Hoorn regest 101,,
1210089,1595-09-30,"Valkenburg, van","huwelijk: Hans Godefrijn, van Antwerpen, Warmoesstrate geassisteerd met zijn oom Jan van Valkenborch met Brabar Flinkenborch Gillisdochter, van Antwerpen; 1602-07-06: Heynrick Godefrijn, geassisteerd met zijn oom idem x Jacomyne van Gyssel Aertsdochter","G.A. Amsterdam Inv DTB 762A fol 34, 84v",,
1210090,1629-06-01,"Valkenburg, van","jhr Coenraet van Valkenborch, in dienst van Sweden, last hebbende van heer Diderick van Valckenborch, ambassadeur van idem, sluit met Cornelis Adriaensz van Catwijck, schipper, een bevrachtingscontract","G.A. Amsterdam Not Arch 398 fol 459, 490/Notaris Nic Jacobs",,
1210091,1705-03-27,"Valkenburg, van","losrenten kantoor Alkmaar: verschijndag 12-01, Adriaen van Coevenhoven en Catharina van Valkenburg, fl 1500 - fl 60 en fl 1000 - fl 40",Arch. Gecomm Raden Noorderquartier Inv 51,,
1210092,,"Valkenburg, van",genoemd: het geslacht van Valkenburg,"Batavia Illustrata bl 743 no 79, 887, 934, 1141, 1209",,
1210093,1474-1475,"Valkendaal, van","Willem van Valkendale, Utrecht, van 1 heel jaar erfrenten 28 £ 13sc 4d",Thesauriersrekening Haarlem fol 40,,
1210094,1481-06-09,"Valkendaal, van","Willem van Valkendale namens zijn zoon Joost contra Arnt bastaard van Ysselsteyn en de heer van Wassenaer,  eerste aanleg: geschil over het bezit van het ambt van baljuw en dijkgraaf van Woerden; ambt voorlopig aan eiser toegewezen, zaak terug verwezen naar het Hof van Holland",Grote Raad Mechelen Geëxtendeerde Sententiën 1966 p 189,,
1210095,,"Valkendaal, van",genoemd: Machteld van Valkendaal x Huybert van der Haer; Jan van Valkendaal x … Uyttenbroek,"Batavia Illustrata bl 877, 856",,
1210096,,"Valkenhaan, van",genoemd: Helena van Valkenhaan x François van Blyenburg,Batavia Illustrata bl 872,,
1210097,1355-10-04,Valkenier,"hertog Willem oorkondt ""dat wi geven Janne Otten onsen valkenaer, onse legge die wi hebben in onsen lande te bedriven tot onser eer ende oirbaer. En hierof sal hi jaerlix 12 £ Holl, geduren tot sinen live""",A.R.A. Leenkamer 32 Copie fol 113v/Reg EL 25 fol 74,,
1210098,1478-11-20,"Valckesteyn, van","Margaretha vrouwe van Voorne stelt Willem Simonsz aan tot baljuw van den Briel en het land van Voorne [van Boschuysen, van Valckesteyn]",Van Mieris Vervolg p 173,,
1210099,1568-04-07,"Valckesteyn, van","schepenen van Middelburch oorkonden dat jhr Aernoudt van Valckesteyn tbv de priorin en het klooster van Soetendael een jaarlijkse rente groot 5 £  gr losbaar tegen de penning 16, op zijn goederen vestigt (met 5 aangehechte brieven dd 1593-10-11)",Mr R Fruin: Arch Abdij Middelburg regest 1557/Arch Klooster Soetendale te Serooskerke Inv no 668,,
1210100,1350-1390,"Valckesteyn, van","Simon Frederik, grootvader van Simon Frederik Willemsz, is stamvader van het geslacht van Valckesteyn",Bijdr Vad Gesch 4e reeks dl X p 247,,
1210101,,"Valckesteyn, van","informatie betreffende slot Valckesteyn tussen Roon en Portugael, gebouwd door de heren van Putten, gekomen aan een jongere zoon van Boschuysen, Frederik, gezegd van Valckesteyn x Van Swieten, met nageslacht","Batavia Illustrata bl 1125, 754",,
1210102,1476-06-12,"Valckesteyn, van","leenregister van Putten: de dienst van landmeter van Putten, Willem Symon Frederiksz, bij dode van zijn vader; 1484-03-27: Gillis van Valkesteyn Willem Symonsz.z. daarna overdracht aan Renger Willemsz",Ons Voorgeslacht 1979 p 189,,
1210103,1478-08-05,"Valckesteyn, van",George van Valckesteyn [gedrukt: Volkestain] verkreeg een prebende in de kerk van Geervliet na de dood van mr Innocent de Cresig,Grote Raad Mechelen E.A. Dossiers dl I dossier 63/78,,
1210104,1497-07-14,"Valckesteyn, van","Gillis van Valkenstein, baljuw van Geervliet",Grote Raad Mechelen Geëxtendeerde Sententiën p 311 (1966) ,,
1210105,1515-1516,"Valckesteyn, van","de jvr van Valkesteyn hield van de koning een woning met timmering te Rijswijk in leen: proces hierover voor het gerecht aldaar, door haar verloren; in beroep bij het Hof van Holland, daarna Grote Raad; haar tegenpartij is Katherine Buys, weduwe van Cornelis Willem Buys",Grote Raad Mechelen Beroepen Holland dl III dossier 256,,
1210106,1615~,"Valckesteyn, van","Gillis van Valkensteyn, luitenant van de compagnie van kapitein en commandeur Westerbeek, solliciteert naar een kapiteinschap",Kroniek Hist Gen jg 1853 p 165,,
1210107,983-06-29,"Valenciennes, van","vermeld: Arnulfus comes Valentianus en zijn broer Rodgerus betreffende St Pieter te Gend; getuigen: Arnulfus, zijn broers Odo en Reinerus; 994-01-01: Arnulfus comes Valencianensis, zijn vrouw Lietgarde en zoon Adelbertus dragen land over aan St Pieter te Gend, (998-09-30); Navorscher: genealogie","Cartul de la Ville de Gend p 91, 97, noot p 96, 98; Navorscher jg 1862 p 229",,
1210108,1223-06-15,"Valkenisse, van~","graaf Floris en Boudewijn graaf van Bentheim verklaren dat Elewoud heer Arnoudsz, zijn broer Henricus, Walterus Belart en zijn broers, Willemannus filius Kempen [van Valkenisse ?] en zijn broers hun recht van naasting op de hof te Warda aan de kerk van Dunes hebben afgestaan",v.d. Bergh I no 280,,
1210109,1253-10-26,"Valkenisse, van","Floris van Holland verklaart, dat er volgens uitspraak van de scheidslieden Godefridus de Cruninghe en Willemannus de Valkenisse, een verdrag gesloten is tussen Willelmus dictus Berton [van der Meer]en de abdij van Dunis over het bezit van enige goederen; 1255-08: uitspraak van Willem van Valkenisse en de abt van Thosan als scheidslieden",v.d. Bergh I no 585,,
1210110,1276-11,"Valkenisse, van","verdrag over de tol op de Hont of Westerschelde: geschil tussen de burgers van Antwerpen enerzijds en o.a. Witto et Arnoldus de Valkenesse, Nycolaus de Stapple, Johannis filius Kemponis de thelones sive conductu de Valkenisse,, over de tol in de Hont anderzijds, worden als arbiters aangewezen: Zimarus junior, Nicolaus de Winenghem scabini de Antwerpen, Wilhelmus Berthoen de Mere, Arnoldus de Valkenisse",v.d. Bergh II no 324,,
1210111,1283-11-27,"Valkenisse, van","vermeld: Witto de Valkenesse, miles en zijn broer Arnoldus, in de verklaring over de tolvrijheid van het klooster Affighem op de Hont te Valkenesse",v.d. Bergh II no 489,,
1210112,1288-03-15,"Valkenisse, van","Nicolaas van Valkenesse heer Willemsz van Stapele verkoopt aan de abdij ter Does een aan het ambacht van Valkenisse toebehorende visserij onder Oosthincline, van de dam van de Ghaweghe tot het ambacht van der Meere ",De Fremery no 251,"bezegeld door: Hugho en Wouter, heren van Cruninghen, en heer Witto van Valkennesse, ridders",
