id,datum,naam,inhoud,bron,getuigen,bijzonderheden
1030012,1627-03-30,Calkoen,"huwelijksvoorwaarden tussenJan Jansz Calkoen, jonggezel, geassisteerd met zijn moeder Aeltgen Temmings, zijn broer Arent Jansz Calkoen, zijn halfbroer Henrick de Graeff, zijn oom Adriaen Temmingh en Dirck van Dans, zijn goede bekende, met  Anneken Uttens, jongedochter, vergezeld door haar ouders Michiel Uttens en Anneken Nicolai,  Eduard van Nieuwenhoven en Adriaen van Breen, haar goede bekenden",G.A.Amsterdam Not Arch 394 fol 200/Notaris Nic Jacobs,,
1030013,1130-1161,"Coudenesse, van","Gerrit van Kaldenesse, broer van Reinbolda, gaf voor zijn zieleheil aan de abdij Egmond: pascuam 30 d solventem; Wulfardi broer van Wermeboldus geeft land in Haren (Arem)  voor zijn zieleheil, 3 sol solventem, en voor zijn vrouw Reinbolda 1 sol",Bijdr Hist Gen Utrecht jg 1914 p 24/Bijdr Meded XXI p 165,,
1030014,1399-01-18,Calis,"leen van de hofstede Warmond: 88 bis) zijn woning strekkende van de Leede tot de Grote weg, belend oost: Beke van den Woude, met hofstede en erf, west: de erven Foyken Willemsz met eigen; 1399-01-18: Gysbert Floris Calisz, van Warmond,  draagt samen met de erfhuur van Alfert van der Horst, die hij verkreeg bij zijn huwelijk met Beke (Bellie?) van den Woude, dezelfde belendingen, over aan de leenheer, bevestigd door Jan van Grieken, schout van Warmond, Gysberts neef",Ned Leeuw jg 81 1964 kolom 99/Ons Voorgeslacht 07-1988 p 245,,
1030015,1582-05-18,Calis,"Symon Cornelisz, broer en voogd van Louris Cornelisz, die een huis en erf te Alkmaar verkoopt",O.R.A. Alkmaar 132 fol 72,,
1030016,1636-04-18,Calis,"losrenten kantoor Alkmaar: verschijndag 04-20, Jacob Jansz Calis fl 700 - fl 28",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030017,1672-01-14,Calis,"losrenten kantoor Monickedam: verschijndag 02-02, Jacob Simonsz Calis fl 400 - fl 16; bij resolutie van 1788-12-05 vervangen door een nieuwe",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030018,1672,Calis,"het contingent van de 4e capitale lening op het Noorderquartier kantoor Alkmaar: verschijndag 1674-04-01: Noort Schermer, Dirck Ysbrantsz Calis fl 200 - fl 8. Hiervan geemployeerd voor de loterij van 1749-04-19: fl 60 en idem 1750-02-17: fl 40",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030019,1675-05-24,Calis,"losrenten kantoor Alkmaar: verschijndag 1676-07-01, Schermerhorn, Dirck Ysbrantsz Calis tot Schermerhorn fl 1088-10-2  - fl 43-10-12",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030020,1681-12-27,Calis,"lijfrenten kantoor Hoorn: Theunis Adriaensz Graeff als voogd 500 gld ten lijve van Griet Jacobs Vos, 11 jaar, vader Jacob Jansz Vos en moeder Neeltie Jacobs Calis",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030021,1709-01-12,Calis,"lijfrenten kantoor Alkmaar: Anna Calis fl 300 ten haren lijve, 23 jaar, haar ouders waren Cornelis Dirks Calis en Anna Jans",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030022,1709-01-12,Calis,"lijfrenten kantoor Alkmaar: Aelbert Symonsz Calis fl 100 ten lijve van Adriaen Jansz Glas, 13 jaar, ouders Jan Adriaensz Glas en Neeltje Aelberts Calis. Nog 100 gld ten lijve van de volgende kinderen: Symon Jansz Glas, 10 jaar, Anna Jans Glas, 9 jaar, Maertje Jans Glas, 7 jaar, Lysbet Jans Glas 5 jaar, Tryntje Jans Glas 3 jaar, Aaltje Jans Glas 2 jaar en Aaltje Jans Glas 1 jaar; en ten lijve van Gerrit van Houten, 9 jaar, ouders Pieter Gerritsz van Houten en Aaltje Aelberts Calis; en 100 gld ten lijve van Jan van Houten, 7 jaar, ouders als voren; 1710-01-21: losrenten Alkmaar: Albert Simonsz Kalis 1000 + 500 gld - losrente 60 gld",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030023,1198,Calle,graaf Dirk VII schenkt land te Poeldijk aan een hem toebehorende kapel van de St Mariekerk te Utrecht [met potlood: Poppendamme?],v.d. Bergh I no 177,"testes: Ada mater mea, Willelmus frater meus comes Frisiae, Margaretha soror mea, Florentius frater meus, Hugo de Vorna, Wilhelmus de Teillinga, Arnoldus dapifer meus, Henricus frater eius, Franco capellanus meus, Baldwinus capellanus uxoris meae, Simon de Harlem, Hugo de Nordeke, Theodericus de Vorburg, Gerulfus qui dicitur Calla",
1030024,1199-01-21 (1200-01-09),Calle,Biggo en zijn neven kopen van graaf Dirk VII het ambacht van Pendrecht met de tienden en kerkgiften. Datum apud Harlehem [met potlood: van Poppendamme?],v.d. Bergh I no 179,"testes: dominus Hugo de Vorne, Gerardus de Hurst, Walterus de Ruven, Arnoldus dapifer, Gerulfus Calle, Sygerus Buth",
1030025,1281,Calle,"grafelijk leen in Rijnland tussen 1281-1284: no 176)/no 191) land in Lisse , 100 £ waard, Dirc Calle, die dit ten eigen kreeg zal ander goed opdragen, in Maseland, de Gheer",De Fremery no 228/Ons Voorgeslacht 07/08-1988 p 332,,
1030026,"1329-05-13, 1348",Calle,"grafelijk leen Rijnland: no 201) 2 morgen in Lisse, belend oost: de kinderen van Wouter Foije, zuid: de leenman (Willem van der Spek), west: Arnoud Callen; 1329-05-13: Willem van der Spek bij opdracht, te komen op zijn zoon Dirk; 1348: belend west: Hugo Taye",Ons Voorgeslacht 07/08-1988 p 336,,
1030027,1334,Calle,"renten van Noordholland: in Pinacker ambacht, in Pinacker: Cop Calle 7sc 5d 1 ½ hoed 10 twal; en Dammais Calle 5 sc 11 ½ d 27 ½ oct","Rek Rentmeester Noordholland p 196, 197",,
1030028,1343,Calle,"rekening rentmeester van Kennemerland: ontvangen van huur bij Haarlem over die Spaerne, die Dieric Baertouds was; item Walich Calle 8 sc 4 d",Rek Rentmeester Kennemerland,,
1030029,1344-1345,Calle,"rekening houtvester: ""om hooij, gegeven tote den wilden vie"", Jan Calle 4 £ 8 sc",Rek Houtvester dl VII p 167,,
1030030,1346-06-01,Calle,"leen in Delfland: - Heinric heer Dierixsz [uten Ketel, schout van Schiedam] 5 morgen in het Nieuweland bij Schijedam, belend aan beide zijden: Willem Callenz en Clays Scheynart",Bijdr Hist Gen 1901 bl 240/Reg EL 5 fol 59v,,
1030031,1351-1352,Calle,van de uitheemse biertollen en schiptolle in Wieringerland: Hughe Kallenz; 1356: idem van de tienden van de westzijde van de Oestenland (Wieringen) 63 £ ,"Rek Rentmeester Kennemerland 800 fol 13v, 806 fol 7v",,
1030032,1394,Calle,rekening rentmeester Noordholland: van landhuur in Maasland: - Bartelmeus Hermansz van Aernt Kallen land 9 £ 12 sc,Rek Rentmeester Noordholland p 61 (gedr) 1394 fol 23,,
1030033,1399-05-25,Calle,leen van Amstel: no 29) inkomsten ambachtsheerlijkheid van Nieuwer Amstel; no 6) 4 £ 10 sc van Callen land,Ons Voorgeslacht 09-1988 p 366,,Nieuwer Amstel
1030034,1399-12-11,Calle,"grafelijk leen in Rijnland: no 193) 12 morgen land in Lisse, strekkend van de heerweg zuid tot de kerk, belend noord:  de heerweg, oost: Willem van Adrichem en Dirc Pape, west: de kerk van Lisse en Jan van Tetrode; 1399-12-11: Dirc Pelgrim, kamerling van Oostervant ten eigen voor 50 nieuwe Gelr gld aan de thesaurier en handgeld voor de leenheer, aangekomen van Arnoud Calle Dirc Jansz",Ons Voorgeslacht 07/08-1988 p 334,,
1030035,1406-02-14 ,Calle,"hertog Willem bepaalt het zoengeld voor de gedoden en gekwetsten binnen Haarlem:  de dood van Dirc van Kallen [Dirc Kallen] 500 £, magen en buren betalen 400 £ (waarvan Geryt Wouters Hertgensz 125 £ moet betalen), en de graaf krijgt 100 £, en zullen er 200 zielmissen voor hem gelezen worden; Dirc Kalle betaalt 25 £ voor de kwetsingen van Claes Pouwelsz; 1406-07-25: verbannen worden wegens niet betalen van het zoengeld: Aernt Hagen  en Dyrc Calle Hagensz, als zijn borg; 1406-07-30: Dirc Calle Gherytsz krijgt vrijgeleide voor 14 dagen, idem 1407-02-11","Rechtspraak Graaf van Holland II p 208 e.v. p 220, 222",,Haarlem
1030036,1408-05-20,Calle,"Dirc Calle heeft zich niet kunnen vrijpleiten van het gebeurde binnen Haarlem, en wordt verwezen in een boete van 100 nobels","Rechtspraak Graaf van Holland II p 229, 234",,
1030037,"1704-03-19, 02-09",Callenburg,admiraal Callenburg,Notaris H Fokkens te Hoorn,,
1030038,1281-1284,"Calslagen, van","lenen ten tijde van Floris V, vóór november 1282:  no 24) Clais van Kalveslo, 9 morgen in Hontshorne; no 164) Didderic Gerarts Vakenz 9 morgen te Ousthorne",De Fremery no 228,,
1030039,1129,Calf,"Alverade [van Cuyk] sticht met toestemming en op verzoek van haar zoons Godfried en Herman en van de mede eigenaars en tiendheffers, nl Luithardus St Mariae Traj prepositus, Rodolphus de Spike, Helyc de Inspike, Hermannus Calf, Hisbodus de Bisde, het klooster Marienweerd en begiftigd dit met goederen te Rumeresborch, Paveren, Rietveld, Tricht, Enspic en Beest",Sloet no 249,"signum: Florentii comitis Hollandiae, Gozewini de Falkenberge, Frederici Trajectensis comitis, Frederici, Winegeri, Rutcheri de Merehem, Godefridi de Riene, Richwini de Maltberga",
1030040,1406-07-25,Calf,"hertog Willem verbant, wegens het niet betalen van het zoengeld voor de doodslagen binnen Haarlem, zaecweldich: o.a. Clais Symonsz van Zaenden bastaard, Jan Willem die men hiet Calfgen, Claes Hugen Jacobsz, zijn borg; Clais Buse Bertoutsz, Matheeus Gheryt Claisz.z en Wouter Florisz als zijn borg; Gysbrecht van Rietvelt en Jacob Hugen Jacobsz als zijn borg",Rechtspraak Graaf van Holland II p 220,,
1030041,1625,Calf,200ste penning kantoor Medemblik: Ellert Claesz Calf fl 700 - fl 28; afgelost 1764-12-20,Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030042,1630-12-15,Calf,"losrenten kantoor Medemblik: verschijndag 01-20, Dirck Claesz Kalf fl 2005 - fl 80-4, afgelost 1768-12-28; 1632-02-04/02-12: Dirck Claesz Calf fl 1200 - fl 48, afgelost 1772-01-08; 1633-04-15/04-20: Dirc Claesz Calf fl 2000 - fl 80, afgelost 1774-11-30",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030043,1327-12-12 (25-04 en 1330-01-03),"Calinchem, van","Gheernant van Kalinchem, abt van St Paulus te Utrecht",Versl Rijks Oude Arch 1923 I p 292,,
1030044,1423,"Calkar, van",lid van het St Joris gilde Den Haag: Seino van Kalkar,Wapenheraut jg I: 13,,
1030045,1162-08-28,Calvus,graaf Floris III geeft aan de abdij Egmond de kerk te Vlaardingen terug,v.d. Bergh I no 143/Batavia Illustrata bl 1204,"Laici: Robbertus frater comiti, Theodericus Persin, Hugo de Teylingen, Isbrandus de Harlem et fratres eius Gerard, Malot et Meinro, Simon Galo, Aelbrecht Banjaert, Dodo advocatus et fratres eius Theodericus, Bernoldus et Weremboldus, Wilhelm de Forenholda, Theodericus de Scoten, Odger de Riswic, Alard Ove, Bertolfus dapifer, Frethlif, Maurin, Ekbrecht Calvius, Lydolfus de Utgest, Stephanus, Adalard, Vastrud de Rinnighem, Isbrand Freso, Isbrand Ethelig",
1030046,1179-03-09<,Calvus,bisschop Godfried schenkt aan de kanunniken van St Marie en St Lebuin te Deventer de hele tiende van het Voorsterbroek bij Zwolle,Oorkbk Sticht Utrecht no 495,"Wilhelmus de Schalcwyk, Ghiselbertus de Amstelle, Elyas Trajectensis scultetus, Theodericus de Jutphaes, Wernerus filius Franconis Calvi, Reynerus de Tolre et frater eius Hugo, Godescalcus camerarius",
1030047,1196-04-30>,Calvus,het kapittel van St Marie en de burgers aldaar sluiten een overeenkomst in het geschil over een door de kanunniken gebouwd huis te Utrecht,Oorkbk  Sticht Utrecht no 529,"Alfero et Alberto de Wlvinne, Andrea de Werconde, Gerardo de Vorne, Wernero Calvo, Francone Bonte, Lutberto de Wedene, Alberone de Worden, Huberco de Businchem, Wilhelmus Unlethege, Hernesto filio Alferi",
1030048,1209,Calvus,"genoemd: Johannes Calvus, canonicus St Petri in Trajecto; Bertholdus prepositus de Aldenzele; Conradus, custos, Herimannus, Reinoldus, Remboldus, Wolterus scolasticus, canonici  St Martini in Trajecto; Hermannus camerarius St Martini, Reinerus, decanus idem; Theodericus Xantense, canonicus St Johannis in Trajecto; Ghiselbertus prepositus St Johannis Trajectensis;  Otto major prepositus Trajectensis; Remboldus, prepositus St Marie in Trajecto; Walterus prepositus St Bonifacius; Henricus, decanus St Johannes; laicus: Ghiselbetus de Amestelle, Arnoldus de Wisenthurst",Cartul Marienweerd no 21,,
1030049,1222-05-31<,Calvus,"Wilhelmus Calvus de Gherbrechtenesse in Zeeland; zie op: Gerbrechtenesse, van",,,
1030050,1162,"Calewe, Calvus de",Egbert de Calewe [Calvus] komt voor in een open brief van de abt van Egmond,Batavia Illustrata bl 1194,,
1030051,1357-10-21,"Cambeke, van","Helminc van Cambeke reçoit du Brabant, un accompte de 90 vieux écus; 1358-06-03: Helbinc (!) van Cambeke reçoit 280 vieux écus pour ses frais et pertes (guerre de Flandre); vgl het zegel van Van Broekhuizen. 1357: Jean van Broekhuizen scelle pour Helminc van Cambeke","De Raadt II p 170, I p 334",,
1030052,1479,"Cameler, van",lid van het St Jorisgilde te Harderwijk: Aert van Kameler ,Wapenheraut jg I: 15,,
1030053,1339-11-30,"Camer, van de","leen van Amstel: no 36) 16 morgen te Nieuwer Amstel de Poorterweide; belend noord: Meine Claes Ruyschenz, oost: de Amstel, zuid: het Marctvelt, west: Papenmeer; 1339-11-30: Willem van de Camer, snyder van de leenheer, in ruil voor 8 £  Holl voor zijn leven, en nog 5 £  Holl die hij van de leenheer kreeg; 1356-12-01: Ghise Zaal Claesz na overdracht door Willem van de Camer ","Ons Voorgeslacht 09-1988 p 372, 373",,Nieuwer Amstel
1030054,1674-07-28,"Camer, van de","losrenten kantoor Alkmaar: verschijndag 1675-10-01, Jan Broersz van de Camer fl 700 - fl 28; 1675-05-24/1676-07-01: Jan Broersz van der Camer fl 930-8-0 fl 37-4-4",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030055,1685,"Camer, van de","Anna Catharina Jansdochter van de Camer en Barbara Jansdochter van de Camer, te Haarlem vragen aan de Staten van Holland venia aetatis",Index Jaeger p 41,,Haarlem
1030056,1707-01-22,"Camer, van de","lijfrenten kantoor Alkmaar: Pieter van der Kamer 777 gld 15 st 10 penn ten zijnen lijve, 40 jaar, ouders: Jan van der Kamer en Maria Schardinel (?)",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030057,1301-04-17 ,Cameraar,"schepenen van Santbomel oorkonden dat Ghiselbertus de Tuul, zoon van Wilhelmus, 4 ½ jugera land in Eynspyc voor 60 £ verkocht heeft, belend tussen Gerardus dictus Grote Ghenen en Johannes dictus Kemerer de Eynspijk",Cartul Marienweerd no 112,borg: Rodolphus zoon van Ghiselbertus Groet de Tuul,
1030058,1308-10-28,Cameraar,"Rudolf Hacko, zoon van Athalye de Tuul, verkoopt 24 jugera en 18 virgis land te Enspijk in loco dicto Audenweide, aan de abdij Marienweerd, belend tussen communem aqueductum versus Roemde en de erven Riquinus zoon van Baudekinus",Cartul Marienweerd no 130,"in presentia judicis de Enspijk: Huberti Cokebone, et vicinorum ibidem: Robertus, Johannis de Helu, Willekinus en zijn zoon Henricus, Neudonis Fresonis [Vriese], Albertus, Hubertus de Hedel, Baudekinus, Sanderus Cameraer, Henricus zoon van Arnold, Johannis zoon van Riquinus; borgen: Ghiselbertus Hacko de Tuul, zijn zoon Petrus, Hubertus Cokebone",
1030059,1311-10-14,Cameraar,"schepenen in Santbomel oorkonden dat Johannes Kemereer en zijn vrouw een brief van 1301-04-17, waarbij hij voor 60 £ 4 ½ hont 12 perticis land kocht in Enspijk, tussen Marienweerd en Gerardus Grote Ghenen, voor 100 £ heeft opgedragen aan Ghiselbertus zoon van Genemannus, ""genero suo"" [= schoonzoon]",Cartul Marienweerd no 138," Sanderus Drossaet; Rodolphus Honscilt, Johannes de Hoesden, schepenen",
1030060,1316-07-18,Cameraar,"Johannes Kemerer de Enspic verkoopt aan de abdij Marienweerd  4 hont land in Eynspijc, in loco dicto Gansberch, belend aan beide zijden door Marienweerd",Cartul Marienweerd no 175,schepenen in Santbomel: Henricus Fey en Goswinus de Werva,
1030061,1350~,Cameraar,"goederenlijst Marienweerd: in Eynspijc: - retro villam de Eynspijc, 9 jugera 4 hont tussen heer Arnoldus Kemereer en de heer van Asperen aan de ene zijde, en de erven jvr Agathe en Willelmus de Eynspyc aan de andere zijde; - ½ juger en 70 virgatas in loco dicto Opt Groetstuuc, et ex domo et area erven Henricus Wilhelmus, in qua habitant, 3 £ census",Goederenlijst Marienweerd,,
1030062,1310-06-14,Camere,"Arnoud Cameren, Bernard van Litte, schepenen in Huesdene [Heusden] oorkonden dat ""jvr Johanna van der Sluse met haren momber hevet verteghen te haren susteren behoef ende haren rechten erfgenamen dat es te weten jvr Jutten behoef van Keple, ver Lisebetten vrouwe van Werdenberghe, vrouwe Beatrisen van der Dussen, vrouwe Agnesen van Amestede en jvr Arnouden behoef van der Sluse, op het goed haar aanbestorven van haar vader Arnoude van der Sluse en daarna van haar moeder Agnesen"" [van der Lecke]",Sloet: Het Stift te Bedbur no 53,,
1030063,1314-07-04,Camere,"schepen te Heusden: Diedric Camere, Jan Merselisz van Hemert",Codex Dipl Neerl serie 2 dl 2 p 168,,
1030064,"821, 898(9), 973","Cameryk, van","Isaac, comes [van Cameryk], zoon Arnulphus (821); Rodulfus comes Camerarcensis, gestorven 899/898, gedood door Heribertus comes Viromandorum,","Miraeus: Opera Dipl I p 46 (246), 154",,
1030065,1314-08-20,"Camerik, van","graaf Willem beleent Maria, vrouw van heer Arnoud van Ysselsteyn met al het goed dat van Jansvan Kamerik was, in de heerschappij van Woerden, op zekere voorwaarden",Reg Hann p 55/Nassau Domeinarch 1961 no 18/ Reg EL 37 fol 1 no 3,,
1030066,1350~,Camerlinc,"goederenlijst Marienweerd: in Malsen [Buurmalsen]: - Oversluse 1 ½ jugera, belend tussen Theodricus zoon van Fredericus en Robkinus die Camerlinc; - te Oversluse ½ juger 30 virgatas, tussen Arnoldus die pape en Theodricum Frederici; - Oversluse 1 juger 24 virgatas, tussen Theodricus Fredricsz",Goederenlijst Marienweerd,,
1030067,1351-05-04,"Camerlinc, de","hertog Willem oorkondt ""want ons kenlick is dat Frederick onse Camerlinck 1 £ Holl sjaers staende hadde voir desen oirloge opdat huus en erve dat Jan van Burch te besitten plach in den Hage, hetwelk belegen heeft op die N.Z: Bertelmeijs Meijnsenz, op die Z.Z.: Jacob Lisen. Soe maken wi cont, dat wi dat anderdeel van den huse ende erve voirs Frederick onsen Camerlinc, voirs omme menigen dienst dien hij ons gedaen heeft, ende noch doen sal, gegeven hebben ende geven in allen manieren alst Jan van Binsch [!] voirs dat jegens ons verboirt heeft, te hebben ende te bezitten plach. Voirt soe hebben wi Fredrick voirs gegeven ende geven dat veenland leggende an die z.z. van onsen bosch van der Hage alsoe groot ende alsoe cleine ende in allen manieren alst Jan voirscr te bruken ende te oirbaren plach. In oirconde. Datum in onser tente voir Rosenborch, des woensdages na des H.Cruysdach inventio anno (13)51""",A.R.A. Leenkamer 32 Copie fol 6/Reg EL 25 fol 3v,,
1030068,1375,"Camerlinc, de",Willame de Chambrelenc reçoit du Brabant une rente par le châtelain d'Aymeries,De Raadt II p 21,,
1030069,1426-05-08,Camerlinc,"dading tussen Jacob heer van Gaasbeek e.a. edelen met Willem van Brederode die Haarlem belegert, waarin vermeld worden o.a. Pieter Jan Camerlincsz, Garbrant Jansz",Van Mieris IV p 841,,
1030070,1431-02-21,Camerling,"grafelijk leen: no 24) stuk zaailand in Akersloot van Jacob Jan Scoutenz, waarna overdracht aan Reiner Jansz, camerling van gravin Jacoba; 1441-01-10: Reiner Jansz Camerling",Ons Voorgeslacht 02-1989 p 65,,
1030071,1533,Camerling,schepen van Hoorn: Willem Jansz Camerling,Velius Chronyk van Hoorn schepenen p 14,,
1030072,1626-04-09,Camerling,"losrenten kantoor Medemblik: verschijndag 04-16, Cornelis Pietersz Camerlingh fl 300 - fl 12, afgelost 1764-12-20; 1645-06-02/06-21: Cornelis Pietersz Camerlingh, fl 400 - fl 16; duplicaat verleend 1797-03-14",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030073,1627-07,Camerling,"losrenten kantoor Medemblik: verschijndag 08-21, Jan Jansz Camerlingen de jonge fl 300 - fl 12, afgelost 1764-12-20; 1630-01/02-22: Jan Jansz Camerlingh tot Twisk fl 300 - fl 12, afgelost 1768-12-28; 1631-05-23/06-02: Jan Jansz Camerlingh de jonge fl 200 - fl 8, afgelost 1772-01-08; 1633-06-10/06-20, Jan Jansz Camerlingh de jonge fl 500 - fl 20, afgelost 1774-11-30",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030074,1628-04,Camerling,"losrenten kantoor Medemblik: verschijndag 05-23, Pieter Jansz Camerlingen fl 300 - fl 12, afgelost 1768-12-28; 1642-12-18/01-10, Pieter Jansz Camerlingh fl 500 - fl 20",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030075,1628-09,Camerling,"losrenten kantoor Enkhuizen: verschijndag 11-18, Freeckje Olpherts weduwe burgemeester Camerling fl 1000 - fl 40, afgelost 1773-01-14",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030076,1635-06-08,Camerling,"losrenten kantoor Medemblik: verschijndag 06-20, Cornelis Pietersz Camerlingh fl 600 - fl 24, afgelost 1774-11-30",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030077,1636-04-18,Camerling,"losrenten kantoor Enkhuizen: verschijndag 05-30, Floris Camerling, oud schepen tot Enkhuizen fl 1000 - fl 40; 1648-09-10/09-20: Floris Camerlinck, schepen tot Enckhuysen fl 1300 - fl 52",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030078,1637-02-25,Camerling,"losrenten kantoor Enkhuizen: verschijndag 03-12, Jan Jansz Kamerlingh fl 1000 - fl 40; 1642-02-27/03-12: burgemeester Jan Jansz Camerlingh, fl 1200 - fl 48; 1643-04-24/05-13: idem fl 2000 - fl 80; 1643-09-04/09-20: idem 1500 - fl 60; 1644-04-08/04-25:  idem fl 2000 - fl 80; 1646-01-25/02-08: idem fl 1500 - fl 60; 1646-08-31/09-10: idem fl 2000 - fl 80; 1647-07-21/07-08: idem fl 2000 - fl 80; 1647-10-10/01-11 burgemeester Johan Camerlingh, fl 2400 - fl 96",Arch. Gecomm Raden Noorderquartier Inv no 51,,
1030079,1586,Camerling,"gestorven Nicolaas Camerling, Raad in den Hage x jvr Alyt van Abbenbroek",Batavia Illustrata bl 827,,
1030080,1594-1605,Camerling,Jan Pietersz Camerling wordt 1594 vroedschap/schepen van Alkmaar. Hij vertrekt vóór november 1605; zegel: stappend paard naar rechts gewend,"Bruinvis no 173, p 23; G.A.Alkmaar zegels doos 13",,
1030081,1359-06-11,"Camerouwer, de",hertog Albrecht oorkondt de verpanding van het ambacht Schroelshoek in Zwijndrecht door Dirk van Oosterhout aan Roelof Duyk,Van Mieris III bl 98,"jussu domini ducis Alberti per dominum de Lec et H. Molnaer, Theodericus Vopponis, S. P. Camerouwer van Haytsteyn, Fricus Fopponus",
1030082,1363-04-25 (1362),"Camerouwer, de","hertog Albrecht, ruwaard, belooft Hendriks kinderen van der Woert, op hun verzoek te zullen belenen met het goed dat van hun vader was, welk goed wij Peter onsen camermeester gegeven hadden, en hij nu aan deze kinderen verkocht heeft",Batavia Illustrata bl 1181,,
1030083,1364-11-10,"Camerouwer, de","Machtelt vrouwe van Voorne oorkondt dat Pieter de Camerouwer van Haytsteyn haar opdroeg het goed ter Woert, zoals hij het in leen hield, tbv de kinderen van Heyndrik van der Woert en zijn vrouw Herbarensdochter van Liesveld en beleent deze kinderen met dit goed, onder voogdij van hun oom heer Herbaren van Liesvelt",Batavia Illustrata bl 1179,"Jacob van den Woude, haar neef Gerart de bastaard, Vrank de Visscher, Aalbrecht Gerritsz",
1030084,1602,"Camme, van der","Jan van der Kamme, gestorven 1602 x Margaretha Copier, zoon Jan van der Kamme, kinderloos",Batavia Illustrata bl 921,,
1030085,1580,"Cammen, van der ","schepen van 's Hertogenbosch: Jacob van der Cammen, met zegel",Navorscher jg 1890 p 523,,
1030086,1569,"Camons, van","leen van Vianen: no 636) Lexmond: 14 morgen in Achthoven  70 £ per jaar waard; 1611-10-13: Johan van Schagen voor zijn vrouw Wilhelmina van Camons, na de dood van haar moeder Elisabeth van Raaphorst; van de Laerveldse kade tot het diep van de Lek, belend oost: Maarten Hendriksz en Gerrit Jansz, west: Pieter Hardebol Adriaen; 1656-11-24: Reinier Puimans voor Sibilla de Camons, na de dood van haar tante Wilhelmina",Ons Voorgeslacht 07-1988 p 281,,
