id,datum,naam,inhoud,bron,getuigen,bijzonderheden,,
1060023,1580-01-07,Falet,"ontvangen van poortergelden: Gedeon Falet, van Mechelen, notaris, heeft zijn eed gedaan en betaald",Stadsrekeningen Amsterdam Rapr 1579 fol 50,,,,
1060024,1342,"Falkenstein, van",heer Theodricus de Honchering (Huncherange) zegelt een akte van Johannes de Valkensteyn heer in Betting (Bettange),De Raadt II p 130,,,,
1060025,1377-1378,"Falkenstein, van","Jean Pylyser, erfgenaam van zijn moeder Udele, dochter van Otto van Falkenstein, relève un fief à Drunen, bij Bois le Duc",De Raadt III p 124,,,,
1060026,,Fannius,"Daniel Fannius, raad en fiscaal van de admiraliteit in Zeeland  x Adriana van Blyenburg; 1655-02-10: mr Pieter Fannius, secretaris van Brouwershaven x Cornelia van Beaumont, hieruit: Daniel en Cornelis Fannius heer van Oud Haerlem en Cortenbosch","Batavia Illustrata bl 873; Navorscher jg 1878 p 252, 253",,,,
1060027,"1490, 1493, 1502","Fayenhoven, van","Antoine van Fayenhoven, zoon van Henri, schepen in Heusden, wapen: een leeuw",De Raadt I p 441,,,,
1060022,,Fayet,Margaretha Faget x Philips van der Goes,Batavia Illustrata bl 971,,,,
1060028,1295-06-15,Fayt,"Hugo, vader van broeder Willem vroeger kapellaan in Teylingen, schenkt al zijn onroerende goederen te Voorhout aan de abdis van Leeuwenhorst, van wie hij vervolgens een prebende ontvangt. Mocht deze onvoldoende worden, dan zal zij worden aangevuld met 12 £ uit de goederen in Marsken, die Fait van de abdis houdt",v.d. Bergh II no 911,,,,
1060029,1477-1500,"Fèbre, le","geteld onder de edelen van Holland: heer Roelant le Febare, heer van Liesvelt, Heemstede, Aarlanderveeen, Zijlhof, uit Vlaanderen",Batavia Illustrata bl 452,,,,
1060208,1330-02-13,Fey,"voor Henricus Fey en Henricus de Werva, schepenen in Santbomel, verkoopt Gerardus zoon van Rodolphus [van den Werve], pellificis, voor 1000 £ al zijn tegenwoordige en toekomende goederen aan de abdij Marienweerd, die na zijn dood in bezit van de abdij zullen komen (1326-04-13)",Cartul Marienweerd no 357,,,,
1060030,1606-1708,Feith,"lid van het St Jorisgilde te Harderwijk: 1606: Peter Feith, 1626: Jan Feith Claes, 1626: Jan Feith Peters, 1636: Lambert Feit, 1645: Arnt Feit, 1656: Berent Feit, 1663: Willem Feit, 1666: Arnt Feith, 1666: Pieter Feith Jans; 1669, 1677, 1703-02-21: Berent Feith, gildemeester, gestorven 1708","Wapenheraut jg I: 59, 60, 108",,,,
1060056,1620-06-18,Feith,"huwelijksintekening Amsterdam: Pieter Feijt, van der Elborgh, schrijnwerker, 23 jaar, geen ouders hebbende, wonende Rapenburg, geassisteerd met zijn oom Dirck Florisz, en Lysbeth Valkenburch, oud 21 jaar, geassisteerd met haar vader Hans Vallckenburch en haar moeder Giertjen Harmans, wonende op Rapenburg. Hij tekent: Pieter Feidts; zij: Lysbeth Vanckenburch",DTB Amsterdam no 424 p 277,,,,
1060031,1374,Feix,"Rygant van Feix (Fesche) reçoit du Brabant un acompte du chef de son frère Masschereel van Feix, tué à Basweiler, sous Jacques de Bourbon, 160 moutons; vgl Hemricourt, Salbray","De Raadt I p 447, 47",,,,
1060032,1346~,Fekerdey,"lenen in Amstelland: - Tideman Claysz 2 morgen in Nichtevecht;  - Tideman Fekerden van Muden 4 morgen gelegen bij de Gheyne (in margine: non per me); in Muden: - Tideman van der Ha 3 morgen in het Haerecht van Nichtevecht; - Tideman Avenz van Muden 3 morgen achter de kerk te Wespe, op de westzijde en 6 morgen op de oostzijde van de Vecht in Wesperkerspel; - Jan Egbrechtsz 8 morgen in Amstelland, belend zuid: (Ruyssche) Hittert Salenz en noord: Tyman ver Lisenz","Bijdr Hist Gen jg 1901 p 270, 271/Reg EL 5 fol 96r",,,,
1060034,1302-02-01,Femuul,"stierf Willem Coster, die aan het klooster 1 £ jaarlijks besproken heeft en met Florentius Femuul begraven is binnen het Paradijs, aan de zuidzijde van Eustachius. NB: Willem Coster, Florentius Femuul, Wouter de Vries en Jacob zoon van Willem Coster liggen in één graf",Kroniek Egmond p 251,,,,
1060033,1334,Fensoghe,"renten van Noordholland: corentienden in Rijnland, verkocht anno 1333: de tiende van Oudenburch kocht Jan Philipsz voor 17 ½ £; rontsoen 5 sc",Rek Hen Huis I p 164,"borgen: Jan Arndsz, Huighe Fensoghe, Huighe Muys",,,
1060035,"1454, 1507-1518",Fermer,"schepenen van Hoorn: 1454: Fermer Jansz; 1507, 1509, 1513, 1515, 1518: Pieter Jan Fermers","Velius: Chronyk van Hoorn Schepenen p 1, 10",,,,
1060036,1697,"Ferny, van","Francois Davidsz van Verny, te Rotterdam, vraagt aan de Staten van Holland venia aetatis",Index J.A. Jaeger p 90,,,,
1060037,1470,"Fèvre, la","Maria van Boschuysen x Hendrik la Févre, volgens anderen Hendrik de Jonge. Roelant le Fèvre, ridder x Hadewy van Heemstede. Hieruit: kinderen die de naam van Heemstede gevoerd hebben","Batavia Illustrata bl 880, 980, 981",,,,
1060038,1311-02-05,Fey,"Rodolphus dictus Delf de Driel verkoopt  voor 100 £ - land, Ghere genoemd, te Afterdike, tussen Jacobus de Veltdriel en tussen land geheten Dijparc; - 7 jugera boven Pulssteghe te Driel tussen Gerardus Beyer en Wilhelmus Pinacker aan Henricus Fey junior de Bomel",Cartul Marienweerd no 137,borgen: Nicholaus Moront en Alardus zoon van Gerardus Loy de Driele,de Achterdijk,,
1060039,1316-06-14,Fey,"Hendrik Graet verkoopt voor 60 £ aan Hendrik Fey: in Driel - 2 jugera gelegen boven Vlidert met 16 virgatis, tussen Wilhelmus Arnoldusz en Johannes dictus Riec; - 3 jugera en 2 hont met 80 virgatis te Crumacker, belend tussen Henricus Graet en Henricus van der Hullen; - 1 jugera boven pascuam comitis tussen Ghiselbertus Moront en Senderkinus zoon van Godefridus; Henricus Graet ontvangt het land vervolgens weer voor 4 £ per jaar in erfpacht",Cartul Marienweerd no 172,"borgen: zijn zoon Alardus, Johannes zoon van Egonis, Egen dictus Vos, Sander zoon van Godefridus; schepenen in Santbomel: Petrus Moliart, Arnoldus Gerardi de Hoesden",,,
1060040,1316-05-11,Fey,"schepenen in Santbomel: Arnoldus Gerardi de Hoesden en Henricus Fey; 1316-07-16: Conradus Rode en Henricus Fey idem; 1317-02-10: Arnoldus Gerardi de Hoesden, Henricus Fey en Paulus de Francia idem; 1319-04-21: schepenen van Santbomel: Johannes de Hoesden, Godefridus ex insula en Arnoldus Fey oorkonden een verkoop van land te Hier","Cartul Marienweerd no 170, 174, 181",,,,
1060041,1318-12-01,Fey,"Wilhelmus zoon van Hacco de Tula verkoopt voor 100 £ 10 jugera in de Hyer [Hier, nu Waardenburg], in loco dicto Hoeven, tussen land van de kerk van Neder Ynen en  Lubbenslote, aan Ghiselbertus Fey; terug voor 6 £ per jaar in erfpacht",Cartul Marienweerd no 196,"borgen: Johannes de Hellu en Paulus zoon van Rodolphus; schepenen in Santbomel: Arnoldus Johannis de Hoesden, Wilhelmus Honscilt",,,
1060042,1323-09-21,Fey,"voor Johannes Holle en Gerardus Maelghijs, schepenen in Santbomel verkoopt Henricus Fey voor 60 £ aan Gerardus Vos de Busco Ducis, de doorgestoken brief no 172 dd. 1316-06-114, betreffende - 2 jugera gelegen boven Vlidert met 16 virgatis, tussen Wilhelmus zoon van Arnoldus en Johannes dictus Riec; - 3 jugera en 2 hont met 80 roeden te Crumacker, tussen Henricus Fey en Henricus van der Hullen; - 1 jugera boven pascuam comitis, tussen Ghiselbertus Moront en Senderkinus zoon van Godefridus; 1330-01-29: Gerardus Vos de Buscoducis verkoopt dit alles aan Johannes Starc voor 60£","Cartul Marienweerd no 238, 351",,,,
1060043,1324-03-29,Fey,"schepenen in Santbomel: Michael Moliart en Arnoldus Fey; 1329-07-17 en tussen 1329- 1339: Paulus Francia en Henricus dictus Fey (tussen 1316-1339), schepenen in Santbomel","Cartul Marienweerd no 242, 334",,,,
1060044,1329-10-08,Fey,"voor Paulus de Francia en Jacobus Moliart, schepenen in Santbomel, verkoopt Henricus Fey voor 100 £ aan Henricus de Werva, tbv Marienweerd, de doorgestoken brief no 137 dd 1311-02-05, waarbij Rodolpfus dictus Delf de Driel aan Hendrik Fey junior land verkoopt te Ghere sitam retro aggerem dictum Afterdike en 7 jugera boven de Pulssteghe in Driel",Cartul Marienweerd no 343,,,,
1060045,1335-06-11,Fey,schepenen in Zaltbommel (Henricus de Werva en Paulus Bart) oorkonden dat Ghiselbertus Fey verklaart slechts recht te hebben op 5 £  uit een schepenbrief houdende 6 £  uit 6 jugera land in Hyr in loco dicto Worden; Petrus van Beusichem is dan overleden (de rubriek luidt: op ten Woorden),Cartul Marienweerd no 427,,,,
1060046,1338-05-22,Fey,"voor schepenen in Beesd belooft Brustiaen de Grote aan heer Henric Fey, persoenre van Beest, de papelijke provende voor de kerk van Beesd, 5 sch per jaar, die hij binnen 6 jaar op een voldoend stuk land zal verzekeren; idem: Brustiaen die Grote belooft aan Rutgher van Tiel tbv Marienweerd een erfrente van 5 sch per jaar","Cartul Marienweerd no 469, 468",,,,
1060047,1338-05-22,Fey,"voor schepenen in Beesd belooft Florans Jansz aan heer Henric Fay, persoenre van Beesde, tbv de kerk te Beesd, een erfrente van 10 sc per jaar, die hij binnen vier jaar op vast goed zal verzekeren",Cartul Marienweerd no 470,"schepenen in Beesd: Jan van Hokelem, Hubrecht Meusz",,,
1060048,1339-08-12,Fey,"voor schepenen in Santbomel verkopen Mechteld, weduwe van Henricus de Werva en zijn zoon Henricus  voor 200 £ aan de abdij huis en land in de stad Santbomel tussen Weselinus cellifix, Godefridus ex Insula [uten Weerde], erven Neudo Feyen, Henricus de Werva, aan de andere zijde de proost van Arnhem",Cartul Marienweerd no 486,borgen: Paulus Bart en Johannes de Werva zoon van Johannes voornoemd,,,
1060049,1345-11-12,Fey,"Machteldis, weduwe van Ghiselbertus Fey, haar dochter Aleid, Henricus Fey en Hubertus de Pascua [van der Weyde], haar kinderen, en Wilhelmus Hacke zoon van Henricus de Werva verkopen voor 100 £ aan de abdij 10 jugera in de Hijr in loco dicto Hoeven, tussen de kerk van Neder Ynen en Lubbenslote (doorgestoken brief no 196 dd 1318-12-01)",Cartul Marienweerd no 540,schepenen in Tuyl: Wilhelmus Ridder en Mathias Rodolfi ,,,
1060050,1350~,Fey,"goederenlijst Marienweerd: in Hier: erven van Gherard Fey, uit 5 jugera in Hier op de Woerden, 5 £ per jaar",Goederenlijst Marienweerd ,,,,
1060051,1376,Fey,"Lambert van Duyst, Goswin die Dulsche, Gisbert Fey, Arnould de Ghijer, curé de Haeften, Boniface Maurissenz en Pierrre uten Werde promettent que Jean uter Maet se trouvera, le dimanche après le jour d'apôtre St Jacques, vivant au mort, à Werdenberch op ten oversten huys à la dispostion du seigneur de Waardenburg; sceau ... (Moliaert?)","De Raadt I p 404, 447",,,,
1060052,1572-10-08,Fey,"hier ligt begraven Henrick die Raet, burgemeester van Bommel, gestorven 1572-10-08, 42 jaar; kwartieren: de Raet, Roelofs van der Poorten, Fey, van Heusden [grafsteen vroeger in de St Jan te 's Hertogenbosch]",De Raadt III p 250,,,,
1060057,1396,Feycop,"Boudouin Feycop, échevin du métier de Hulst",De Raadt I p 479,,,,
1060053,1336-10-29,"Feyter, de","voor schepenen in Santbomel verkoopt Petrus Moliart voor 40 £ aan Marienweerd huis en land in Zantbomel, tussen Ludekinus Feyter en vicum communem; Walter Scaep ontvangt 20 sol rente van dit land; de abdij draagt dit goed op aan Wilhelmus de Horwinen tegen een jaarlijkse erfpacht van 40 sol",Cartul Marienweerd no 448,,,,
1060054,1350~,"Feyter, de","goederenlijst Marienweerd: in Bomel: 2 £ census, Lamberti, uit land tussen Ludekinus Feyter en communem vicum",Goederenlijst Marienweerd ,,,,
1060055,1599,"Feyter, de",Bruyn de Feyter te Gorinchem kocht de ambachtsheerlijkheid Muylkerke van Arent van der Larvinck en Jenne van Herlaer,Batavia Illustrata bl 1007,,,,
1060058,1351-03-21,Feytop,"Hughe Feytops, heer Gillisz, belooft gravin Margaretha en haar zoon Lodewijk de Romein te helpen met goed en bloed ""behoudelicken der stede recht van Dordrecht""",Van Mieris II p 773,,,,
1060060,1327-03-12,Ficeneer,schepenen van Zaltbommel oorkonden dat Otto zoon van Hacko de Malsen verschillende stukken land te Malsen en Hemert heeft verkocht aan Paulus de Francia,Cartul Marienweerd no 277,"borgen voor Otto: Hacco zoon van Ghibo, Giselbertus Runghe/Ronghe en Nicolaus Ficeneer",,,
1060059,.…12-28,Fie,"stierven Dirk Fie (of Fic) [Dirc Fyenz] en zijn vrouw Hasekin, voor wiens gedachtenis hun zoon ….., monnik,  gegeven heeft…..",Kroniek Egmond p 282,,,,
1060061,1600~1630,Fierens,Fierens x Carel van den Boetzelaar,Batavia Illustrata bl 875,,,,
1060206,"1476, 1490, 1538, 1541",Fijck,"1476: Boudijn Fijck, zoon van Adrien, schepen van Rotterdam; 1490: Adrien Fijck van Hove, schepen van Rotterdam; 1538: Josse Fijck, zoon van Thierry, idem; 1541: Adrien Fijck, zoon van Thierry, idem",De Raadt I p 453,,,,
1060207,1485-08-08,Fijck,"Cornelis van Montfoirde en Jan van Berendrecht als gemachtigd door Claes Bouwensz Fijck, vader van zijn vrouw en door Bouwen Fijck. Uitspraak 14-10-1485",Ned Leeuw jg 1915 p 136/Kenningboek Leiden D fol 293v,,,,
1060062,1130-1161,Fikerdey,"aanwinsten abdij Egmond: - Theodericus Fekerdey (dedit) terram in Benningfort, 2 solidos; - Theodericus Fikerdey land boven Adrichem en in Asbroke en Westbroke boven Hooghmade; - in Astbroke een viertel en 2 campen, genaamd Liechtcampe; - in Westbroek extra flumen Holenfliet mansum unum praeter duas virgas; - Theodericus Fikerdey mansum super Smelingheest; - Gazwijn unam virgam a Eustacio quinque virgas et dimidiam in Westbroke in duas fossas, quae dicuntur Fliet; - Walech de Bakkem dedit terram in eadem villa jacentem, persolventem 5 denarios; - boven Darenghest pascuam septem dimidiam vaccarum et pasccua et campum in Noirtheke","Bijdr Hist Gen jg  1914 p 24, 32, 33",,,,
1060063,1330-04-13,File,"voor Arnoldus van Hoesden en Wolterus Scaep verkopen Johannes Blaffaert en zijn broer Rodolphus, 5 jugera en 95 perticas land in Hellu, in de Vriesencamp, tussen Marienweerd en Neudekinus de Haerhusen, aan Gerardus de Werve, tbv Marienweerd",Cartul Marienweerd no 368,borgen: Theodoricus zoon van Henricus en Arnoldus File,,,
1060064,1440,"Finteloe, van","Geert van Finteloe, lid van het St Jorisgilde te Harderwijk",Wapenheraut jg I p 14,,,,
1060065,1284-05-13,Firenbais,"uitgaven Dordrecht: - Tileman Fierenblaise 1 sc 6d, die hi ontfinc den roeghe in den coeghe die hi doe utgaf; - Th Fierenblaise doe men vercochte die assys in de eerste maand 1sc; - Pieter den Keyser van wijn voor de graaf en 15 halfcaken, die Jan die  Keyser deed vollen toen heer Heinric die Vriese, Gerard van Scye en Tielman Fiereblais beghaderen voren in die Haghe (op 07-09); - Th Fierenblase van zijn dienst 3 £ ; - doe men verscref die handvesten op Brandenberg van maaltijd, waar Herman van Warden, heer Heyman Suus, Jan die clerck bij waren en aten en Th Firenbrais en dronken 6 sc;  - van de vaart naar den Haghe van teringhe 5 £ , door Heinric die Vriese, Gerard van Scie, Jan die Keyser, en Tieleman Fierenblais; - uitgegeven door heer Heinrics en heer Willem uten Steenhuse Tileman Fierenblase 1 £ 10 sc. - van allerhand stukken: Thielman Fierenbras van oude schuld 3 £ ","Oudste Stadsrekeningen Dordrecht p 12-15, 20, 24, 34",,,,
1060066,1290-12-11,Firenbais,"graaf Floris regelt de voorwaarden van de zoen over de doodslag op Claas Oem en de verwondingen aan enige anderen: niet inbegrepen is Pauwels heer Thylemansz, maar Thyleman Thylemansz, Willem Stovenackenz, Heine Diddericsz, Arnout Massez, Willekin Arnoutsz en Thyleman Peters Keysersz zullen varen naar onze vrouwen te Rotsemadoen [bedevaart] voor de ziel van Clais Oem, eer zij binnen onsen lande komen en dat bewijzen met goede oorkonden dat zij daar geweest zijn",v.d. Bergh II no 754,"borgen: Jan de Keyser, Peter de Keyser, Peter heer Thylemansz, Martiin heer Thyleman Oemsz, Thyleman die Vriese veren Aghetenz, Gisebrechtsz heer Petersz, Gherart van Dovere, Thyleman Fyrenbais, Daniel Firenbais, Jan en Ghene die Smeker, Willem van Doornen alse ute te reikene die zoen van des vaders weghen",,,
1060067,1406-02-14,Firenbras,hertog Willem bepaalt de zoengelden voor de gedoden en gekwetsten binnen Haarlem: - Jacob Fierenbras moet betalen 100 £ voor de zoen met de magen van Symon van Zaenden en Willem van der Woude; Jacob Fierenbras moet bovendien ruim 6 £ betalen voor de verwondingen van Haestgen Pieter Jan Koxzoons vrouw; - Jacob Bierenbras moet 15 £ betalen aan Geryt Aerstsz,Rechtspraak Graaf van Holland II p 208 e.v.,,,,
1060068,1406-04-26,Firenbras,"onderzoek te Alkmaar over de onlusten aldaar, waardoor velen voortvluchtig waren: o.a. Jacob Fierenbras",Rechtspraak Graaf van Holland II p 261,,,,
1060069,1406-06-18,Firenbras,lijst van personen die het zoengeld wegens de doodslag binnen Haarlem op Jan van Zevenbergen moeten betalen: o.a. Jacob Fierenbras; op de latere lijst komt hij niet meer voor,Rechtspraak Graaf van Holland II p 216,,,,
1060070,1407-02-11,Firenbras,"hertog Willem geeft een vrijgeleide aan Jacob Fierenbras, Jacob Heinricsz, Jacob Jansz Gruters stiepzooon, Claes Putgen, de zoon van Jan Jacobsz, Pieter Jacobsz, Ysebrant Reynersz",Rechtspraak Graaf van Holland o.a. p 224,,Haarlem,,
1060071,1076-1099,"Flagence, de","Wilhelmus de Flagence, een Gelders of Brabants edelman, getuige voor Adelheid x Hendrik, dochter van graaf Evert (of 1075-1081)",Sloet no 184 p 182,,,,
1060072,1178,Flamigo,"bisschop Godefridus geeft de tienden van Driel, Giessen en Woudrichem, die hij zich toegeeigend had, aan het kapittel van S Salvator of Oudmunster terug",v.d. Bergh I no 158,"Wilhelmo de Scalcwyc, Helya scultetus, Ghiselberto de Amestelle, Henrico Flamigo, Theoderico de Judefaes, Alberone Pavone, Willelmo de Thyverdic etc",,,
1060073,1317-03-16,Flance,"Symon Mone, broer van Dirk Flancen, staat al zijn goed aan de vicecommandeur van St Jan te Haarlem af, om door de bisschop van Zuden uit de ban verlost te worden",Reg Hann p 71/Cartul St Jan no 895,,,,
1060074,1334,Flance,"renten van Noordholland: corentienden in Rijnland, verkocht anno 1333: de tiende in Aerlendervene boven Aseneghe kocht Betthe Grietenz",Rek Hen Huis I p 167,"borgen: Dirc Torrijn, Dirc Ermegaerdez, Claes Betthenz, Gheryt Ilontscope, Flance Grietenz, Jan Ermegaerdez, Jacob Sevenpond, Coman Dirc, Gheryt Alidez",,,
1060075,1132-05-26 - 09-13,"Fledre, van",Rudolf van Steinvorth schenkt al zijn goederen te Vollenhove voor de dienst in de kerk te Lette,Oorkbk Sticht Utrecht no 339,"testes: Wazo, Theodericus, Simon, Andreas, canonici; Gelmarus presbiter, Godefridus et Theodericus de Bochorst, Wicherus, Ramuardus scultetus, Gevehardus, Odulphus, Gislebertus, Hugo de Fledre, Engelbertus de Umme, Benzelinus de Harsolte, Alfarth, Lifarth, Einolt, Marcward, Albertus, Ascelinus",,,
1060076,1285-01-05,Flexe….,"schout en schepenen in Naaldwijc in officio Florentii de Wort: Heynemannus, Piet …. Borghardus, Theodericus Huasart, Johannes Oude …, Wilhelmus filius Johannis Bolle, Nicholaus Flexe…, Nicholaus de Clee",De Fremery no 229,,,,
1060077,1605-08-06,"Flines, de","huwelijk Amsterdam: Phillippe de Flines van Antwerpen oud 24 jaar, wonende in de Ness, geassisteerd met zijn vader Glibert de Flines met Styntgen Nisabeth, van Gorckum, wonende te Rotterdam",G.A.Amsterdam DTB 762 fol 109v,,,,
1060078,1659,Flint,akte van belening met het Cele Flintengoed en een slag hout in het Zeddammerbos voor Gerhardt Schaep,Arch Huis Bergh Inv no 3277,,,,
1060079,1601,"Florines, de","stierf Clara van Nispen, gehuwd met Nicolaas van Florines, griffier van het Geestelijke Hof te Mechelen, begraven bij haar man in de Hoofdkerk van Mechelen ",Batavia Illustrata bl 1029,,,,
1060080,1562,"Flory, van","Magdalena van Flory x ondertrouwd met David van der Houve, baljuw van Kennemerland vermeld 1562; zij stierf voor het huwelijk. Petronella van Flory uit Den Haag x Adriaan van Naaldwijk","Batavia Illustrata bl 993, 1022",,,,
1060081,1339-04-22,Flours,"Theodricus dictus Flours de Dynter, armiger, s'engage à suivre le duc de Brabant, à cheval, dans la prisente guerre entre l'Angleterre et de la France",De Raadt I p 384/Brabant no 516,,,,
1060082,1608-07-01,"Fockert, de","Aert Anthonis de Fockert  te Herwijnen ondertrouwd met Neel Jansdochter. Hieruit: Lyske Aerts x vóór 1638 met Splinter Jansz Vervoorn, Mayke Aerts, Tryntje Aerts x Gerrit Jans Splinters, Neethe Aerts x Cornelis Hermans. Op 1626-01-08 hertrouwt hij als weduwnaar van Neel Jans met Arieken Goirt de Rouwsdochter, hieruit: drie zoons",Gens Nostra jg 24 no 10 1969-10 p 298,,,,
1060083,1303,Foeck,bisschop Guido van Utrecht schenkt enige landhoeven aan de kerk te Kamerik,Van Mieris II bl 38,"getuige no 70: Isebrandus Foeck, miles",,,
1060084,1390-10-06,Foeck,"testament van Alienora vrouwe van Zulen en Maartensdijk. Executeurs testamentair: Everardus Foec, decanus, Gherardus Bronckhorst, kanunnik St Salvator, Florens van Borssele, dominus de aggere St Martini Zelandie, zijn broer Theodericus de Borssele, dominus de Zulen, zoon van Alienore, Walraven de Wye, milites, Elisabeth de Maldighem vrouwe van Ackoy",Codex Dipl Neerl serie 2 dl 2 p 242,,,,
