id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2010020,1431-10-20,Adam,Claesz,"leen no 27B) ½ van 2 morgen in Honterland in de Lier, Adam Claesz; ….: Henric Aerntsz",Ons Voorgeslacht 10-1988 p 440,,
2010021,1548-04-05,Daem,Dirksz,"leen van Vianen: no 701) een viertel in Outena, Daem Dircsz te Hagestein, na overdracht door Jan Heimericsz; 1552-08-19: Daam Dirksz draagt dit leen over aan Pieter Quarebbe, castelein van Vreeburg bij Utrecht, belend boven: de blokhuiswerf",Ons Voorgeslacht 07/08 1988 p 316,,
2010022,1421,Adam,Gillisz,Raad van Dordrecht: Daem Gillisz,Balen: Dordrecht p 286,,
2010023,1503-08-28,Daem,Gysbrecht Hughenz,"Daem Gijsbrecht Hughenz, schout van Stolwijk, met zijn zegel",Grote Raad Mechelen Beroepen Holland dl III dossier 209,,
2010024,1437-04-02,Adam,Henricsz,"leen no 27A) ½ van 2 morgen land in Honterland in de Lier, Pieter Aerntsz; 1447-05-29: Adam Pietersz na dode van zijn vader Pieter Arentsz; 1482-12-02: Adam Henricsz na dode van zijn vader Henric Adamsz (zie ook leen 27B)",Ons Voorgeslacht 10-1988 p 440,,
2010025,1349-1350,Ame,Jommekenz,Ame Jommekenz: van heer Hughen roed ( 798 fol 13v),Rek Rentmeester Kennemerland,,
2010026,1369-1400,Hugeman,Adamsz,"schepen, burgemeester van Dordrecht: Adamsz, of Human Adamsz","Balen: Dordrecht p 276, 277, 239, 391",,
2010027,1466-08-05,Adam,Vranckenz,"leen no 31): 12 morgen land in de Lier, beleend Dirc  Aem Vranckenz met een ¼ van dit leen",Ons Voorgeslacht 10-1988 p 441,,
2010028,1000~1100~,Adbret,,"aanwinsten van de abdij Egmond in Castrichem: Adbret cum sua legali conjuge 3 partes unius manse tradidit, et quaertem partem ejusdem anse emimus ad ipsos",v.d. Bergh I no 90,,"er staat: 10e eeuw, veranderd in 11e eeuw"
2010029,1389-1390,Adde ,Voppenz,"Adde Voppenz: afterstal van de tienden van Suut Strode, 9 £ (828 fol 6)",Rek Rentmeester Kennemerland,,
2010030,1401,Adde ,Warmboutsz,"Adde Warmboutsz: van de tienden in Suut Stroede, 14 £ (831 fol 9v); 1402: van idem 17 £ (832 fol 9v); 1403: idem 12 £ 5sc (833 fol 9v)",Rek Rentmeester Kennemerland,,
2010031,1349-1350,Ade,rike,rike Ade: afterstal van Vronen (798 fol 30v),Rek Rentmeester Kennemerland,,
2010032,1389-1390,Ade,Gerbrantsz,"Ade Gerbrantsz maakt 6 ½ roeden dijk aan heer Hughendijk, 43 sc 4d (828 fol 24v)",Rek Rentmeester Kennemerland,,
2010033,1001-07-22,Adela,,Odela cum filio suo Axricus tradidit St Pieter te Gend unum mansum terre situm in villa nuncupata Mella,Cartul de la Ville de Gend p 99,,
2010034,1037~,Adela,,"Godeldis et Adala, uxor filii ejus Rodulfi, pro anima Rodulfi predicti dederunt St Petro te Gend 4 bonaria apud Bratte (= Bremt)",Cartul de la Ville de Gend p 110,,
2010035,1304~,Adelise,ver,"leen van Putten in Zeeland: 1/24e deel van het westende van Spikenisse van den corentiende, wijlen ver Adelise, haar dochters Aecht en Marie; ver Gheertruit, haar zuster 1/24, Wolfert 1/12 deel",R.G.P. Grote Serie 171 Rek Dom Putten II p 266,,
2010036,….-06-30,Adalwar,,"stierf Adalwar, die onze broederschap een stuk land in Assendelft, jaarlijks 2 oncen opbrengende, gegeven heeft",Kroniek Egmond p 267/Dagregister,,
2010037,1000~1100,Adalwar,,"aanwinsten van de abdij Egmond: in loco Wynnemerwalt vocato, Wibrant cum sua matre Adalwar possessionem dedit 5 uncias persolventem, et idem Wibrant dedit pratum super sua uxore, 1 unciam persolventem",v.d. Bergh I no 90,,
2010038,971-09-17,Adhad,,quidam matrona Gisla ex precepto senioris sui Stephani tradidit St Petro et St Paulo te Gend alodem suum in loco nuncupato Adhad met mancipia: Rotlendam et Gersendam ,Cartul de la Ville de Gend p 82,,
2010039,1535-1536,Adriaan ,Adriaensz,"Adriaan Adriaensz, zoon van wijlen Adriaen Claesz in geschil met zijn oom Joris Claesz over de erfenis van zijn grootouders te Maasland",Grote Raad Mechelen Beroepen Holland dl IV dossier 399,,
2010040,1575-12-10,Adriaen,Adriaensz,de procureur van Adriaen Adriaensz gedaagd voor eht Hof van Holland; 1576-02-23: aan zijn weduwe wordt bevolen de executie te stopen; 1574-1576: hij had een koe gekocht die door de geuzen aan een ander ontstolen was; hij was uit Ysselsteyn gevlucht,"Grote Raad Mechelen Beroepen Holland dl VII dossier 640/2, 640/3 sub f/I, dossier 640",,
2010041,1585-05-31,Adriaen,Adriaensz,"de erfgenamen van wijlen Jacoba Pietersdochter, weduwe van haar laatste man Dirc Aerntsz metselaer: 1) Janneke Pietersdochter x Engel Adriaensz, te Leiden, 2) Catryn Pietersdochter x Adriaen Adriaensz, te Leiden, 3) Baef Pietersdochter x Melis Adriaensz, als gekozen voogd, verkopen huis en erf aan de noordzijde van het kerkhof te Haarlem (Riviervischmarct)",G.A.Haarlem Transportregister 76/27 fol 121v,,
2010042,1472,Adriaen,Albrechtsz,"schepen van Dordrecht: Adriaen Aelbrechtsz, kwam in zijn plaats Cornelis heer Damasz",Balen: Dordrecht p 295,,
2010043,1511-1512,Adriaen,Aelbrechtsz,"Adriaen Aelbrechtsz en Gerrit Oudsiersz pachtten van Rotterdam de visserij in de Schie tussen Ouderschie en de Bildershuele, door Delft betwist. Het gerecht van Delft verbande hen voor een jaar en legde hen een bedevaart naar St Hubert in de Ardennen op of levering van 3000 stenen; zij gingen hiervan in beroep bij de Grote Raad; 1511-09-25: hun vrijlating geeist; 1511-09-27: Claes Claesz stelt zich borg voor Adriaen en Reyer Outgersz borg voor zijn broer Gerrit Oudziersz",Grote Raad Mechelen Beroepen Holland dl III dossier 247,,
2010044,1551-1557,Aelriaen,Aertsz,"Aelriaen Aertsz, deurwaarder in het Hof van Holland, pachtte op 1551-11-14 het schoutambacht van Alkmaar, voor 6 jaar, tegen 90 £ voor de eerste 2, en 100 £ voor de laatste 4 jaar",Bruinvis: de Regering van Alkmaar tot 1795 p 5,borgen: zijn schoonbroer Adriaen Willemsz en zijn zwager Gerrit Doedesz,
2010045,1557-10-25,Adriaan ,Aertsz,"leen no 34): 2 morgen land bij de poorte van Vlaardingen, belend oost: de grauwe zusters, west: de groene weg, gelegen in de Vrijheid van Vlaardingen, Maarten Hendriksz draagt dit leen over aan zijn moeder Hillegond Allards, gehuwd met Adriaen Aertsz, te Vlaardingen",Ons Voorgeslacht 10-1988 p 441,,
2010046,1479,Adriaen,Andriesz,Acht van Dordrecht: Adriaen Andriesz,Balen: Dordrecht p 297,,
2010047,"1414, 1415",Adriaen,Anssenz,"Raad van Dordrecht: Adriaen Anssenz; 1441-1443, 1454: schepen","Balen: Dordrecht p 284, 285, 290",,
2010048,1510-03-23 (1509),Adriaen,Thoenisz,"Adriaen Thoenisz heeft een deurwaarder te Heusden gevangen gezet en een ander bedreigd, daarvoor aangeklaagd door de Procureur Generaal",Grote Raad Mechelen E.A. Dossiers dl III dossier 2726,,
2010049,1582-1620,Adriaen,Anthonisz,"vroedschap, burgemeester van Alkmaar: mr Adriaen Anthonisz, begraven 1620-11-20; 1579: schepen van Alkmaar, Adriaen Anthonisz (p 22)","Bruinvis: Alkmaar no 146, p 11, 12, 17",,
2010050,1582-05-16,Adriaen,Anthonisz,"mr Adriaen Anthonisz, burgemeester van Alkmaar, erfgenaam onder beneficie van inventaris van wijlen zijn vader Anthonis Heertgisz, verkoopt huis en erf te Alkmaar (132 fol 71v); 1585-01-04: als voogd van zijn zuster Brechtgen Thoenisdochter verkoopt hij huis en erf te Alkmaar, onderpand zijn huis en erf (fol 141); 1588-01-02 (133 fol 87v) en 1589-04-24 (fol 220): belend",O.R.A. Alkmaar,,
2010051,1440,Adriaen,Arntsz,"Ermgard, dochter van Adriaen Arntsz, bij dode van heer Adriaen Staessenz, op haar alleen, Dordrecht, rente op Haarlem ½ jaar 6 £ 13sc 4d (195 fol 71); 1442-1443: Ermgard, haar rente 13 £ 13sc 4d (fol 62v)",Thesauriersrekening Haarlem,,
2010052,1569,Adriaen,Bouwensz,"leen van Vianen: no 605) 1 morgen in Lakerveld voor aan de Dulle hoeve, belend boven: Adriaen Bouwensz, beneden: mr Cornelis Gerbrantsz, jaarlijks 5 £ waard, beleend Floris Gerritsz te Lakerveld, na dode van zijn vader Gerrit Dirksz",Ons Voorgeslacht 01-1988 p 28,,
2010053,1430,Adriaen,Claes Vrouwelynsz,"heer Adriaen Claes Vrouwelynsz, Dordrecht: rente op Haarlem van 1428, 1429, 293 £ 6sc 8d (184 fol 85); 1440: (195 fol 74) heer Adriaen Vrouwelyn en zijn zuster Geertruid, ½ jaar rente 7 £ 18sc 8d; 1431: (fol 39) rente 153£ 6sc 8d; 1432: (fol 34) 166£ 13sc 4d; 1433: (fol 28) idem; 1435-1436: (fol 36) heer Adriaen Vrouwijn Ditteck en zijn zuster Geertruid kopen een lijfrente van 12 R gld per jaar op Haarlem voor 177£ 12sc; 1442-1443: (fol 64v) heer Adraien Vrouwlyn en zijn zuster Geertruid, hun rente 16£ 8sc; 1468-1469: (no 217 fol 38v) de bode die de tijding bracht dat heer Adriaen Vrouwelyn dood was, 2£ 6sc 8d gegeven",Thesauriersrekening Haarlem,,
2010054,1502,Adriaen,Claesz,schepen van Delft: Adriaen Claesz,Bortet: Delft p 119,,
2010055,1514,Aeriaen ,Claesz,"Jacob, zoon van Aeriaen Claesz, van Sparendam, in de kerk begraven, opdoen van het graf 20 st",Kerkelijke Rek Haarlem fol 10v,,
2010056,1535-1536,Adriaen,Claesz,"geschil voor het gerecht van Maasland: Adriaen Claesz contra zijn broer Joris Claasz over de erfenis van hun ouders, 1526, 1527; 1528: zei Joris dat hij niets meer te eisen had, doch daarna beweerde hij dat 2 koopbrieven (1504 en 1512) die zijn neef Adriaen Adriaensz bezat, of vals waren of niet bestonden; 1535: vonnis om deze te vertonen, maar dat gebeurde niet",Grote Raad Mechelen Beroepen Holland dl IV dossier 399,,
2010057,1494-1497,Adriaen,Cornelisz,Adriaen Cornelisz stoort het Regulierenconvent te Rugge bij den Briel in het bezit van een gors,Grote Raad Mechelen Beroepen Holland dl VII dossier 678,,
2010058,1504-05-18,Adriaen,Cornelisz,bestek van Adriaen Cornelisz als aannemer van het herstel van de Hondsbosse zeewering,Grote Raad Mechelen Beroepen Holland dl VII dossier 610/2,,
2010059,1552-1555,Adriaen,Cornelisz,"Adriaen Cornelisz, poorter van Alkmaar, gehuwd met Anna Pietersdochter, dochter van Pieter Hendriksc, rietmaker te Alkmaar en Margaretha Wouterszdochter: proces met de kinderen van Jacob Willemsz met wie Margaretha hertrouwd was",Grote Raad Mechelen Beroepen Holland dl VI dossier 508,,
2010060,1554~-1563,Adriaen,Cornelisz,"Adriaen Cornelisz, kanunnik te Tholen",Grote Raad Mechelen Beroepen Holland dl I dossier 68/bis 2,,
2010061,1555-09-26,Adriaen,Cornelisz,"poorters van Zierikzee, o.a. Adriaen Cornelisz wagemaker, consigneren eventueel te betalen tolrecht tbv de tollenaar te Gorinchem",Grote Raad Mechelen Beroepen Holland dl VII dossier 699/2-2,,
2010062,1614~,Adriaen,Cornelisz,"Thijs Jacobsz en Thijs Cornelisz, mede namens zijn broer Gerrit Cornelisz en 2 zusters, aan Adriaan en Jan Cornelisz, 5 hont en 20 roeden weiland met ⅕ van het huis daarop. Het woonhuis moet mei 1614 afgebroken zijn; het land ligt gemeen met 4 morgen 1 hont van Cornelis Dircsz, nabij het Leprooshuis; belast met 3 braspenning erfpacht","Protocol Schoten, Haarlemmerliede en Akendam fol 125",,
2010063,1481-1490,Adriaen,Dircsz,Raad van Dordrecht: Adriaen Dirksz,Balen: Dordrecht p 298-300,,
2010064,1483-1484,Adriaen,Dircsz,"Adriaen Dircsz, van Heemstede, 100e penning, vermogen 200 R gld",Thesauriersrekening Haarlem,,
2010065,1484-1517,Adriaen,Dircsz,"schepen of burgemeester van Alkmaar: Ariaen Dirksz; 1516~: fungeert Adriaen Dircsz als onder-schout van Alkmaar voor heer Joost van Borsselen, de pachter","Bruinvis: Alkmaar p 16, 22, Regering van Alkmaar tot 1795 p 4",,
2010066,"1509, 1518",Adriaen,Dircsz,"schout van Stolwijk: Adriaen Dircsz, zijn zegel: 5 puntige ster, in de punt vergezeld van 3 (2,1) horizontale turven",V.R.O.A. 1920 dl I p 712/Arch Stolwijk Inv 569,,
2010067,1517,Adriaen,Dircsz,"Adriaen Dircsz, substituut van de heer van Schagen, die schout van Alkmaar was",Grote Raad Mechelen Beroepen Holland dl III dossier 264,,
2010068,1552-1560,Adriaen,Dircsz,"Joris Jansz, oom van Adriaen Dircsz, priester, te Delft, treed op voor hem en Gerrit Dircsz den Harst, schout van het Hof van Delft, executeur testamentair van Maritgen van Dyck en haar dochter Neeltgen van Dyck Willemsdochter, bagijn te Delft, proces; 1557-10-12: Adriaen benoemd tot executeur iplv zijn overleden oom Joris Jansz; mr Adriaen Willemsz, proost van het Leprooshuis buiten Delft; 1551-12-15: tot executeur benoemd in het testament van Neeltgen van Dyck Willemsdochter, bagijn te Delft (1552-02-11)",Grote Raad Mechelen Beroepen Holland dl VI dossier 523,,op een andere plaats heet mr Adriaen Willemsz mr Arent Willemsz
2010069,"1584, 1585",Adriaen,Dircsz,schepen van Dordrecht: Adriaan Dircsz,Balen: Dordrecht p 325,,
2010070,1426-1437,Adriaen,Elyasz,schepen van Delft: Adriaen Elyasz,"Bortet: Delft p 107, 108",,
2010071,1563~,Adriaen,Evertsz,"Adriaen Evertsz, pachter van het schoutambacht van Alkmaar [tekst onduidelijk]",Bruinvis: Regering van Alkmaar vóór 1795 p 5,,
2010072,1440,Adriaen,Gerritsz,"Rissent, dochter van Adriaen Gerritsz, en Yde Gerritsdochter, Dordrecht, rente op Haarlem ½ jaar 6 £ 12sc 2d 2mite (195 fol 61); 1437-1438: Yde Gerritsdochter en Rissent Adriaen Gerritszdochter, hun rente 6 £ 6sc 8d (fol 40); 1442-1443: hun rente 13 £ 10sc (fol 52v)",Thesauriersrekening Haarlem,,
2010073,1467-1471,Adriaen,Gerritsz,schepen van Dordrecht: Adriaen heer Gerritsz,"Balen: Dordrecht p 294, 295",,
2010074,1468-07-27,Adriaen,Gerritsz,"""man"" van den Nieuwerkerk onder Hardincsveld: Adriaen Gherytsz, hij stelt procureur","Coll Aanw 238 fol 1005v, 1012v/Memorien Hof van Holland",,
2010075,588-12-01,Agericus,,"stierf Agericus, als bisschop van Verdun",Miraeus: Opera Dipl I p 164,,
2010076,1338,Niese,,"Heemstede, van beesten: Nise, 2 scare 3 sc",Rek Houtvester dl VII p 96,,
2010077,1394,Agniese,,"[Voorhout]: 8 hont land die van jvr Agniese, non ter Leede [Leeuwenhorst] waren, Dirc Hughenz 3 £; Lysbeth Scaep van een hofstede die van jvr Agniese was, 7sc 8d",R.G.P. 182 p 54,,
2010078,1437-1438,Agniese,Meus Nycoelsdr,"Margarete Meus Nycolsz weduwe en haar dochter jvr Angnies, rente op Haarlem 18 R gld, maakt 22 £ 16sc (fol 42), met haar zoon Peter 15£ 4sc; 1442-1443: (fol 63v) Margaretha met haar dochter jvr Agniese, nonne, 24 £ 12sc, met haar zoon Pieter 65£ 10sc; 1440: Margarethe weduwe van Meus Nykoslsz en haar zoon Pieter, Dordrecht, 2 brieven op Haarlem, rente van ½ jaar 33£ 1sc 1d 1mite (195 fol 59)",Thesauriersrekening Haarlem,,
2010079,1428,Agniese,Claesdr,"Agniese Claesdochter, vrouw van Volkert Pietersz te Alkmaar, van haar besterfte, daar zij een bastaard was, 5 £ (858 fol 1v)",Rek Rentmeester Kennemerland,,
2010080,1535-1536,Agniese,Claesdr,"Agnies Claesdochter, tot Scalckwijc, heeft die kerk besproken 10 st bij haar testament (1536)",Kerkelijke Rek Haarlem fol 19,,
2010081,1468-10-20,Agniese,,Agniese Dirc Reynersz weduwe gedagvaard door Pieter Willemsz; 1468-10-25 kwestie met Dirc Reynersz erfnamen,"Coll Aanw 240 fol 1320, 1334",,
2010082,1384-1385,Agniese,,"van de goederen de heer aanbestorven te Horne van de dood van Nijse, vrouw van Jan Jansz, omdat zij een bastaard was, 11 £ (826 fol 21)",Rek Rentmeester Kennemerland,,
2010083,1441-1442,Aecht,Vastraet Claeszdr,"Aecht Vastraet Claesz dochter te Dordrecht, koopt een lijfrente van 5 R gld per jaar op Haarlem voor 56 £ 13sc 4d (fol 6v)",Thesauriersrekening Haarlem,,
2010084,1542/7,Aecht,Florysdr,"Aecht Florysdochter, in die Waert, van haar testament 2 ½ R gld [1545]",Kerkelijke Rek Haarlem fol 30v,,
2010085,1431-1432,Aecht,Warmbouts,"Aechte Willem Hughenzsdochter, weduwe van Warmbout Colynsz, Dordrecht, rente op Haarlem 9 £ 4sc (fol 40v); 1433-1434: (fol 25) rente 10 £; 1434: (188 fol 20v) idem en hun zoon Willem, 3 Wilh scilt, maakt 5 £ 2sc, met hun dochter Katheline, 5£ 2sc; 1435-1436: Aecht met haar zoon Jacob, 3£ 14sc 7½d, met haar dochter Katheline, 3£ 14sc 7½d; 1437-1438: (fol 29v) Aechte Warmbouts Jan Gysbrechtszdochter, 7£ 12sc (fol 32) met haar zoon Willem 3£ 16sc; 1428-1429: zij koopt deze lijfrenten van 6 Wilh sc per jaar voor 86£ 14sc, 2x: voor haar zoon Willem en haar dochter Kateline; 1430 en 1440: Kateline met haar moeder Aechte en haar broer Willem, rente ½ jaar 4£ 6sc en 4£  (184 fol 88, 195 fol 66); 1442-1443: (fol 57v) Kateline alleen 8£ 8sc",Rek Rentmeester Kennemerland,,
2010086,1460,Aecht,Willem Dircs,"ontvangen van coman Symon 102 R gld van het land te Sparendam, gecomen van Aecht Willem Dircsz",Kerkelijke Rek Haarlem fol 2v,,
2010087,1474-02-16,Agatha,Willemsdr,"leenregister van Putten: no 296) de tienden van hofsteden en hagen tussen beide weteringen aan de polderdijk in Putten belast met 2 £ Holl herengeld, Pieter Rengersz voor Agatha Willem Symonsz dochter, na dode van haar vader; 1474: Meus Pieter Rengers voor zijn vrouw Agatha Willemsdochter; 1480-05-23: Arnout van Cuylen, na opdracht door Meus Pieter Rengersz voor zijn vrouw Agatha Willemsdochter; 1493-08-23: Catharina, dochter van Arnout van Cuylen, bij dode van haar vader; haar man Gerard Adriaensz doet de eed",Ons Voorgeslacht jg 1979 p 230,,
2010088,1519,Aecht,,"Aecht Willem Danielsz weduwe, van Assendelft, is begraven tot die Prekers, geluid alle die clocken 30 st, haer testament betaelt 10 st",Kerkelijke Rek Haarlem fol 8v,,
2010089,1415,Liclaes,Aechtenz,"Liclaes Aechtenz en Pouwels Sappenz, afterstal van 1408 van Payensidewinde 30 sc 6d (845 fol 15): 1422-1423: (852 fol 10) afterstal van vroonland 8 £ 16sc 5d",Rek Rentmeester Kennemerland,,
2010090,1349-1350,Dirc,Aechtenz,"Dirc Aechtenz:  een stuk land in de Reker (798 fol 11v); 1356: (803 fol 22v) afterstal van Vronen 13sc 3d; 1355-1356: (802 fol 9, 26) pacht land in die Reker, 13sc 3d, afterstal van Vroenregeist 13sc 3d; 1356-1357: (804 fol 10) land in die Reker 13sc 3d; 1357-1358: (805 fol 1v) afterstal van 1355 van land in de Reker 13sc 3d; 1358-1359: (806 fol 13) Dirc Aechtenz, van land in die Reker 13sc 3d, Hayke Aechtenz van Sibekenhorne 20sc 6d",Rek Rentmeester Kennemerland,,
2010091,1362-08-30,Dirc,Aechtenz,"stierf Theodericus filius Agate, laicus, qui dedit 1 £ annuatim",Kroniek Egmond p 272/Dagregister/H v.Wijn: Huiszittend Leven II p 124,,
2010092,1338,Govert,Aechtenz,"Lisse, afterstal van beesten: Ghodevaert Aechtenz, 10sc 6d (p 83); (p 86) ontvangen van afterstal van bierdighen beesten, in Hillighem: Godevaert Aechtenz, van 1 scaep 3sc 6d; Lisse, van veenhuur: Godevaert Sehtenz, 2 sc 8d; Hughe Sehtenz, 2sc 8d",Rek Houtvester dl VII  ,,
2010093,1349-1350,Haike,Aechtenz,"Haike Aechtenz: van lande op die dieke, 20 gr 6d (798 fol 2v)",Rek Rentmeester Kennemerland,,
2010094,1412,Jacob,Aechtenz,"Jacob Aechtenz: van een besterfte te Wognem bij dode Kyeven [Kyenen ?] zusterszoons, die een erfgenaam had wonen  in Vriesland, 9 £ (842 fol 9v); 1431-1432: (862 fol 5v) ontvangt een besterfte te Zybekarspel",Rek Rentmeester Kennemerland,,
2010095,1360-1361,Jan,Aechtenz,"Jan Aechtenz: afterstal van 1357, 1358 van s burggraven veentienden, 3sc 4d, en van de oectienden, 6 £ 15sc, te Aalsmeer (808 fol 1)",Rek Rentmeester Kennemerland,,
2010096,1414,Likele~,Aechtenz,"Lekele Aechtenz: afterstal van 1413 van vroonland, 7 £ 2sc 11d (844 fol 18v); 1415: (845 fol 17) afterstal van 1413, 6 £ 13sc 4d",Rek Rentmeester Kennemerland,,
2010097,1349-1350,Reijneke,Aechtenz,Reyneke Aechtenz: van den lande van Vronen (798 fol 9v),Rek Rentmeester Kennemerland,,
2010098,1614-05-12,Aechtje ,Gerritsdr,"Aechtge Gerritsdochter en haar zuster Risgen Gerritsdochter kopen van Marten Gerritsz: ½ met 12/14 van de andere helft van land aan de Delft, voor 800 gld gereed geld","Protocol Schoten, Haarlemmerliede en Akendam fol 26",,
2010099,1357-1358,Aechte,Gillis (Jelys),"Aechte Gillis levert hout (805 fol 16v); 1361-1362: (fol 17v, 18) van 4 hoec stilen an die molen, 4 £ 16sc etc, levert ook veel hout",Rek Rentmeester Kennemerland,,
2010100,1517-1518,Aechte ,Goossensdr,"Aechte Goossensdochter, vrouw van Jan Woutersz, werd door de baljuw van Den Haag beschuldigd van het helen van gestolen wol; de baljuw trachtte met haar man een compositie aan te gaan, hetgeen niet lukte; zij werd naar de Gevangenpoort overgebracht en daar gefolterd",Grote Raad Mechelen Beroepen Holland dl III dossier 267,,
2010101,1349-1350,Aechte,Gouwersdr,"jvr Aechte Gouwersdochter: van 1 hoed rogge, 5 £ 6sc 8d (798 fol 25v)",Rek Rentmeester Kennemerland,,
