id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1090027,1291-12-17,"Ierseke, van","heer Wouter van Cruyningen, ridder, belooft graaf Floris V voor zich en zijn kinderen, trouw op verbeurte van al zijn goed in Holland",v.d. Bergh II no 792,"borgen: Claese van Baersdorp, Janne van Scenghen, Colyn van Stapele, Boudyn van Ierseke Hollanders broeder, met al hun goed in Zeeland",in deze tijd komt ook een Hollander van Reimerswale voor,
1090028,1294-09-16,"Ierseke, van","vermeld: Aloud, baljuw van Zuidholland; 1299-07-30: Olout van Ierseke; 1295-08-29: Jan Aloutsz, baljuw van Rijnland",v.d. Bergh II no 884,,,
1090029,1300-09-12 (1301-03-27),"Ierseke, van",graaf Jan schenkt vergiffenis aan die van Dordrecht wegens de dood van de baljuw heer Aloud van Yerseke; 1308-02-28: verklaring omtrent de verzoening van de magen van de baljuw Aloud van Ierseke met de stad Dordrecht; 1308-06-09: bevestigd; 1308-08-15: drie kwijtingen van betaalde boete (andere 1308-12-29); 1309-04-03: verklaring van afbetaling van de boete voor Alout van Ierseke's dood,"Reg Hann p 3, 24, 26",,,
1090030,1304~,"Ierseke, van","leen van Putten in Zeeland: Vriese Aloudsz van Ierseke, 6 £ camerleens",R.G.P. Grote Serie no 171 Rek Domeinen van Putten II p 266/Ons Voorgeslacht 1979 p 194,,,
1090031,1307-07-05,"Ierseke, van",graaf Willem beleent Boudewijn van Ierseke met het Strijense Schor,Reg Hann p 22/R.A. Zeeland 4e Copulaatboek fol 452,,,
1090032,1311-01-06,"Ierseke, van","Boudyn van Ierseke, ridder, geeft zijn land in Striene, jegens Poortvliet en Schakerslo, om te bedijken aan Willem Arnoudsz",Van Mieris II p 89,"bezegeld door: zijn neef Karvinge van Reymerswale [van Mieris schrijft Harminge], zijn knape Moncke, en hijzelf",,
1090033,1311-02-21,"Ierseke, van",Boudewijn van Ierseke en Kervinck van Roemerswale beloven graaf Willem 500 gemet ambacht in Schouwen of geld daarvoor te zullen geven en de monniken van Crabbendijke niet te zullen hinderen in hun goed,Reg Hann p 39/Reg EL 41 fol 41v,,,
1090034,1312-04-09,"Ierseke, van","graaf Willem geeft aan heer Hendrik van Renesse en zijn broer Costijn, goederen in Westbaarland ""Alle voorsz goet hebben wij hen ghegheven op waerderynghe ende op prijsinghe Haeren Jans Heeren van Cruyninghen, ende Haeren Boudijns van Jeersike, onser trouwer manne ende Riddere, diet waerderen ende prijsen sullen bij haere trauwe""",Van Mieris II p 124,,,
1090035,1509,"Ierseke, van","het kapittel van de kerk van St Servaas schenkt aan heer Willem van Cats als man van Maria van Bruelis, een derde deel van alle tienden van ….. en 75 roeden die wijlen heer Boudewijn van Ierseke gekocht heeft van Hendrik en Willem van Nyekerke",Batavia Illustrata bl 920,,,
1090036,,"Ierseke, van","genoemd: Boudewijn van Ierseke, ridder",Batavia Illustrata bl 1200,,,
1090037,,Yff,"na de aankoop van de ambachtsheerlijkheid door de regenten van Westzaan, werd Dirk Cornelisz Yff, schepen te Westzaan, als sterfman ermee beleend",Jongewaard bl 10,,,
1090038,1557-09-29,Ygrom,"Jan Aertsz Ygrom met zijn vrienden en magen, in presentie van heer Anthonis Petersz, pastoor te Cappel [Capelle aan de Langstraat], gekomen voor schout en heemraden; 1588: nog vermeld ""seeckere gronden, strekkende van der halver Nieuwerwaart oostwaert op tot heer Anthonis pastoor in Cappels gronden toe""",Taxandria jg 1923 p 148,,,
1090039,"1399, 1401","Yerte, van","geleend geld: Berend van Yerte, dat hij uit der schattingegelde genomen heeft, 417 oude Vr scilde (p 16); nogmaals 29 ½ Eng nobel (p 18); door hem uitgegeven op reizen naar Campen, Werven in Groningen (p 23) en idem in de 3e maand naar Hattem, Werven, Deventer, Hardenberge en Coevorden (p 34); (p 41) reizen naar Utrecht en Windesheim; 1401: talrijke vermeldingen van hem","Maandrekeningen der Stad Zwolle 1399 p 16, 18, 23, 34, 41, 47 en 1401",,,
1090040,"1399, 1401","Yerte, van","1395: Herman Yerte de jonge, toen onze heer voor Raesvelde was, had 1 paard verloren, voor 29 gld (p 13); (p 25) opbeuren van de koermeesters: Herman van Yerte, 1 £; 1401: dezelfde post als 1399 (p 15)","Maandrekeningen der Stad Zwolle 1399 p 13, 25, 1401 p 15",,,
1090041,1401,"Yerte, van","der stad schuld: Rodolphus Yrte ""heb ic"" ",Maandrekeningen der Stad Zwolle 1401 p 119,,,
1090042,1401,"Yerte, van","reizen in de 10e maand: bleef Henric van Yrte ziek te Utrecht 6 dagen, 2 gld 4pl",Maandrekeningen der Stad Zwolle 1401 p 98,,,
1090043,1529,"Ylem, van",havenmeester te Delfshaven: Dirc Duist Rutgersz van Ylem,Bortet: Delft p 122,,,
1090044,1351,"Ylem, van","Rutger van Ylem, edelman uit Oostenrijk, hier te lande gekomen met keizerin Margaretha; hieruit: Reynard van Ylem, hieruit: Rutgert van Ylem, dijkgraaf Crimpenerwaard in 1494 x Cunigonda van Voorhout; Rutgert van Ylem x Maria Stalpert van der Wiele, hieruit: Adriaan van Ylem","Batavia Illustrata bl 1139, 1171",,,
1090045,1502-10-27,"Ilpendam, van","leenmannen oorkonden dat mr Philips Ruygrock van den Werve Vranckenz heeft opgedragen tbv Pieter van Ylpendamme de helft van 5 morgen en 1 hont land in het ambacht van Rijswijk, samen met het kapittel van den Hage en het klooster van Koningsveld; belening door de hertog: 1502-11-22, tot een onversterfelijk leen","R.A.H. 111 Caput N.H. fol 171v, 172v/Reg Archidux fol 39v",,,
1090046,1560-1573,"Ylem, van","schepen, thesaurier, veertig van Delft: Gerrit Joostenz [van Ylem gezegd van Es, of van Ylen]; 1565, 1567: brouwer en weesmeester; overleed 1573-11-04; 1576-04-11: veertig te Delft, Joost Gerritsz van Ylem, overleed: 1599-11-11; 1610-01-09: Adriana Dirksdochter van Ylen weduwe van Dirk Willemsz Brasser wordt moeder van het fraterhuis te Delft","Bortet: Delft p 82, 83, 480",,,
1090047,1600-01-22,"Ilen, van","huwelijksintekening Amsterdam: Aeltgen van Ilen, van Delft, met consent van haar vader en van haar zwager Dirck Govertsz Brasser x Barthold Jansz Steenhuizen, weduwnaar van Mary Jans, wonende op het Rokin te Amsterdam",G.A. Amsterdam DTB,,,
1090048,1169-09-24<,"Imecek, de","Boudewijn, proost van St Marie te Utrecht beleent zijn kapittel met tienden en gerecht te Wiltenburg en tienden te Lopik; onder de getuigen: Bertoldus de Imecek",Oorkbk Sticht Utrecht no 466,,,
1090049,1749-09-23,"Imhoff, van","geboren: Wilhelmina Sophia barones van Imhoff, overleden 1750-10-24; 1751-03-16: geboren Gustaaf Hendrik baron van Imhoff, overleden 1752-01-02; 1748-05-08: geboren Isabella Anthonia barones van Imhoff x 1765-09-02 met Jean Guillaume de Vaillant, brigadier der garde",Wapenheraut jg I: 73,,,
1090050,1728-06-30,"Imhoff, van","geboren: Willem Hendrik baron van Imhoff, overleden te Batavia 1734-08-30; 1715-08-08: Jacob Willem van Imhoff, e.a.","Wapenheraut jg I: 119, 56",,,
1090051,1457-1458,"Ylp, van","rente ten laste van de grafelijkheid, domeinen van Texel: Heyman [Pietersz] van Ylp, 56 £ (207 fol 11); ook in de volgende jaren: 1458-1459 (208 fol 10), 1460-1461 (209 fol 11v), 1461-1462 (210 fol 8v), 1462-1463 (211 fol 10v), 1463-1464 (212 fol 9v), 1464-1465 (213 fol 9), 1465-1466 (fol 214 fol 13v), 1466-1467 (215 fol 14v), 1467-1468 (216 fol 11v), 1468-1469 (217 fol 12); 1473: (221 fol 71v) Heyman Pietersz [van Ylp], heffer van deze lijfrente, ten lijve van zijn 3 kinderen: 1) Pieter, 24 jaar, 2) Agniete Heijman Pietersdochter, 17 jaar, 3) Wendelmoet, oud 9 jaar, moeder is Mijne Jansdochter",Thesauriersrekenening Haarlem,,,
1090052,1463-1464,"Ylp, van","mr Pieter Heymansz die men hiet van Ylp, koopt een lijfrente van 10 R gld op Haarlem voor 120 £ ",Thesauriersrekenening Haarlem 212 fol 7,,,
1090053,1461-12-12,"Ilpendam, van","Jooste, dochter van Jan van Ilpendam, gehuwd met Dirc Poes Zybrands, secretaris, beleend met allerlei stukken land, na opdracht uit eigen, in ruil voor ""het Boterland"" te Catwoude","Ons Voorgeslacht jg 1983 p 277, jg 1970 p 108",,,
1090054,1481-1482,"Ilpendam, van","Pieter Jansz van Ilpendam, baljuw van Bergen, ontlast de pachter die de biertollen te Bergen gepacht had van de rentmeester van Kennemerland van zijn pacht, ten nadele van deze rentmeester (912 fol 14); 1482-1483: hij belet de rentmeester deze biertollen te verpachten (913 fol 13); 1489-1490: (920 fol 12v) baljuw van Bergen; 1480-1481: ( 911 fol 40) idem",Rek Rentmeester Kennemerland,,,
1090055,1501,"Ilpendam, van","Pieter Jansz, uit Ilpendam, en andere bezitters van Vroonlanden bij Charlois contra schout en gezworenen van Charlois, beroep tegen vonnis van het Hof van Holland. Bij het bedijken in 1460 van de Vroonlanden van eisers werd vrijstelling verleend van polder-, dijk- en waterlasten. Deze vrijstelling geldt niet voor ruitergeld en andere gewone bede; 1502-08-12: vonnis, beroep ongegrond verklaard","Grote Raad Mechelen Beroepen Holland no 181 schrifturen/Geextend Sent Grote Raad 1966 p 465, 371",,,
1090056,1528-04-25,"Ilpendam, van","mr Jacob van Ilpendam, priester, procureur voor de bewoners van Heemstede",Grote Raad Mechelen EA dl III dossier 274G/5,,,
1090057,1538-02~,"Ilpendam, van","mr Jacob van Ilpendam, pastoor van Wormer, aan mr Gerrit Harmensz Ramp, huis en erf in de St Jansstraat, belend: mr Ghysbert Coedyck en Frederik Deyman, ter ander: Volckert de scilder, achter strekkende en uitgaande in de Scoolstege; al vrij, zonder huur, koopsom 385 Kar gld","G.A.HaarlemTransport Reg 76/19 los inliggend tussen fol 47v en 48, zonder datum",,Haarlem,
1090058,1300~,"Ylte, van","curtis in Ylte: Hermannus de Ylte 18 d leves et plaustrum slyth; Hermannus de Ylte 2 mod ..  et vymam dakes; item 7 den pro ¼ porci, idem 2 d ad swinscar","Quellen Stift Xanten p 432, 433",,,
1090059,1396,"Ylt, van","uitgaven van de bursa Xantensis: Arnoldo cursori, misso in Dusseldorp …. ut bona Gerardo de Ylt, colono nostro, ablata, restituantur",Quellen Stift Xanten p 294,,,
1090060,1400,"Ilte, van",agri curtis de Puteo: ½ maldratum situm bi den Werderweghe dictum dye Bile quod colit Heyno de Ilte,Memorien Stift Xanten p 237,,,
1090061,1400,"Ylt, van",agri prope Orsoy (Dld): ½ jurnale in campo de Beensem prope agros Thome de Ilt,Memorien Stift Xanten p 230,,,
1090062,1400-1415,"Ylte, van","in parrochia Buderich in bonis sitis in campo dicto Eger, 1e hand: Giso, filius Johannis van den Eger, 2e: Aleidis, uxor Theoderici de Ilte, 3e: Theodericus, filius eorum; in uno manso sito prope Geist, 20 maldrata, quondam Stine Lamberti Keijser, 1e hand:  Philippus van der Erpe (Theodericus filius Theoderici de Ielt), 2e:  Johannes de Ielt filius Henrici, 3e: Theodericus angen Eynde, filius dicti Theoderici","Quellen Stift Xanten p 366, 367",,,
1090063,1400-1415,"Ilte, van","in parrochia Buderick in bonis pertinentibus in curtem in Ilt in campo dicto Egher, 1e manum habet Giso de Eger filius Johannis, 2e: Aleidis uxor Theodericide Ilte, 3e: Henricus filius Theoderici de Ilt; in uno manso: 1e: Henricus de Elverich, 2e: Hilla dochter van Wilhelmus de Elverich, 3e: Gyskinus de Eger",Quellen Stift Xanten p 370,,,
1090064,1338-08-30,"Immerzeel, van","Johannes de Ymmersele, ridder (dominus de Wommelghem, 1337), s'engage, moyennant 39 livers de vieux gros, à servir le duc de Brabant, dans la guerre entre l'Angleterre et la France; wapen met randschrift: Johhis de Liere dni de Wommelghe",De Raadt II p 134,,,
1090065,1365-07-05,"Immerzeel, van","Jean van Ymmersele, chevalier, reçoit du Brabant une rente féodale sur le tonlieu d'Anvers; wapen met randschrift: Johannis de Immercele",De Raadt II p 134,,,
1090066,1374,"Immerzeel, van","prisonnier à Basweiler: Godefroid van Ymmersele, sous la bannière de Cuyk; Arnould van Ymmersele, sous le drossard de Luxembourg; Charles van Ymmersele, chevalier sous le sire de Vorsselaen; Henri van Ymmersele, bâtard, sous la bannière de Cuyk",De Raadt II p 134,,,
1090067,1381,"Immerzeel, van","schepenprotocollen 's Hertogenbosch: heer Jan van Ymmerseel, ridder",Ned Leeuw jg 1913 p 232,,,
1090068,1391,"Immerzeel, van","Charles van Ymmerssele, chevalier, seigneur de Ter Hameyden [Rameyn, dépendance de Gestel], conseiller de la duchesse de Brabant",De Raadt II p 135,,,
1090069,1394-01-21,"Immerzeel, van","Johannes de Ymmerselle, miles, déclare que le duc de Bourgogne comte de Flandre, duc de Limbourg l'a nommé gouverneur du duché de Limbourg et capitaine du château de Wassemberghe, sous certaines conditions; 1394-03-16: Jehan dymmerselle a reçu de noble homme Sceiffart de Merode, chevalier, seigneur de Hemisbach, les ville, château et terre de Wassemberghe",De Raadt II p 135,,,
1090070,"1400, 1405, 1407, 1408","Immerzeel, van","Jehans sires d'Ymmerselle, sénéchal du Brabant, conseiller du duc à Bruxelles; caution de Nicolas Hoen van den Broeke (1407)",De Raadt II p 135,,,
1090071,1402-12-19,"Immerzeel, van","Guillaume van Ranst, fils de sire Henri, Pierre van der Tommen, Jean Zandrs et Jean van Ymmerzele, le bâtard, se soumettent à un arbitrage par la duchesse de Brabant et de son conseil, pour aplanir la discorde existant entre sire Jean, sire Reinier, Gerard van der Elst, frères, Philippe van der Elst, leur neve, leurs parents, amis, aides et serviteurs, d'une part, et eux-même et les leurs d'autre part, du chef de l'homicide (dootslachs) de feu Philippe van der Elst","De Raadt III p 193, 135",,,
1090072,"1421, 1496, 1524, 1537","Immerzeel, van","Arnould van Ymmersele, schepen van Antwerpen; 1496: Jean van Ymmersele, chevalier, seigneur d'Yetegem, margrave d'Anvers; 1524: Guillaume van Ymmersele, schepen van Antwerpen; 1537: Gauthier van Immerseel, schepen van Antwerpen",De Raadt II p 135,,,
1090073,1517,"Immerzeel, van","Thierette van Ymmerzeel, weduwe van Jean van Haeften, avec ses tuteurs Waleran et Othon van Haeften; scelle par damoiseau van Airckel brueder tot Hoeckelom et seigneur de Waardenburg, échevin de Tuul",De Raadt I p 179,,,
1090074,1557-03,"Immerzeel, van","Marie van den Dale, weduwe van Philips van Immerzeel; hij was heer van Itegem en burggraaf van Aalst, had 1531-09-30 een erfelijke losrente van 531 £ Vl op Adolf van Bourgondië heer van Beveren en Duweland gekocht. Sinds maart 1557 niet meer betaald. Proces hierover",Grote Raad Mechelen E.A. Dossiers dl II dossier 495/2,,,
1090075,1559,"Immerzeel, van","enige Renesse's verklaren dat Jeanne van Wyhe, fille de Gaspard, seigneur d'Echteld, is eyn rydderburtijge joffrou van huer acht deelen, te weten: Wylre, Tynnagel [Tyngnagel], Isendoren, Lennep (vaderszijde) en (moederszijde) Haeften, Broekhuysen, Immerseel, Poll",De Raadt III p 214,,,
1090076,"1587, 1603","Immerzeel, van","schepen van Malines: Jacques van Immerseele; 1628, 1630, 1636: Henri van Immerseel",De Raadt II p 135,,,
1090077,1598-11-25,"Immerzeel, van","Martin de Rossem, chanoine de l 'Eglise Cathedrale de St Martin à Utrecht, Englebert seigneur de Ymmerselle, de Wommelghem, Iteghem, Rameyde, vicomte d'Alost, Walraven de Haeften ,seigneur de Haeften, Herwijnen et Helu, Thierry d'Ymerselle, baron de Bokhoven, seigneur de Loon, attestent à l'abbesse de Nivelles les huit quartiers de damoiselle Josine de Haestrecht",De Raadt III p 273,,,
1090078,1618-09-21,"Immerzeel, van","Jean de Croy de Solre atteste à l'abbesse de Nivelles que damoiselle Marie Françoise d'Estourmel est fille de messire Robert d'Estourmel, chevalier et de dame Marguerite de Noyelles; fille de Adrien de Noyelles, chevalier, seigneur de Marles, Flechin, baron du Rossignol, et de dame Marie d'Immerseel, dame héritière de Wilderen, Popenrode etc, fille de Phillippe d' Immerzeel, chevalier, seigneur d'Immerzeel, vicomte d'Alost, seigneur de Wommelghem, Popenrode et de Marie van den Dale, dame de Wilderen",De Raadt II p 284,,,
1090079,1641-10-15,"Immerzeel, van","Theodore comte de Bronkhorst-Batenburg atteste à l'abbesse de Nivelles que damoiselle Marie Isabelle d'Ymmerselle, du côté paternel est gentilfemme, fille de Englebert d'Ymmerselle et de Helène Montmorency, petite-fille de Theodore d'Ymmerselle enz",De Raadt II p 135,,,
1090080,1664,"Immerzeel, van","Jan Jansz van Immerseel, te Gouda, vraagt aan de Staten van Holland venia aetatis",Index J.A. Jaeger p 39,,,
1090081,,"Immerzeel, van",genoemd: leden van de familie van Immerzeel,"Batavia Illustrata bl 851, 863, 902, 976, 1007, 1104, 1163",,,
1090082,,"Impla, van","zie op: Empel, van",,,,
1090083,1656-03-11,indiaan,"Jacob Lamay, van Taywan, indiaen, 24 jaar, ouders dood, geassisteerd met Gerrit Jansz, wonend op de Haerlemmerstraet, en Annetje Hendricx Struijs, van Knip(?)huijsen, 24 jaar, ouders dood, geassisteerd met haar zuster Geertruijt Hendricx, wonend als voren",G.A.Amsterdam DTB 475 fol 381,,,
1090084,1550-09-25,"Indyck, ten","mr Godschalck ten Indijck, burgemeester van Kampen (Overijssel)",Grote Raad Mechelen E.A. Dossiers dl III dossier 3238/3,,,
1090085,1321-08-04,"Ynen, van","Goswinus Coc, canonicus van de kerk te Arnhem verkoopt voor 100 £ aan Martinus [de Ynen] investitus te Meteren, 8 ½ jugera in Hyr, in de plaats Ouvermeere op Snellenvelt, tussen Johannes Coc en Rodolphus en Henricus Coc, broers, kinderen van Rodolphus Coc, ridders; 1322-05-16: Martinus de Ynen, investitus de Meteren verkocht voor 120 £ de doorgestoken brief van 8 jugera 5 hont et 40 perticas",Cartul van Marienweerd no 216,"Gerardus zoon van Henricus Coc, Rodolphus zoon van Rodolphus Coc, Johannes zoon van Wolter van Amersfoert; borgen: Willem Ridder, van Ynen, Arnoldus zoon van Gerardus de Hoesden",,
1090086,1322-03-01,"Ynen, van","Johannes Coc, miles en zijn zoon Arnoldus verkopen voor 800 £: -  32 jugera terre in Hier; - 1 campus van 15 jugera in loco dicto Snellenvelde, tussen heer Martinus [van Ynen] investitus de Meteren en Hermannus de Lapidea domo, qui campus in loco dicto Wedermare terminabitur; - 1 campus van 17 jugera, heer Jan Coecscamp genaamd, in loco dicto over de Evertsgrave, tussen dominus Gerlacus de Buscoducis en Wilhelmus de Nyenlant, qui campus in dictum locum Wedermare terminabitur et finem habet, aan de abdij Marienweerd;  1322-04-22: Johannes dictus Coc, miles, draagt het over aan Marienweerd","Cartul Marienweerd no 222, 227","borgen: Gerardus zoon van Acrinus (Eccrini) de Beesde, Wilhelmus Ridder, zoon van Gerardus Holle, Alardus Key de Wadenoye, Johannes zoon van Otto de Ripa en zijn broer Rodolphus, Goswinus zoon van Metten de Ynen, Johannes zoon van Johannis Witten",,
1090087,1322-05-16,"Ynen, van","schepenen in Zaltbommel oorkonden dat heer Martinus de Ynen, investitus in Meteren, heeft verkocht aan Henricus de Werva junior tbv Marienweerd 8 ½ morgen land te Hier",Cartul Marienweerd no 231,borgen: Wilhelmus Ridder de Ynen en Arnoldus zoon van Gerardus de Hoesden; schepenen in Santbomel: Henricus de Werva senior et Paulus Bart,,
1090088,1346,"Yenen, van","lenen in het baljuwschap van Kennemerland: Reyner Gheretz 8 made gelegen te Akersloot, belend noord: willem van Rijse, zuid: Willem Yenen",Bijdr Hist Gen 1901 bl 248/Reg EL 5 fol 66v,,,
1090089,1328-11-16,"Ingen, van","voor schepenen in Santbomel verkoopt Philippus Gipkini de Wadenoye  voor 60 £, 1 ½ jugera land in Zeenwinen, ½ juger op die Cortbeemden,  belend tussen moniales de Novimagio en Otto de Ynghen, aan Marienweerd",Cartul Marienweerd no 322,,,
1090090,1357-04-24,"Ingen, van","Rovere van Inghen (et Enghelen) reçoit du Brabant 165 vieux écus, pour frais et pertes dans la guerre de Flandre; 1357-07-14: Rover van Ingen scelle pour Guillaume van der Hutten et Adam Voghel, 186 vieux écus; 21357-07-22: il reçoit 65 vieux écus","De Raadt II p 137/Chartes Ducs de Brabant no 1006, 1149, 1285, 1509",,,
